mjd,T,R,fun,success
56042.5,15632.582018072466,23613222981107.508,0.02296313543502884,True
56045.546875,15872.471036862911,25555402085284.44,0.02340752386897385,True
56048.59375,16092.091975892356,27554438425991.945,0.023815923193225952,False
56051.640625,16286.279954527345,29598445299602.53,0.024176776494015194,True
56054.6875,16449.800307360765,31675518289964.625,0.024478852648008878,True
56057.734375,16577.698324304103,33773873624157.477,0.0247116149484053,True
56060.78125,16665.472539177317,35882312208724.1,0.02486548127454325,True
56063.828125,16709.393315046553,37990319740100.21,0.024932123176723,False
56066.875,16706.6908356199,40088327434535.55,0.02490473097429223,False
56069.921875,16655.77574296951,42167720627296.26,0.024778245320435325,False
56072.96875,16556.372899339403,44220816390209.56,0.024549546011854686,True
56076.015625,16409.51549633663,46240956308518.32,0.024217590066895063,True
56079.0625,16217.578965204964,48222208307282.21,0.02378349274736882,True
56082.109375,15984.067688324167,50159530959393.69,0.023250536705133763,True
56085.15625,15713.452247989775,52048602897279.18,0.02262417086384858,True
56088.203125,15411.41097087034,53883804971413.44,0.02191184042994982,True
56091.25,15082.155669160431,55667791708509.1,0.021122861211695293,True
56094.296875,14732.909623596906,57392494180685.31,0.020268192238264867,True
56097.34375,14368.868876160224,59058355632763.73,0.019360162454142762,True
56100.390625,13995.472944885038,60664398158087.51,0.01841216529970857,True
56103.4375,13617.74191429249,62210213525624.1,0.017438321719041902,True
56106.484375,13240.100013948295,63696326740728.516,0.01645312560378789,True
56109.53125,12866.41580248056,65123619674564.03,0.015471082504207662,True
56112.578125,12499.978972007633,66493196168137.15,0.014506352856860093,False
56115.625,12143.441951283105,67806715960783.2,0.013572410667821437,True
56118.671875,11798.910671473537,69065935315211.35,0.012681727847255513,True
56121.71875,11468.013035679327,70272372590476.38,0.011845633807455758,True
56124.765625,11151.92992247332,71427287149380.14,0.011073506544127518,True
56127.8125,10851.477572456197,72531396006689.16,0.010373454140230278,True
56130.859375,10567.13522675712,73584958691020.64,0.009751590466893474,True
56133.90625,10299.140701785554,74587273610095.8,0.009212106360368564,False
56136.953125,10047.511654336366,75536856966090.45,0.008757226394197765,False
56140.0,9812.110653458192,76431131665102.6,0.008387331742790502,False
56143.046875,9592.666517614854,77266596518713.89,0.0081009193947939,True
56146.09375,9388.815831593147,78038715699202.64,0.007894823429106985,True
56149.140625,9200.125488513415,78742023031616.94,0.00776436162353194,True
56152.1875,9026.120878314643,79370142735049.2,0.007703602841240917,True
56155.234375,8866.28865878675,79916117595045.27,0.007705495937131321,True
56158.28125,8720.105659989422,80372410145284.12,0.007762232197065645,True
56161.328125,8586.419927684065,80741847256073.8,0.00786565203140105,True
56164.375,8466.164900966902,80991868032574.56,0.008006700222633287,True
56167.421875,8358.148766245758,81125828439364.86,0.008176928033295072,True
56170.46875,8261.28375687327,81147371607136.69,0.008367868197468669,True
56173.515625,8170.235143913031,81142409836823.3,0.008572361445380379,True
56176.5625,8100.570985605451,80803065650775.67,0.008780199782032639,True
56179.609375,8035.490993320418,80434665179125.17,0.008987349417312301,True
56182.65625,7980.088411379148,79931090708816.38,0.009186981932815372,True
56185.703125,7933.435979569824,79302471480682.55,0.009374074322863163,True
56188.75,7896.0149979063235,78533814927756.8,0.009544573772055111,True
56191.796875,7867.002705191908,77637994575150.22,0.009695358268068851,True
56194.84375,7846.009372084663,76621869589934.55,0.009824240445033043,True
56197.890625,7832.924230000393,75489308949195.3,0.00992991395819482,True
56200.9375,7826.586188335986,74266340281049.45,0.010011868154202373,True
56203.984375,7827.428246394603,72950585415294.17,0.01007032760528636,True
56207.03125,7834.843604281038,71561144898414.64,0.01010612399309357,True
56210.078125,7848.485854353019,70113529355997.24,0.010120602339255089,True
56213.125,7868.0151765806395,68624166864452.77,0.01011550765125917,True
56216.171875,7893.100142090904,67110044807235.984,0.010092875417541773,True
56219.21875,7923.411968379362,65588494502987.02,0.010054926678425604,True
56222.265625,7958.619560541479,64076970272926.79,0.010003970584304002,True
56225.3125,7998.400798841775,62592611511920.75,0.00994231671706393,True
56228.359375,8042.431463815578,61152211252437.805,0.009872198833352946,True
56231.40625,8090.382250911787,59772094472851.49,0.009795711084813688,True
56234.453125,8141.933120974104,58467815009959.33,0.00971475721685591,True
56237.5,8196.765417789695,57254245885290.47,0.009631012739544679,True
