mjd,T,R,fun,success
56669.5,80260.16957288592,6080685300612.523,0.031236818090815154,True
56672.58108108107,77673.28003215007,6976040231709.177,0.04667385907194961,False
56675.66216216216,75850.60641992657,7827055820983.286,0.10726221754248913,False
56678.74324324324,71719.72684110589,8805866379732.166,0.213337310323963,False
56681.82432432433,59660.824914327095,10599704234383.768,0.33605785328178833,False
56684.90540540541,27227.027915428094,20405319466316.625,0.17871130878480174,False
56687.98648648649,15092.680468086008,40360663407317.53,0.015517261738606295,True
56691.06756756758,13368.051025882261,48243737198984.734,0.014578376138647814,True
56694.148648648654,12006.211412144134,56344131681251.24,0.0139852265209701,True
56697.22972972973,10902.265621300729,64450857520267.92,0.013703723972400553,True
56700.31081081081,9990.021945152015,72348038011761.64,0.013706179546329994,False
56703.391891891886,9224.051207596549,79855063065707.62,0.013975193020563756,True
56706.47297297298,8577.378732950296,86718049638239.52,0.01448819827278363,True
56709.55405405405,8013.399053951328,93164437621584.81,0.015224549144161627,True
56712.635135135126,7528.997090598555,98813898279610.97,0.016174719587777935,True
56715.71621621621,7106.452304866382,103773905894472.05,0.01731995759293447,True
56718.79729729731,6735.8813974977165,108067375433424.78,0.018645682879014063,True
56721.87837837838,6409.667069611483,111729582986422.81,0.020132541258266527,True
56724.95945945946,6121.457518290576,114821472355858.11,0.02176470817986763,True
56728.04054054054,5866.967904908815,117350650463928.03,0.023523950531829346,True
56731.12162162162,5639.68623565021,119531974422995.3,0.0253927880704711,True
56734.20270270269,5438.831806098911,121229824143727.0,0.027355948913457103,True
56737.28378378379,5263.462832246536,122290722380584.08,0.029402377111565237,True
56740.364864864874,5107.334078431629,123037942856206.67,0.031522282275711,True
56743.44594594595,4967.752595902961,123561849962163.55,0.0336842558467977,True
56746.52702702702,4839.966704396532,124200311285000.69,0.03585694761685164,True
56749.608108108114,4730.002629935543,124199248962155.52,0.038076752382043444,True
56752.68918918919,4630.43657523803,124198260070859.52,0.04037465455140758,True
56755.77027027027,4550.322406220964,123042816322370.86,0.0425725951828982,True
56758.851351351346,4478.546079372481,121878397062662.19,0.0448231146644856,True
56761.93243243242,4414.946218761248,120662450083396.25,0.047179502657694695,True
56765.01351351351,4348.834191407108,120661803946341.25,0.05078445784407535,True
56768.09459459459,4327.518380225815,116038615914610.5,0.051325453418912856,True
56771.17567567567,4298.394174378827,113240739693033.53,0.0531935506929195,True
56774.25675675676,4283.542205431195,109624313007279.88,0.054553195207280955,True
56777.33783783784,4281.062132763391,105514405750136.61,0.0556325204207026,True
56780.41891891893,4266.708836422219,103676151355981.19,0.05733455668668277,True
56783.5,4262.862018422921,101633581729493.67,0.05901029484122139,True
