mjd,T,R,fun,success
56090.5,7720.525050269353,35257474357090.82,0.1507427168250603,False
56093.563492063484,7334.679588657051,41011174506688.17,0.10338734611931918,False
56096.62698412698,7189.543404309035,45054309229791.875,0.08489332073506231,False
56099.690476190466,7119.390723242768,48428314113910.414,0.07560589255226702,False
56102.753968253965,7090.168064123847,51427051072897.53,0.07063474386404943,False
56105.81746031746,7084.500619470256,54150729731109.07,0.0682098744954308,False
56108.880952380954,7096.149757375979,56637176470866.54,0.06746440262321637,False
56111.944444444445,7111.602033533793,59003303200435.79,0.0673343628631426,False
56115.00793650794,7127.147735689261,61295040768260.484,0.0673090890059794,False
56118.071428571435,7141.603097970313,63500956253357.76,0.06726199112847178,False
56121.13492063492,7152.894911377327,65616535746577.66,0.06705159838470304,False
56124.19841269841,7154.407082742514,67744290804195.14,0.06603080798348074,False
56127.261904761916,7135.354449446833,70085526260335.56,0.0632061285994768,False
56130.3253968254,7136.0013853786995,71886910621125.34,0.062046356297790636,False
56133.38888888888,7122.96678199423,73607055124935.58,0.06025813635508559,False
56136.45238095238,7105.207649987704,75210615738801.25,0.057989768105007944,False
56139.515873015866,6042.159659101097,109359639286317.64,0.000623561285054637,True
56142.57936507936,6044.196731040485,110110008064955.88,0.0006251362766111523,True
56145.642857142855,6053.0922945078855,110110222037536.39,0.0006303978560054336,True
56148.706349206346,6044.946931820541,110420610380464.67,0.000625777751616937,True
56151.769841269845,6043.690070918068,110006589112156.67,0.0006249018656885005,True
56154.83333333334,6041.385463284728,109242498455609.95,0.000623285184140543,True
56157.896825396834,6038.282392431049,108149234109747.4,0.0006209694777189422,True
56160.960317460325,6029.284284159573,106982228657622.53,0.0006202443604961781,True
56164.02380952381,6030.341927047042,105099053199968.31,0.0006144406869605545,True
56167.08730158731,6024.6880973153875,103260383390191.56,0.0006103852039970094,True
56170.15079365079,6018.98445560307,101225889927423.47,0.0006058604125887144,True
56173.214285714275,6012.80559648498,99057296767563.5,0.0006009559132801355,True
56176.27777777778,6006.068310611649,96800050315716.8,0.0005957439671146394,True
56179.34126984127,5998.981112730259,94485619716935.81,0.0005902905458993648,True
56182.40476190476,5991.660565499807,92146394989981.17,0.000584663581672816,True
56185.468253968254,5984.19254227333,89812572763459.88,0.0005789290630238544,True
56188.531746031746,5976.658740426526,87510768228496.81,0.0005731497870574104,True
56191.59523809524,5969.135664662038,85263886880673.8,0.0005673846055377794,True
56194.65873015873,5961.6937404055425,83091126689035.9,0.0005616877721859855,True
56197.72222222222,5954.396665300986,81008080883555.77,0.0005561083900401349,True
56200.785714285725,5947.300960790917,79026916976004.25,0.0005506899633184737,True
56203.84920634921,5940.455667994198,77156609567091.22,0.0005454700555789905,True
56206.91269841269,5933.8966894103905,75403376799655.69,0.000540480134109868,True
56209.97619047619,5927.754204930498,73767655713295.44,0.0005357445402432061,True
56213.039682539675,5921.612885816844,72263885013678.6,0.0005312882777781406,True
56216.103174603166,5916.027983152646,70874604173956.86,0.0005271161511346847,True
56219.16666666666,5910.860001494653,69601582607150.12,0.0005232350368629795,True
56222.230158730155,5906.446845146339,68430824919959.25,0.0005196360434971802,True
56225.293650793654,5902.0637463935,67377221102561.18,0.0005163337825947552,True
56228.357142857145,5898.04349916878,66423737223244.516,0.0005133083957360133,True
56231.42063492064,5890.083881078898,65680273923138.52,0.0005119778971763958,True
56234.484126984134,5890.395002311809,64800891481967.2,0.0005080509371385866,True
56237.54761904762,5887.534742725886,64090584598806.586,0.0005057287364691624,True
56240.61111111112,5884.688067081637,63450325267635.42,0.0005036149345595971,True
56243.6746031746,5882.0609392515835,62862936798114.125,0.0005016604258864323,True
56246.738095238084,5879.980603269054,62307961585768.695,0.0004998173689658423,True
56249.80158730159,5877.443302461011,61799759460683.84,0.0004980891969640164,True
56252.86507936508,5875.18488720312,61307006922777.93,0.0004964142144903336,True
56255.928571428565,5872.971988604184,60824116564724.336,0.0004947625948269526,True
56258.99206349206,5870.746924172439,60341345555904.95,0.0004931007143260544,True
56262.055555555555,5868.465517005982,59849283311212.94,0.0004913957089111131,True
56265.11904761905,5866.088574034755,59339295629897.45,0.0004896166323401319,True
56268.18253968254,5862.543496454896,58829612559629.18,0.0004878682259274357,True
56271.246031746035,5860.679507560456,58242013171856.83,0.0004857405987570287,True
56274.309523809534,5857.860389922347,57636572093266.9,0.00048358015569355034,True
56277.37301587302,5854.790583026027,56991674446302.94,0.0004812584085084748,True
56280.436507936516,5851.508525695528,56304114958518.29,0.00047876069671400317,True
56283.5,5843.04129040123,55691361615851.0,0.00047821372372471385,True
