mjd,T,R,fun,success
53995.5,8476.034061068485,41248474766861.17,0.472572542054642,False
53998.548387096766,8619.057723996411,42464568844677.414,0.47258020781478044,False
54001.596774193546,8753.15818494668,43640774963359.49,0.47074292886177277,False
54004.64516129033,8858.002697235448,44915880801214.05,0.46527927768052796,False
54007.6935483871,8970.945612713314,46048556839951.64,0.45905729326938544,False
54010.741935483864,8609.980769570993,50478064018873.08,0.4164355297547525,False
54013.79032258064,8465.839777734745,53555924717980.57,0.38873011686256415,False
54016.838709677424,9278.880238842718,48539285388215.2,0.43568449729870273,False
54019.8870967742,8875.630164412965,52739643964885.69,0.39249282608974173,False
54022.93548387097,8995.111117894088,52792151889163.17,0.38808858669900453,False
54025.983870967735,8995.25873497232,53617485502098.31,0.3764434705951387,False
54029.03225806452,9032.761364063,53904727843701.74,0.36980189717584416,False
54032.08064516129,9657.14183847542,49528855424153.36,0.4054208767584002,False
54035.12903225807,9670.950772865974,49584423973509.37,0.4029016672617609,False
54038.17741935483,9664.74388479133,49577290897952.96,0.4030960904041145,False
54041.22580645161,9628.485380640623,49591136469439.39,0.4056077170453148,False
54044.27419354839,9392.84227580462,50848164638199.87,0.39926812886621754,False
54047.32258064517,8980.833548831233,53490533039573.93,0.38342541163552857,False
54050.37096774193,8966.319311058654,52819893264372.81,0.39960363046204317,False
54053.41935483871,9204.247076221107,50189534064037.234,0.43720965450039223,False
54056.467741935485,9236.156621662332,48934305301453.61,0.46470805140183236,False
54059.516129032265,8190.056096877436,56674888672030.03,0.4055022983109415,False
54062.56451612903,8618.814145801272,51172508857731.0,0.47267791800117265,False
54065.6129032258,8929.42714209041,47460333362923.28,0.5281350362452063,False
54068.661290322576,8862.982602223245,46527942419335.41,0.5524566474309661,False
54071.70967741936,8774.828496744622,45690164374895.55,0.5731431672005002,False
54074.758064516136,8644.03893829202,45071703978187.58,0.5873847578493857,False
54077.8064516129,8542.904198264516,44237595725354.586,0.6001845160972654,False
54080.854838709674,8439.239052830171,43377158866174.4,0.6085868280341578,False
54083.90322580645,8329.004937685355,42588621803096.69,0.6111144557658352,False
54086.951612903234,8209.52440283741,41851029112767.516,0.6080337966734728,False
54090.0,7974.086210535527,41867824661084.05,0.5895153249806984,False
54093.048387096766,7913.924217858717,40692698900013.4,0.584462541349877,False
54096.096774193546,7112.849575752301,46742603427757.01,0.4783695616696567,False
54099.14516129033,7787.057601324917,38508430107636.82,0.5644304581613216,False
54102.1935483871,7732.04570609966,37421114848486.44,0.5523437637172228,False
54105.241935483864,7678.197008130637,36381897722125.336,0.5392956587369369,False
54108.29032258064,7620.049639098076,35435966771336.01,0.5252607385372219,False
54111.338709677424,7550.65043752896,34637275733008.973,0.5098992740364068,False
54114.3870967742,7456.4082788656015,34088495795830.48,0.4918538869770676,False
54117.43548387097,6751.305638331138,39084625164353.63,0.3926121368333188,False
54120.483870967735,7322.632593538381,32914668839184.703,0.4627443116733246,False
54123.53225806452,7281.805057352904,32190458018353.977,0.45371659918703033,False
54126.58064516129,7257.878371040734,31346397719657.895,0.44875376940051703,False
54129.62903225807,7221.686991819893,30682109339992.31,0.4428342407300171,False
54132.67741935483,7147.101380504154,30359995051857.46,0.43273454472867284,False
54135.72580645161,7064.107357815031,30085172852062.668,0.42347572136223,False
54138.77419354839,7078.853319438899,29320827150704.74,0.4246457988202618,False
54141.82258064517,7032.2431079115695,28976702884903.184,0.41961707374401835,False
54144.87096774193,7003.146202193615,28574156789955.07,0.4169678448981884,False
54147.91935483871,6963.113976387381,28282322597804.062,0.41335436357876415,False
54150.967741935485,6917.658309887431,28112284360527.758,0.4085966327108728,False
54154.016129032265,6760.630229883597,28704480276045.64,0.3904363982316769,False
54157.06451612903,6835.279035009529,27808851985885.35,0.4008772777567393,False
54160.1129032258,6373.920514928552,31121444057224.008,0.33795792351368276,False
54163.161290322576,6273.287281125114,31716603856390.09,0.32432419944492835,False
54166.20967741936,6399.205123327451,30258039020533.14,0.34386286848804065,False
54169.258064516136,6422.278470693208,29827899900600.574,0.3480791326605541,False
54172.3064516129,6392.842907144292,30010720732807.57,0.34292572611258626,False
54175.354838709674,6730.622825464786,27074293276546.1,0.39423693226118994,False
54178.40322580645,6723.951000128457,27079882826024.652,0.39348308428286094,False
54181.451612903234,6727.651603863145,27067914418106.59,0.3939295009341175,False
54184.5,6731.4984820521995,27114880283169.406,0.394122004924142,False
