mjd,T,R,fun,success
54139.5,9831.234233636216,59864078686390.05,0.41251393061859176,False
54142.661290322576,9336.876564866378,71140039635827.42,0.3210351407222557,False
54145.82258064517,9180.837644977113,78552076993887.73,0.3085597450844104,False
54148.983870967735,9103.892824580564,85023906004965.42,0.3154715725300634,False
54152.14516129033,9060.163040345764,91079828004621.58,0.3322479867485506,False
54155.3064516129,8583.943500873675,107940358434761.56,0.24695595901395895,False
54158.467741935485,8652.016494298123,111529718319235.5,0.2940071410566108,False
54161.62903225807,8610.951781704398,117734060704645.23,0.3207001684431854,False
54164.790322580644,8634.775326950297,121460269707250.12,0.3721890116597102,False
54167.951612903234,8606.221929021536,126052451340230.83,0.4176271764957628,False
54171.1129032258,8594.102272317163,130163210419157.0,0.4689096554150045,False
54174.27419354839,8552.268949531739,133974816831859.83,0.5236978872356554,False
54177.43548387097,8511.767427899797,137890784465184.81,0.5772416122346581,False
54180.596774193546,8446.048299818745,141711894105752.0,0.6307115672522297,False
54183.758064516136,8307.827214722507,147383584674704.34,0.6630169248740629,False
54186.91935483871,8225.082033824694,150742783955837.62,0.7167813546149449,False
54190.08064516129,8140.610346431992,153967535036722.8,0.7688577868721063,False
54193.241935483864,8039.153100141034,157038960179487.7,0.8189046192907363,False
54196.40322580645,7931.003512955444,159968489606401.8,0.8662743346566522,False
54199.56451612903,7809.070133072844,163240018247976.7,0.9053658645229878,False
54202.72580645161,7682.517098626682,166049586865327.53,0.9444566727667383,False
54205.8870967742,7546.636977976481,169764197065962.6,0.9688416378911202,False
54209.048387096766,7430.86853782519,171967874411794.06,1.00415044084142,False
54212.209677419356,7314.682524228776,174098933197814.44,1.035092040255123,False
54215.37096774193,7203.192463337436,176032168399027.16,1.0631185329892283,False
54218.53225806452,7044.512894683241,181184244053324.3,1.053162866004247,False
54221.6935483871,6940.398289903028,182826095122022.78,1.0750405241854852,False
54224.854838709674,6840.521632872874,184351255328129.75,1.0940409264142164,False
54228.016129032265,6753.187492796081,185779759168376.6,1.1103726444022959,False
54231.17741935483,6664.806995546487,187144196952376.28,1.1241763406361285,False
54234.338709677424,6590.1927809187255,188572019800898.25,1.1347430433398233,False
54237.5,6511.058836804345,190449712916062.94,1.1389009402670744,False
