mjd,r,err_r,i,err_i,g,err_g,z,err_z
56425.5,20.03468680512185,0.2552080813202145,20.196343602705497,0.2783624612024461,20.098314794402654,0.3921116987356529,20.261637304149417,0.33039022618594216
56428.666666666664,19.753998997358963,0.16581692355825056,19.930149695156842,0.1921316955804181,19.771777636390425,0.31420087564411575,20.009820847719766,0.2491688388418515
56431.833333333336,19.527608412899554,0.11540109311925709,19.716326042814444,0.14241381519255478,19.506054853009346,0.26188657222374595,19.80839348018526,0.19867163257137377
56435.0,19.361979163198612,0.08396500828833534,19.560822293350157,0.10976833027693131,19.30915113672654,0.21867501187538543,19.662808877596945,0.1614281062811483
56438.166666666664,19.25544680014127,0.059837764222188436,19.46152084218693,0.08397129705610365,19.180576388131385,0.17837642071073087,19.57054276369945,0.12957033898030468
56441.333333333336,19.20032646302502,0.04084505246544791,19.410368252562648,0.06306031472856323,19.113443757302548,0.14073052543742504,19.523236915261123,0.10174224410007451
56444.5,19.185545164689756,0.02882094469632206,19.396026559759775,0.047737862104847935,19.097116249122337,0.10705976507843874,19.50935701795288,0.0784246732148663
56447.666666666664,19.19932017581459,0.02333502794969945,19.406565027046327,0.037223946998097585,19.119915718395532,0.07806791842140733,19.516885632484446,0.059354949053383343
56450.833333333336,19.231427182460266,0.01983231041301649,19.431735005486644,0.028978089274680947,19.171429347366484,0.05355974749557088,19.535593862270616,0.04346791027026847
56454.0,19.274707588105457,0.015410851430187517,19.46447671095825,0.02148039483265404,19.24405577023026,0.03330678971291029,19.558541465772805,0.030365843885751573
56457.166666666664,19.32563313517835,0.011476617100481572,19.501476069870478,0.01611635668061824,19.33360456940727,0.01842200567078418,19.582624289827663,0.02172425742396314
56460.333333333336,19.383943910205517,0.01143919410186238,19.542788242891447,0.015496989314210298,19.438964144055944,0.013035504059715828,19.60818606468274,0.019916174014963366
56463.5,19.451562413937836,0.01388223410888057,19.590731612962827,0.017740931301955632,19.56104269877369,0.01575971588680799,19.63789852360742,0.022153566645300216
56466.666666666664,19.53112346686862,0.015124314463981315,19.648393614110773,0.019046462677148917,19.70132624828011,0.017773669176030352,19.6752512947196,0.023673085131058334
56469.833333333336,19.62451935405761,0.014200500918297247,19.718149799188268,0.018315746169438537,19.860457605861257,0.016758993187715735,19.72305314396681,0.023062571324238234
56473.0,19.73183034030012,0.012485798907518442,19.80056849500238,0.016940647993478778,20.037209725675893,0.014348104495910693,19.782317421947027,0.021800159656414735
56476.166666666664,19.850900165109124,0.01292001786964336,19.89396288587477,0.01778213106534009,20.228113465456772,0.014540151494061373,19.8517945268502,0.022990788966274215
56479.333333333336,19.977649559459906,0.016871836674531616,19.994685579804127,0.022287656265183486,20.427829723311106,0.019660390527512353,19.92824789167298,0.02836309750349536
56482.5,20.107035498930145,0.02312795325823256,20.098074930732764,0.029391385332587755,20.630167190327484,0.027864480176552187,20.00738457069974,0.036800604102692494
56485.666666666664,20.234401024026738,0.03088214066198744,20.199798852522918,0.03793843954253994,20.829481788939574,0.03763433019796066,20.085188033394388,0.04668222198381947
56488.833333333336,20.35685610553992,0.03962971708685583,20.29723671591978,0.04706740898962543,21.022089046423616,0.048120598047319794,20.15929533599433,0.05670699261082533
56492.0,20.474307320833077,0.04804666586190956,20.39051637145053,0.05538329197306642,21.207299621215725,0.05791120257609078,20.230036622635225,0.065317234098601
56495.166666666664,20.589818242473257,0.05383414000123836,20.48288670276338,0.06073064437327743,21.387756003302684,0.06474285692080915,20.300817299959135,0.07045845177522525
56498.333333333336,20.70911980170547,0.05445030958242041,20.58024287330818,0.06080205489905096,21.568890797491576,0.0661519239316958,20.37765887395392,0.07008601279975572
56501.5,20.839271243708026,0.04831112855027593,20.689802443986537,0.05434595777010167,21.75751376561948,0.06078137272844646,20.467894398252838,0.06335695709895615
56504.666666666664,20.98665933981715,0.03658422882052768,20.818117569546757,0.04311835474887306,21.95972654343859,0.05060295474266701,20.578200729220725,0.052680910145594714
56507.833333333336,21.15467723062943,0.02728209684015479,20.968762507239717,0.0354066396007912,22.178520621672305,0.04496795466777851,20.712303467253605,0.04662297962745637
56511.0,21.34151310153652,0.0332870872399888,21.14012511450187,0.041581775680788254,22.411503561521386,0.056277761448905846,20.868780104351117,0.0541830191099061
56514.166666666664,21.53848512216109,0.045138418942191165,21.323738074244602,0.05335946579114693,22.649202568063174,0.08000458287665707,21.039394693219492,0.06860353915922328
56517.333333333336,21.729281976055063,0.05184804254951092,21.50350941229567,0.060036203732796736,22.874313027898324,0.10933207865905899,21.208322345277338,0.08040041950585648
56520.5,21.890323574070408,0.07282558413678465,21.65606803650303,0.07723120328976155,23.06210888349233,0.1533340534753823,21.352479443071616,0.10000894709275976
