mjd,r',err_r',i',err_i',g',err_g',z',err_z',r,err_r,u',err_u'
55286.18571428571,18.545408948777663,0.02396201727327493,18.733554537286352,0.02663678714623983,18.50440404319886,0.022951875610901666,18.845692948913438,0.02766530694869303,18.506372039969733,0.02276926821467805,18.6882051816915,0.048463733985855025
55289.3,18.572688616793982,0.024256247631547885,18.74807242423003,0.026835674042809385,18.58203718384408,0.023252853155971878,18.856297032514533,0.027832112443696717,18.54173247754835,0.02311141949278645,18.862884946295026,0.04792044040606225
55292.41428571429,18.61301004168638,0.024469423421729978,18.774412798567994,0.02704889480433195,18.677909158291243,0.023844338494241293,18.878379657687447,0.028053118884818932,18.59095082801707,0.02334638025873598,19.065964664365083,0.0495121891728157
55295.52857142857,18.666433288174744,0.024443100900696086,18.812677471500194,0.027067978134497857,18.791920840907494,0.024362241067134492,18.912055867461163,0.028098088615460124,18.654061353341262,0.023328353449962057,19.297040472549384,0.05180652856781308
55298.642857142855,18.732909791115105,0.024172729298506453,18.86286878697217,0.02685441137061945,18.923825027782982,0.024714362922089034,18.95734379178799,0.027914885345636836,18.730983507433905,0.02306447256670103,19.55548316482873,0.0541030524521535
55301.75714285715,18.81228244776895,0.02372673245602827,18.92488944815335,0.026457596068305726,19.073227560114844,0.024950345651882665,19.014164391138365,0.02754616561188508,18.82152219471243,0.022631837475525933,19.840441296582753,0.05621514339127821
55304.87142857143,18.904286486939895,0.02320281351211621,18.998543028231325,0.025967937977003152,19.239589611057568,0.025184152027676404,19.082341857694246,0.027080658423630097,18.92536886658229,0.022133604436665868,20.15084620523413,0.05824789752595487
55307.985714285714,19.00855110645557,0.022705154608485843,19.08353515995651,0.02549137515917202,19.422231115776924,0.02555048021501936,19.161604669475423,0.0266262642477961,19.042103445418036,0.021676265361869063,20.48541890457318,0.06045247319775993
55311.1,19.1246018641869,0.022332190068929142,19.179475393261214,0.025134946825678288,19.62033531337596,0.026178934214707024,19.251587287963844,0.026294483390837106,19.171197058625012,0.021357566323821367,20.842678789499416,0.06313411065871105
55314.21428571428,19.251863801698903,0.022169129555514998,19.285879705301795,0.02499705357227476,19.832954358695076,0.027178748190615696,19.351832485175123,0.026189617197189412,19.31201555848787,0.021259454470347567,21.220954068372407,0.06659202346998436
55317.328571428574,19.38966527374913,0.02228211988989007,19.402173642463595,0.025159046364297298,20.059015951770903,0.028632320168414528,19.461794281597008,0.02639932375972561,19.46382379696172,0.021443207608430145,21.61839382160798,0.07108464488457675
55320.44285714286,19.53724245122993,0.022713028155018716,19.527696069212425,0.025677409844983838,20.297330923175195,0.030597029169676587,19.58084147208416,0.026985946938000074,19.62579061833253,0.021945772102876078,22.03298156782631,0.0768205710432713
