mjd,V,err_V,R,err_R,B,err_B,r,err_r,i,err_i,U,err_U
57525.5,17.217585716852,0.06463704569372467,17.427100360438885,0.06728832787981023,17.317624458251487,0.08193883512199435,17.423998729288257,0.06753041842722282,17.61645697621185,0.07336757186442902,16.192694747563735,0.12314895691332024
57528.681818181816,17.04348884106315,0.04299841902731214,17.255360720289445,0.04613828691506016,17.1371632606822,0.05773194386862909,17.252404345401203,0.046383918834884276,17.44475683772265,0.05179718949743744,16.015761437602634,0.09272661630897194
57531.86363636364,16.89201898321471,0.028887752244933604,17.1042406281706,0.03237237546087738,16.982190671378078,0.0414783132221879,17.10136734314119,0.03261345485569906,17.292928380990304,0.03757902947346806,15.866840608750579,0.0709802793210637
57535.045454545456,16.76464836449736,0.02199286199608138,16.974951142279565,0.025380840417020243,16.85452122812444,0.032719466968166765,16.97209141384593,0.02560022338720168,17.162077005156902,0.029987707634646747,15.748139890409561,0.057712851628987843
57538.22727272727,16.662399611372223,0.020366043212604726,16.868274869400466,0.023307141677641346,16.75548543243724,0.029607283788463546,16.865352555677703,0.02349587623891848,17.052886333630056,0.027305157878327088,15.661365590196453,0.051504248420792674
57541.40909090909,16.585831730094128,0.020726218991024437,16.78456547523234,0.023458440749361303,16.685899250359626,0.029162914356356276,16.781498935267848,0.023630771078193724,16.96562355465244,0.027156575089966398,15.60766908085219,0.04966386213936207
57544.59090909091,16.53503338187687,0.021123229958370612,16.723754907757325,0.02412342564628004,16.646040569371166,0.029278114361151606,16.72045846931576,0.024300022647744154,16.900152696470343,0.027889224675266697,15.587599098994929,0.04972937984394728
57547.77272727273,16.509623582271615,0.02120235313727112,16.685367596427625,0.024828991557915958,16.635633766936962,0.02936503948775998,16.681753366963108,0.02502405016713758,16.855954724751825,0.028905452622156054,15.601062614964178,0.05059317513515787
57550.954545454544,16.50875981279239,0.021380059177332062,16.66854068023423,0.025708260415548075,16.653843496688978,0.029836616714539504,16.66452066220603,0.02592689172134835,16.832153107016268,0.03019329054479893,15.647297019477037,0.052390406295652614
57554.13636363636,16.53115339735899,0.022289671636598934,16.672049177575673,0.02703915105288173,16.6992786655519,0.031489418126838774,16.667537625456987,0.027278222254002955,16.827543345907202,0.03191467830190205,15.724856254261624,0.05585142160264415
57557.318181818184,16.57509186355344,0.024370089979558227,16.6943349497094,0.0290177878589972,16.770007354471602,0.03489280146094956,16.689250884041087,0.029269273892375578,16.840624952390158,0.03420286855472457,15.831613173860887,0.06157260771749379
57560.5,16.63846788188698,0.0276335175103959,16.73353832981155,0.031697432834548234,16.86358313013011,0.0400005431097316,16.727808105527856,0.031953466701732755,16.869634413742006,0.03711367649329088,15.964779868191727,0.06953299884443258
57563.681818181816,16.71881425790116,0.03175048523082826,16.787531386600165,0.03503726374855491,16.977082816777852,0.046243561216761,16.78109120023646,0.035294652342104195,16.91257790141259,0.040664935764298527,16.1209469250457,0.0790878052228075
57566.86363636364,16.81334434456869,0.03627552195060634,16.8539519531937,0.03898906933943632,17.10715536593824,0.05284016062723912,16.846750167852065,0.039252045377081934,16.967262742452192,0.04490366386088269,16.29614171321589,0.08925179252387212
57570.045454545456,16.91899714817282,0.04079969594249538,16.930237760509954,0.04357151001591677,17.2500810033078,0.05899866072380981,16.92223692952433,0.04385294295150236,17.031327018552247,0.049963394856932734,16.485904781661816,0.09896210323007228
57573.22727272727,17.032486321795773,0.04502801765039178,17.01366024814979,0.04892371917784418,17.401839377520673,0.06399697340199331,17.0048387284005,0.049245008804676825,17.102267026457866,0.05610091729400436,16.685382470678746,0.10722927071700654
57576.40909090909,17.15035217804632,0.048858067898543994,17.101357860059068,0.05534854754372813,17.558185016655727,0.06723228258558592,17.09171092352267,0.055737735580529794,17.17746269710625,0.06371464042395147,16.889432894591096,0.1132279824536585
57579.59090909091,17.269015808044344,0.05251619116667187,17.19036884369382,0.06334875529057576,17.714728046654614,0.06831571029870459,17.17990921996295,0.06383618349145646,17.25420139384113,0.07334775240561021,17.092741656850592,0.11639328349548289
57582.77272727273,17.3848343676093,0.056766982628376386,17.277663738863907,0.07364433804493649,17.867017867748586,0.06729563226182507,17.266421550469374,0.07425606212841714,17.32970076183102,0.08567758727314989,17.289943062165776,0.11658231459614785
57585.954545454544,17.49415658439443,0.06310889501775725,17.360177849787533,0.08715306842413315,18.01062734065954,0.06515938537334094,17.348199934160277,0.08790400517067662,17.401131458141435,0.10149362459499252,17.475742245505103,0.11438113002503991
57589.13636363636,17.59337755125324,0.07368916883731275,17.434844031412183,0.10493049652598195,18.14123501500967,0.06474460801619182,17.422192675999668,0.10582038132086664,17.46564064088699,0.12166953112426124,17.64503357234952,0.11165458598122185
57592.318181818184,17.678991900829715,0.09074429157398736,17.498626086395575,0.12809139744163653,18.254703039714116,0.07124169587468669,17.48537723445702,0.12910533182241565,17.52037703324828,0.14713566707021972,17.793010883492684,0.11224620953111876
57595.5,17.747644503325375,0.11598423146988056,17.54855296730119,0.1577447423653151,18.347148620962287,0.08975138909637224,17.534793979109736,0.15885727717170844,17.56251821161709,0.1788558090719702,17.91526564234607,0.12184130483940185
