mjd,r,err_r,g,err_g,i,err_i,z,err_z
56750.5,20.900833513210614,0.01620621410882777,21.05882652725444,0.026969018215505573,20.980296207966376,0.05525602626786794,21.27116584841849,0.05118423229713376
56753.541666666664,20.69190868818214,0.01298414508811644,20.84924411920622,0.02401746231483937,20.77293847639669,0.05155938417065494,21.060699662519312,0.04762040197533796
56756.583333333336,20.49680444917965,0.01050517874279615,20.653438674340748,0.021584973991101184,20.57907446099432,0.04818410284371148,20.863951811586617,0.04439727160872725
56759.625,20.31524275698041,0.008797454209204289,20.471132261434605,0.019590955151281193,20.398430726770584,0.04508029683884069,20.68064450955501,0.04145888021883218
56762.666666666664,20.14693179822791,0.007839434262385623,20.30203320258113,0.01794700084072856,20.230720349322723,0.042203728152503533,20.510486260555865,0.038754700479299506
56765.708333333336,19.991566710000654,0.007507500569801355,20.145836797787467,0.016565252287901785,20.075643628202897,0.03951770217849977,20.35317258360982,0.036241954286806044
56768.75,19.848830323033383,0.007598961207428897,20.00222606826901,0.015368168423085216,19.932888818675508,0.03699489177626137,20.20838675588743,0.0338878104282594
56771.791666666664,19.718393922482903,0.007925235227358603,19.87087251712518,0.014297665299444864,19.802132880587635,0.03461912540296265,20.075800573480308,0.031671492494256846
56774.833333333336,19.59991802386685,0.008373624213405614,19.75143690537203,0.013322664391478955,19.683042242189003,0.03238720826683545,19.955075127266014,0.029586394970888857
56777.875,19.493053163399566,0.008908897270194695,19.643570042128204,0.012445318189492046,19.575273578122733,0.030310812714046603,19.84586159311209,0.027642299516806187
56780.916666666664,19.3974407006761,0.009549986196961988,19.546913587168547,0.011706148817612215,19.478474599097524,0.028418310774997152,19.74780203434625,0.025867617199255507
56783.958333333336,19.312713631869144,0.010344744319340328,19.461100864183777,0.011185823753557474,19.392284852514763,0.02675603457353149,19.66053021474596,0.0243111231568074
56787.0,19.23849741210273,0.011348097207492443,19.38575768284295,0.010996240318028696,19.316336531498735,0.02538777185164239,19.583672420524465,0.023041770239886825
56790.041666666664,19.174410785197153,0.012605449842114121,19.320503168520077,0.011251834274127978,19.250255291383894,0.024390510815060072,19.516848289826328,0.02214404310536864
56793.083333333336,19.1200666189539,0.014143631899195968,19.264950597271763,0.012026770400622076,19.193661071411896,0.02384436530488423,19.459671647438483,0.02170606559332035
56796.125,19.07507274439854,0.01596972503274767,19.218708234953397,0.013328164495201491,19.146168920523507,0.023816713160505276,19.411751343551828,0.021800493148891695
56799.166666666664,19.0390327970768,0.018075097511741006,19.18138017825703,0.015107057255546124,19.10738982481746,0.02434521780169713,19.37269209465734,0.022464621037755123
56802.208333333336,19.011547059004556,0.020441002136009325,19.15256719632839,0.017289926504359895,19.076931535825395,0.02542796961176814,19.342095324637285,0.023690513202667046
56805.25,18.99221329923091,0.02304334344900855,19.131867571156192,0.019803319335295232,19.054399397135512,0.02702612638707595,19.319560004789025,0.02543083170987704
56808.291666666664,18.98062761131439,0.025855873906668235,19.118877934613693,0.022584015744697525,19.039397168121866,0.029076412238788263,19.304683490557977,0.027615075844916945
56811.333333333336,18.97638524632066,0.02885202197348219,19.113194101244403,0.025580215318060717,19.031527843031085,0.03150580319445973,19.29706235368394,0.030166125709455007
56814.375,18.979081439293907,0.032005808183308296,19.11441189420441,0.028749522270506308,19.030394463685354,0.034242472950948316,19.296293207835845,0.03301103353732304
56817.416666666664,18.988312227721224,0.035292238326118254,19.12212796351139,0.03205651809632067,19.035600924223615,0.03722151497635197,19.301973526188192,0.0360857067707753
56820.458333333336,19.003675260271848,0.038687427839357635,19.13594059424605,0.035470789169488384,19.046752766135,0.04038672505481912,19.313702449137736,0.03933567125332415
56823.5,19.024770594355857,0.04216860206311111,19.155450503665236,0.0389655134553613,19.063457962301925,0.04369024642653501,19.331081580841442,0.04271503600404076
56826.541666666664,19.051201480436816,0.045714047742693886,19.180261625174296,0.04251649779825495,19.08532768794646,0.047091373898604794,19.353715772483895,0.046184937964645116
56829.583333333336,19.082575132270506,0.04930305214138096,19.209981877958228,0.04610153535342928,19.111977077650636,0.05055521053827996,19.381213891348864,0.04971205053967614
56832.625,19.11850348087222,0.05291584569873037,19.244223920461934,0.04969997973340043,19.143025966217238,0.054051469218019496,19.41318957359084,0.05326735189681452
56835.666666666664,19.158603911215835,0.05653355413832505,19.282605886629085,0.05329246328946966,19.178099612516633,0.05755350296682709,19.449261959678665,0.05682517551951771
56838.708333333336,19.202499979621507,0.06013816120305512,19.32475210266489,0.05686071091336453,19.21682940451518,0.061037558306588455,19.489056410553474,0.06036250361364651
56841.75,19.249822111492904,0.06371248118719158,19.370293784197145,0.06038741731276066,19.258853544342685,0.06448221543610291,19.53220520391693,0.06385845083899877
56844.791666666664,19.300208276606668,0.06724013979576149,19.41886971107624,0.0638561667480692,19.303817711903207,0.06786797468625184,19.578348208289526,0.06729389073541614
56847.833333333336,19.35330464217435,0.07070556167665495,19.470126879642862,0.06725138130868047,19.351375705917405,0.07117695354620558,19.62713353441967,0.07065118676685739
56850.875,19.4087662011799,0.07409396319558496,19.52372113066116,0.07055828853110188,19.40119006106636,0.07439266581938488,19.67821816235579,0.0739139993191784
56853.916666666664,19.466257375650457,0.07739134909738876,19.579317751693793,0.07376290204881097,19.45293264005244,0.07749986125736723,19.731268543041324,0.07706714751212579
56856.958333333336,19.525452593428156,0.08058451208676023,19.636592053440665,0.07685201112716528,19.50628519979807,0.08048440952847036,19.785961173625594,0.08009651067506274
56860.0,19.58603683720554,0.08366103438186331,19.695229917887843,0.07981317607380835,19.56093993011791,0.08333321668901195,19.841983144789424,0.08298895842244926
