mjd,i,err_i,r,err_r,z,err_z,g,err_g
56865.879310344826,21.58209948525925,0.21422724581687103,21.754654624957126,0.2104904425104472,21.99617609279322,0.21978544277622522,22.64001307851852,0.22578793934977096
56868.925287356324,21.610360003652843,0.22518122097868118,21.781575096335587,0.22172421238425288,22.02526300988451,0.23089758905320304,22.663877728452633,0.23712116570799877
56871.971264367814,21.638589480114305,0.2350584171325659,21.808431315271704,0.23186996450115818,22.054324271300402,0.24091568020280785,22.687588128879156,0.2474603865094689
56875.01724137931,21.666608945393293,0.2437242314872798,21.835046023932833,0.2407917859735166,22.083176903812742,0.24970223291440452,22.71096813825065,0.2566454733839173
56878.0632183908,21.69425115560226,0.25106132006122245,21.86125384004042,0.24837108089265117,22.111649874277006,0.2571374411330704,22.73385412350902,0.26453782686559685
56881.1091954023,21.721362672534426,0.25697038745613776,21.886903341927322,0.25450733094862005,22.139586212022465,0.2631199762197643,22.75609709846715,0.2710205152762248
56884.15517241379,21.747805703695633,0.26137110628659493,21.911858911542993,0.2591190005901579,22.16684488631654,0.26756791906094574,22.777564610708197,0.27599869279022693
56887.20114942529,21.773459685712453,0.26420305336375716,21.936002319006803,0.26214446438071237,22.19330242224241,0.2704197104529793,22.798142360094303,0.2794001544805929
56890.247126436785,21.798222597751334,0.2654265787593475,21.95923403528792,0.26354286705090413,22.218854241357704,0.2716350349551031,22.81773553507729,0.2811759168450925
56893.293103448275,21.822011994643162,0.26502354591998134,21.981474262685282,0.26329485079359743,22.24341571661904,0.27119557553637325,22.836269856201923,0.2813007385535721
56896.33908045977,21.84476575250224,0.26299789852850697,22.00266367588071,0.2614031028678901,22.266922934216268,0.2691055940990439,22.853692319420873,0.27977351810355794
56899.38505747126,21.866442522751967,0.259376024519376,22.02276386949916,0.25789269168300777,22.289333158143307,0.26539230795600965,22.869971635092227,0.27661752351508445
56902.43103448276,21.887021893562462,0.25420690078248503,22.041757511199194,0.25281117269955433,22.310624996480954,0.26010604576034113,22.88509836176344,0.2718804249825672
56905.47701149425,21.90650426074785,0.24756201449352794,22.059648202404674,0.24622845769588547,22.330798271473853,0.2533201791120824,22.899084737015798,0.265634115219501
56908.52298850575,21.924910413135777,0.2395350693710216,22.076460051749194,0.23823645301419405,22.349873598509276,0.24513083869328572,22.911964210725557,0.25797431449481906
56911.56896551724,21.942280840275345,0.23024149800356775,22.092236969188548,0.22894848498190892,22.367891682003375,0.23565643684850165,22.92379068908417,0.24901996809862495
56914.61494252874,21.958674773063052,0.21981781501691408,22.10704169146672,0.21849854437850358,22.384912338981025,0.2250370321590018,22.934637500541015,0.23891245263125843
56917.66091954023,21.974168970431464,0.20842086014720834,22.120954552187385,0.2070403970372583,22.40101326374085,0.21343358547190835,22.94459609749501,0.22781461257483251
56920.706896551725,21.988856267617535,0.19622699409631578,22.134072012151023,0.1947466244311131,22.416288549417345,0.20102716939820858,22.95377451004657,0.2159096468147775
56923.752873563215,22.00284390371084,0.1834313198625964,22.14650496779194,0.18180767520614816,22.43084698448351,0.188018200155569,22.96229557038194,0.20339984982356274
56926.79885057471,22.016251648149165,0.17024699925416767,22.158376857542493,0.16843102175242008,22.444810144235674,0.1746257514045268,22.970294928410283,0.19050517266244626
56929.84482758621,22.029209747565062,0.1569046985759689,22.169821587687665,0.1548405133996359,22.45831029907842,0.16108696185772486,22.977918881078892,0.17746148532174438
56932.8908045977,22.041856715887718,0.14365208697963164,22.18098130079437,0.1412759714611298,22.471488162955268,0.1476564159297967,22.985322039358124,0.1645182643093019
56935.9367816092,22.054336991875374,0.13075304416431083,22.192004011053683,0.1279929185542025,22.484490506564043,0.1346050741366753,22.992664858187794,0.15193516001353455
56938.98275862069,22.06679848923821,0.11848567297119043,22.20304113189613,0.11526194883878935,22.49746766100688,0.12221772145755568,23.000111055718975,0.13997649197897757
56942.028735632186,22.07939006529284,0.10713718414686091,22.214244921993412,0.10336640823135725,22.510570938317983,0.1107868410016309,23.007824948980755,0.12890222734397672
56945.074712643676,22.09225893458293,0.09699219940176389,22.225765876272078,0.09259550461480515,22.523949995808522,0.10059936650629339,23.015968733601568,0.1189536792446074
56948.120689655174,22.10554805415603,0.08830969417503154,22.23775008881813,0.08322778944827268,22.53775017144622,0.09191177256747718,23.024699735502082,0.11033265690669651
56951.166666666664,22.119393507208684,0.08128502264675286,22.250336614562116,0.07549869690328181,22.55210981748843,0.0849108729056295,23.03416766245155,0.10317505800263692
56954.21264367816,22.13392191157402,0.0760010400349304,22.263654856409318,0.06954997409015834,22.567157659368092,0.07966587263370621,23.04451188316588,0.09752432236112588
56957.25862068965,22.149247879086232,0.07238650618628084,22.277822004019157,0.06537349174193728,22.58301020635969,0.07609064524492636,23.055858761128718,0.09331490980053836
56960.30459770115,22.165471551163108,0.07020911847780242,22.292940549744515,0.06278107330753105,22.599769239869147,0.07394180311223739,23.06831906960778,0.09037643686490562
56963.35057471264,22.182676235079953,0.06911744697697914,22.30909590637745,0.06143084317046201,22.617519404291244,0.072863333581055,23.08198551341323,0.08846194272092633
56966.39655172414,22.20092616432035,0.06871552583046875,22.32635415022284,0.060905644599257236,22.636325924273933,0.07246007205782233,23.096930381808676,0.08729252371035183
56969.442528735635,22.22026440512346,0.06863636468528134,22.34475991178641,0.0608036216238327,22.656232470941347,0.07236817146572531,23.113203355668077,0.08660396561657159
56972.488505747126,22.24071092992088,0.06859102551805468,22.3643344348842,0.06080352966187158,22.67725919817343,0.07230172482147856,23.130829490461053,0.08618330636754515
56975.53448275862,22.262260876762895,0.06839046308593907,22.385073823411773,0.060695036280613346,22.699400968407616,0.07207357948579111,23.14980739499623,0.08589043213290694
56978.58045977011,22.284883012121185,0.06794867707241281,22.40694749325573,0.06038380793136561,22.722625785695215,0.07159842481209484,23.170107624051894,0.08566559156840943
56981.62643678161,22.3085184125882,0.0672759752477417,22.42989684497948,0.05988352065695584,22.746873451829913,0.07088630821415107,23.191671301078486,0.08552564298832148
56984.6724137931,22.333079379060194,0.06646672954475362,22.453834170939956,0.059301006270194905,22.772054459406604,0.07003064955683552,23.214408985129637,0.08555111571057039
56987.7183908046,22.358448594939517,0.06568155955579802,22.47864180845005,0.05881443667804047,22.798049133564575,0.0691907143298219,23.238199794034074,0.0858649517098454
