mjd,r,err_r,i,err_i,g,err_g,z,err_z,B,err_B,U,err_U
55906.5,20.172348521227377,0.1657253325299552,20.305667387512585,0.17640847048337255,20.007150143818308,0.22031439501804098,20.52471114876562,0.18888679965379038,20.00261439875112,0.2539016761297609,19.08592709987579,0.31102595630785423
55909.61111111111,19.94944997811308,0.13159263598159934,20.07610963294337,0.1420839490073637,19.80680076221006,0.17905052736613825,20.289411853952515,0.15370780276926732,19.808117526127717,0.2087328544352364,18.91076843337669,0.25945766570287604
55912.72222222222,19.74470950551722,0.10331655407899511,19.863375861187706,0.11347817785189443,19.630271366085708,0.14373037216367818,20.070202509511546,0.1241640818115778,19.63906345490568,0.16956704191043284,18.762809496147383,0.21388301743264906
55915.833333333336,19.55991640278762,0.08041678382892951,19.669261591505347,0.09009564169044605,19.47935900161201,0.11391289988515396,19.86889447420981,0.09975903136573513,19.497255100648545,0.1360114694489744,18.643781846995353,0.17403963643257617
55918.944444444445,19.39660834873939,0.06242577340518156,19.495324611834803,0.07145207025552844,19.35554900792704,0.08919500480008224,19.687068602880572,0.08001560666470522,19.384166328067295,0.10771976198164386,18.555071811724247,0.13972034703667474
55922.055555555555,19.256056256206648,0.0488720906628673,19.34287006983459,0.057066940914799,19.259998650766647,0.06923860187763596,19.526060388539463,0.06447738229633505,19.300925211490267,0.08442498547022674,18.497703834197637,0.11081272478719914
55925.166666666664,19.13925205297437,0.03922852850390119,19.212938289237627,0.046437279724339676,19.193524539144164,0.0537981440939425,19.386947720474836,0.052695649910841906,19.248301324287695,0.06597979121686644,18.472328114684387,0.08735277280136383
55928.27777777778,19.046899534193017,0.03283439472747137,19.106295449507797,0.03899672097174497,19.15659400151253,0.04271528576581656,19.27054139263828,0.04419827215742178,19.22669724274556,0.052373026223643725,18.47921272888607,0.06956302789418528
55931.38888888889,18.9794083918423,0.028874966732368685,19.02342723096217,0.034095235135654274,19.149320542236637,0.03579382148832018,19.177378463088644,0.038453615952130496,19.236144389745732,0.04361532512184753,18.518240355338094,0.05774427520501074
55934.5,18.9368914856841,0.026512497270953343,18.96453549053922,0.031051711328418722,19.1714634412142,0.032514175703554575,19.10771853050801,0.0348702333880761,19.27630328074065,0.03936789116543067,18.588909670240355,0.05180043771081899
55937.61111111111,18.91916537819452,0.025094703575845707,18.929537995514238,0.029272677561183614,19.22243150022132,0.03189025622622431,19.061542958374957,0.032863978692136676,19.346468170365824,0.038602213013224036,18.69034139880614,0.05064325893814172
55940.72222222222,18.925754113887706,0.024263353356335986,18.918071204575426,0.028351717861253525,19.30129088022113,0.03280254297522807,19.038557041784316,0.031958030716641626,19.44557603372732,0.03990665554457888,18.821288941788225,0.05243263156527114
55943.833333333336,18.955896181759726,0.02391877140392029,18.929496047946486,0.028086124253253686,19.40677691519295,0.03442040471537953,19.038195076556804,0.031843880192903073,19.572219752966703,0.04212317059452112,18.98015342682629,0.055507519466746535
55946.944444444445,19.0085545589709,0.024110526577913995,18.96290662157844,0.02842413318535516,19.537309731418645,0.03629781559682044,19.059628255767166,0.03237559876002747,19.724665318432926,0.04459132156639834,19.165002967406508,0.05886974957116774
55950.055555555555,19.08242969496314,0.024918143631033063,19.0171416749954,0.029386660235036544,19.691013447391015,0.03827085236133853,19.10177528541817,0.033521541159728684,19.90087279575482,0.04705807129729231,19.373595849267986,0.062124512514609063
55953.166666666664,19.175975258619474,0.026363494764607906,19.090798738949616,0.030998949464537327,19.865738679478454,0.04035240547356586,19.163315579279697,0.03530699306024122,20.098520756389917,0.04954586653398173,19.603407305977726,0.06530831983233087
55956.27777777778,19.2874164371392,0.02838397070696278,19.182250707790445,0.03325407698745993,20.059088033419357,0.04267756294461951,19.242704863288964,0.03777015855757248,20.31503382079518,0.05227600192495484,19.85165949332304,0.06877684087409061
55959.38888888889,19.41477054481038,0.030865331844273234,19.289664663151143,0.036115035077423745,20.26844422189879,0.04548943482612964,19.33819299260449,0.040942890406160934,20.547612920988286,0.055635505854176946,20.11535422707857,0.07314046320107566
55962.5,19.555869672963127,0.033705819428664054,19.41102270013471,0.03954688441084244,20.49100041503516,0.04914352533470365,19.447843759929583,0.044858098042445366,20.793267853937323,0.06015384063392288,20.391308011442106,0.07919414539820746
55965.61111111111,19.708385089616968,0.036887245887398876,19.54414449534761,0.043564762888568406,20.723792403771768,0.05410780071107072,19.569556452272536,0.049578016093436254,21.048851669160285,0.06646004783357434,20.67618885664251,0.08780442845763611
55968.72222222222,19.869853078896085,0.04054598335492367,19.686711337930774,0.04828697392326291,20.963732136472572,0.06094020083407356,19.701088895102203,0.05523376022526486,21.311096413852283,0.07521252361097573,20.96655436430683,0.09976963173634874
55971.833333333336,20.037701896456383,0.045038484424265654,19.836291330464064,0.05398469820987136,21.207642176691934,0.0702416216654298,19.840081708239268,0.06206586727314704,21.5766497469931,0.0870256589873441,21.258890548562704,0.11571855742669886
55974.944444444445,20.209279508014788,0.050977765192718766,19.990365456290874,0.061115458903021815,21.4522906252555,0.08260415513395873,19.984083486764575,0.07045484243593247,21.8421119300624,0.10242970369745978,21.549650859360554,0.13609526977705833
55978.055555555555,20.381881773694204,0.059200491501637274,20.146354203791816,0.07032191747042049,21.69442605222821,0.09857999325352383,20.130576612975347,0.08093029861339426,22.104072706573334,0.12187564784298177,21.835294882261223,0.16121103785404478
55981.166666666664,20.552780741277275,0.07064997880639917,20.301644436108745,0.08238427784900518,21.930811994218402,0.11867883380428658,20.277003401951333,0.09415123110264192,22.359147594920614,0.14576591541124514,22.11232620542978,0.19131151926773943
