mjd,r,err_r,g,err_g,i,err_i
56627.5,20.126400710929033,0.15228587412203737,20.535453800266737,0.2055380091651421,20.160940108028115,0.20651760825707258
56630.60526315789,20.090456757494792,0.12737009436366434,20.491821774426057,0.182672152546166,20.132122355162608,0.18396645501069894
56633.71052631579,20.054071002031662,0.10735635764163051,20.448363193128557,0.1640503682440735,20.102217149860962,0.1652416686259199
56636.81578947369,20.01772401091398,0.09183559938650446,20.40568262979133,0.14896709281017645,20.07158786113149,0.14968281378109016
56639.92105263158,19.981870573294657,0.08025873443639323,20.364356376738158,0.1366955232915368,20.040574082045225,0.13663783370426677
56643.02631578947,19.946938135676987,0.07192273116060051,20.324928914358736,0.12654657239678518,20.009492059234674,0.12551047819757638
56646.13157894737,19.91332547089496,0.06602587280026662,20.287909567803524,0.11792261919017019,19.978635410549714,0.11579967301043616
56649.23684210526,19.881401575991845,0.06178315519716029,20.253769386469457,0.11035219990031293,19.948276083117264,0.10712284894812102
56652.34210526316,19.851504790967,0.05854085833336767,20.222938281486392,0.10350127573055377,19.918665498927624,0.09922165136650146
56655.44736842105,19.823942128135286,0.055835763323098246,20.19580245562247,0.09716519163729093,19.890035831302157,0.09195339264906197
56658.55263157895,19.79898879984148,0.05339327736044351,20.17270215828711,0.09124885424082868,19.862601353281093,0.08527323842573488
56661.65789473684,19.776887930631915,0.0510903850176555,20.153929795756255,0.08574176263309587,19.836559798238284,0.07921110980182963
56664.76315789474,19.757850438646074,0.0489089650605655,20.13972842326507,0.08069192600966141,19.8120936738743,0.07384530168387572
56667.86842105263,19.742055070008405,0.046892708950944204,20.13029064129455,0.07618037614711386,19.78937147317697,0.06927339655366099
56670.97368421053,19.72964856937284,0.0451116600343545,20.12575791327214,0.07229681283989442,19.768548729913675,0.06558134829936198
56674.07894736842,19.720745969485563,0.04363481537217289,20.126220316129775,0.0691170832514687,19.749768871625747,0.06281406817427565
56677.18421052631,19.71543098271991,0.04251099616400677,20.13171672878184,0.06668434640260058,19.733163829832847,0.06095416196958032
56680.28947368421,19.713756477934112,0.041758678744543136,20.142235456811818,0.06499691507111306,19.718854374997022,0.05991617329265789
56683.39473684211,19.715745026743377,0.04136493930779918,20.157715284596065,0.06400548436815034,19.7069501526085,0.059558947163694136
56686.5,19.721389504333388,0.04129179183054431,20.1780469389538,0.06362005482796797,19.69754940623892,0.05971076119138274
56689.60526315789,19.73065373122904,0.0414861808833908,20.20307494135949,0.06372348575729837,19.690738383370103,0.06019695174870949
56692.71052631579,19.743473143985284,0.04188926618255491,20.23259981899332,0.06418657208761792,19.686590429961257,0.060861240416357265
56695.81578947369,19.759755484489062,0.042441817618451456,20.266380638605938,0.06488009005954544,19.685164789774774,0.06157715630231481
56698.92105263158,19.77938149946405,0.04308466269024502,20.304137821537182,0.06568160724344675,19.686505134221562,0.06225046275245343
56702.02631578947,19.802205643781775,0.04375507511425625,20.34555619339295,0.06647731940407015,19.69063785759147,0.0628155414022016
56705.13157894737,19.828056783246808,0.0443811962967396,20.390288218037767,0.06716073070717622,19.697570180799346,0.06322893384293317
56708.23684210526,19.85673889465042,0.044877039893820574,20.437957362800773,0.06763059899206246,19.70728811394619,0.06346289381357953
56711.34210526316,19.8880317629461,0.04514063268306177,20.488161540234387,0.06779068598467071,19.719754333882832,0.06350157301914566
56714.44736842105,19.92169167743245,0.04505784560014058,20.540476571496953,0.06755399260807957,19.734906037394694,0.06334256604848341
56717.55263157895,19.957452130723908,0.04451515022230963,20.5944596174362,0.0668547664401393,19.75265283347545,0.06300695829716187
56720.65789473684,19.99502452604827,0.043427004527965114,20.649652525842697,0.06567307967289064,19.772874739340324,0.06256160500267992
56723.76315789474,20.034098899967944,0.04178967282622661,20.705585046915246,0.06407951531454027,19.79542034428411,0.06215750497281123
56726.86842105263,20.074344668974106,0.03978508750147695,20.761777873869562,0.06231059243925019,19.820105203275972,0.062085653874210334
56729.97368421053,20.11541140948367,0.03796915215423241,20.817745471510506,0.06088247847454266,19.84671051826669,0.06284128454135489
56733.07894736842,20.156929681584785,0.03752557063283755,20.87299866249012,0.060718473542692324,19.874982159789425,0.06516239461201617
56736.18421052631,20.198511907405305,0.04027617579734489,20.927046948600548,0.06317095481215534,19.904630074576147,0.06998036634683875
56739.28947368421,20.239753315179854,0.047915705462678364,20.979400552652862,0.06973992364294178,19.935328116912615,0.07824758321148247
56742.39473684211,20.280232959999694,0.06111272905199958,21.02957217500699,0.08154734448508567,19.966714332431593,0.09072770328639518
56745.5,20.31951483181058,0.0797502783375509,21.077078467401464,0.09907130189770443,19.99839171333622,0.10790597501611494
