mjd,V,err_V,R,err_R,I,err_I,B,err_B,U,err_U
56118.5,19.32305104632178,0.0274912725756054,19.28939077855466,0.05609315739529015,19.46336893258922,0.14593123178303372,19.347201921416854,0.19171033940880902,17.957544314758707,0.22267646025075452
56121.58620689655,19.181203924523288,0.01752232496063769,19.13641880376599,0.047245412228079764,19.305483574768004,0.13612265396634862,19.24275931849479,0.17976776831888416,17.877105569419655,0.1973672824982235
56124.6724137931,19.06720405282249,0.011218087709202079,19.009948560578778,0.04060055094870244,19.173531904529227,0.12677947950798843,19.169827496552898,0.16733935430769162,17.82836806119667,0.1739988309180599
56127.75862068965,18.981095553674095,0.00777336703329033,18.91005644912366,0.03524450505695872,19.066843723478087,0.1170835363003721,19.12711109308293,0.1535307245358482,17.811154072038335,0.1523652477349364
56130.84482758621,18.92230517337157,0.006481714073311839,18.836215959127003,0.030671412417063004,18.983881626434595,0.10653197113507996,19.112224266984413,0.1378207140178644,17.82462644314728,0.13237376912551888
56133.93103448276,18.889702917782415,0.00658706906241145,18.787357246757892,0.02667563826090287,18.922387072718266,0.0949490080521209,19.12189494249469,0.12013585643447454,17.86735749332729,0.1139994895665264
56137.01724137931,18.88167511103893,0.007392388012804028,18.76193890646391,0.023216604200983416,18.879602496181178,0.08250011363566707,19.152286008054944,0.10092220627371169,17.93741652410972,0.09724877424732989
56140.10344827586,18.896207202695223,0.008432963952487835,18.758029305332457,0.02030766346982603,18.852549332237686,0.06967784261682977,19.199402224210644,0.08117466810370402,18.032471584585437,0.08213266633696177
56143.18965517241,18.930973385278776,0.009428056580549533,18.77339458762799,0.017945332461413555,18.83832579090449,0.057228764184591774,19.259525621993816,0.06239623261974889,18.14989939410225,0.0686507267552814
56146.275862068964,18.98342992846665,0.010213776303298741,18.80559030549557,0.01608241333569804,18.834379141251702,0.045996261056055816,19.329607505391323,0.0464498334379922,18.286896311637975,0.05678589308962175
56149.362068965514,19.05090909320279,0.010719177549762336,18.852053588230774,0.014640794498155314,18.83870921264679,0.03666623888898531,19.407548353505263,0.03510186159743476,18.44058338668401,0.04651178170256258
56152.44827586207,19.130710559504223,0.01095406832861454,18.910192833729525,0.01354563546353373,18.849973216627404,0.029470457834236526,19.49231868152856,0.028793608199171882,18.60809987112225,0.03781456658774054
56155.53448275862,19.220187482467736,0.01099210382322191,18.97747208291912,0.0127525527755521,18.867483059399092,0.024086477286842045,19.583908103777503,0.025587698362459135,18.786681749596028,0.030729745032334724
56158.620689655174,19.316824573110353,0.010943619736130505,19.051487516670022,0.012246900472103105,18.891108265994262,0.020035946051883666,19.68312540725674,0.022980852825047898,18.97372419973908,0.025381437926966066
56161.706896551725,19.418305972620146,0.010917585706002023,19.130033880876,0.012015573527977691,18.921113464206428,0.01739292777384629,19.79129799276052,0.02048177851187979,19.166828741319478,0.021970234639381185
56164.793103448275,19.522571134224563,0.010981505140494043,19.21115908435604,0.01201338275121117,18.95796492784939,0.016905231622917512,19.909927823471662,0.01984074268047157,19.36383676346304,0.020611793053060427
56167.879310344826,19.627857427502022,0.011139397653991034,19.293205707672314,0.01215198937704863,19.002136438943126,0.018745939569947353,20.040353837386647,0.022463733338893753,19.562851160848368,0.02108964037836206
56170.96551724138,19.7327287152184,0.011344397003078691,19.374838687628653,0.012320925243424262,19.053935291864036,0.021713014053576195,20.183455117352423,0.02681728483838894,19.762247384765942,0.022876997028200643
56174.05172413793,19.836089700635057,0.011540602611858212,19.455058982319315,0.012426860085317994,19.113360664956417,0.024329272740215162,20.3394148117477,0.030356763270107112,19.96067488259723,0.02544057932682033
56177.137931034486,19.937186381102947,0.011713219409163752,19.53320355095275,0.012433836099147805,19.18000291007411,0.02568703494169365,20.507558512344986,0.0314730641677129,20.157050027963123,0.028434326321273417
56180.224137931036,20.035593451517343,0.01192851404871322,19.60893248256616,0.012396397519682424,19.252993445286847,0.025579721094974448,20.686282357120945,0.02981596388365064,20.350542208318075,0.031698472564018206
56183.31034482759,20.131189957242896,0.012347299590110357,19.68220455748451,0.012477543750144088,19.33101682116103,0.02448286933840537,20.873088936230488,0.026492596187023213,20.540555325213063,0.03519146463093523
56186.39655172414,20.22412488550799,0.01318850998802827,19.753242907676395,0.012926710853300705,19.412393806245746,0.023488642247828106,21.064744425490062,0.02456175098133597,20.72670705078417,0.038923753047170224
56189.48275862069,20.314774690619743,0.014635339553839536,19.822492744673582,0.013987272928521975,19.49523391856019,0.02396226415799686,21.2575532420924,0.02794749178791784,20.908807460960816,0.042908293799238384
56192.56896551724,20.40369496308631,0.016740944768126854,19.89057333483288,0.015768677380342738,19.57763932884336,0.026694916407001477,21.447719540166872,0.03696256617914136,21.086837278784515,0.04712974846432264
56195.65517241379,20.491568568977527,0.019411903084505674,19.958226515600472,0.018195688239808945,19.65792557412351,0.03137693605507759,21.631737964946296,0.04895634056838616,21.26092448669624,0.05153169837493753
56198.74137931035,20.57915260194386,0.022461051819238763,20.026264062789778,0.021066230035534747,19.734815765199528,0.03713865977182659,21.806741827462247,0.06177084460401449,21.43131724341947,0.056018590813855434
56201.8275862069,20.667226408788338,0.02566675549357138,20.095516137909726,0.024133409695563806,19.807569264150516,0.04317404822575734,21.970743894289626,0.07409784899174018,21.598351380349413,0.060467428021504815
56204.91379310345,20.756542776944116,0.02880975624230324,20.16678287484865,0.027155385900497903,19.87602302900632,0.048897917788490605,22.12273311386525,0.08510437001793036,21.762412247229804,0.06474437950959
