mjd,r,err_r,g,err_g,i,err_i,U,err_U,u,err_u
56669.5,20.893637977086556,0.1253292436413374,20.39820478674153,0.1878274401899817,21.271727183716806,0.1427885847801363,18.935481917901583,0.3700068387313979,20.048494238543555,0.36334757159436615
56672.58108108108,20.5819648550914,0.09326158567370693,20.137692077798704,0.14949191926149358,20.9330406169762,0.11191217935202855,18.758666271454402,0.31466068759599564,19.851373033968002,0.30887238769499437
56675.66216216216,20.303784011637788,0.07140854993257505,19.91375215228841,0.11954194946031131,20.626560346260803,0.09016648095313572,18.621556297601813,0.2668348979526906,19.69541388033909,0.26234805632472086
56678.74324324324,20.06205676445005,0.05707882155630633,19.729156435690015,0.09586452635358239,20.35535971487826,0.07461132351710474,18.526546924470196,0.22557574266307673,19.583179579778317,0.22267289397956425
56681.82432432433,19.85881819784622,0.047215267087542555,19.585728016506295,0.07653991428141946,20.12159058997173,0.06251232507389247,18.47508729028729,0.19023067185981773,19.516241531385205,0.18906849397786782
56684.90540540541,19.695183296230724,0.039272800638842253,19.484348900239596,0.06006319961788341,19.926488988827018,0.05193725429833676,18.467689357581264,0.1605011130440853,19.495188565085257,0.16112936296803929
56687.98648648649,19.571377258635508,0.03181855160018125,19.424991636476207,0.04547289235323738,19.77040495161998,0.041959641014874254,18.503960339359537,0.13646159009744044,19.519660814089534,0.13882009544930382
56691.06756756757,19.486788452189344,0.024515215586795633,19.406773770633137,0.032399018827613646,19.65305502588545,0.03274307791223903,18.589004289854714,0.10555456025871629,19.595170379803633,0.10911633156107407
56694.14864864865,19.440041730323728,0.01795298083596772,19.42803283841917,0.021237069260862114,19.57359380851122,0.024669344955766104,18.733451219679083,0.1020447345364689,19.733131073239775,0.1068918085066818
56697.22972972973,19.429089191636265,0.01376520929129833,19.486418969644845,0.014146214282730484,19.52850083072684,0.01991434496728492,18.88359055618743,0.0879827601043955,19.876405707925457,0.09271921627415121
56700.31081081081,19.451314912412883,0.013850339339243655,19.57900162347461,0.015137814265846055,19.515619531253392,0.01996512564558003,19.046389961813475,0.10075104488199305,20.03252689814218,0.10614383988049772
56703.39189189189,19.503649770813155,0.017139185724792783,19.702386560461008,0.02161943376265702,19.53370838330234,0.023624716562941864,19.271724518414246,0.107475579555065,20.2547582292309,0.11242789661250516
56706.47297297297,19.58269220965461,0.02111390712691599,19.852838883820908,0.029088803861628293,19.57839557495373,0.02836642131157845,19.520244747734523,0.11487935983012329,20.50128979602418,0.11911188339508942
56709.55405405405,19.684830667784468,0.02449463614501653,20.02640786350679,0.036163311999066604,19.646319247732464,0.03269109120764751,19.79106886736544,0.12368180692431101,20.771307562875734,0.12711835432480498
56712.63513513513,19.8063634514412,0.026893054720054828,20.219049296067652,0.04258304846776092,19.73392424527823,0.03606763045603158,20.079911767849296,0.1331346315191052,21.060372731007746,0.13577854316660704
56715.71621621621,19.943612014341227,0.028375952202771972,20.42674134864545,0.048429737415558685,19.83766531058542,0.03848047293090295,20.382071334475313,0.1427043268679142,21.363602044477787,0.14460236216254538
56718.7972972973,20.09302396027533,0.029310258605858643,20.64559017848086,0.05390507963072175,19.954144045502105,0.04020267858831742,20.693631326218906,0.15222959516171833,21.67694773395533,0.1534451892416539
56721.87837837838,20.25126255975202,0.030268635409821214,20.871922095290046,0.05922128747714138,20.080162882520256,0.04171460572007079,21.01044803419009,0.16153279403860427,21.99611596628654,0.16214249851492948
56724.95945945946,20.41528016347378,0.03187371819210564,21.102359623308956,0.06452486721557889,20.21281541346346,0.04356654674710226,21.328790302671777,0.17048685755872084,22.31724734195339,0.17057412312393255
56728.04054054054,20.582373575171303,0.03456338621770125,21.333879498165345,0.06985015281488405,20.349552117137534,0.04620434502126178,21.645757182158974,0.17913968698894878,22.63736065456412,0.1787887407128684
56731.12162162162,20.75022018732585,0.038413294673292846,21.56385137356378,0.07510861639300352,20.4881418146321,0.04990065320907798,21.95698038958605,0.1867189274156119,22.951903529878464,0.18601583068171715
56734.2027027027,20.916894455188213,0.04316281749837641,21.79005678388191,0.08011110850353527,20.626832468051532,0.054544309211357424,22.261263359803166,0.1936203660186811,23.259695089558022,0.19263995297477837
56737.28378378379,21.08086505643751,0.048384753956531856,22.010688680401117,0.08461094999806132,20.764183329904526,0.05987015180646248,22.555382954265554,0.19947835892730087,23.557386005129317,0.19828553263721005
56740.36486486487,21.240973825142035,0.05364394041312412,22.22433260035679,0.08835383718616274,20.899213510424204,0.06553094167209417,22.839499063036854,0.20390885126763428,23.845222786304035,0.20256206896797208
56743.44594594595,21.396398230486483,0.058584072960889036,22.429931210654438,0.09112428254239667,21.03115010096363,0.07115514995476278,23.110357890386517,0.20692692772966562,24.11980501406852,0.20546952180363065
56746.52702702703,21.54659976698538,0.06295963186967976,22.62673456545449,0.09278299608471963,21.159574227712945,0.0764649049088169,23.367561756439457,0.20838834989167945,24.380766729510775,0.2068566029951838
56749.60810810811,21.691261111398376,0.06663667881142185,22.8142389074519,0.09329237678788428,21.284257537604184,0.08126303068233239,23.610354920744783,0.20831380797598378,24.62735169566531,0.20673769735089748
56752.68918918919,21.830215265341096,0.06957269455476765,22.992117208776456,0.09272794378954936,21.405110088381008,0.0854291762739899,23.83819021551914,0.20685515634329882,24.859017720939995,0.20525971909993743
56755.77027027027,21.9633701295105,0.07177790771824726,23.160144877442235,0.09127332101044303,21.5221038784115,0.08889060215098839,24.050659104772855,0.20431534158413986,25.0753627557959,0.20271949581347426
