mjd,r,err_r,i,err_i,g,err_g,z,err_z,V,err_V
55651.5,19.81841811761658,0.10823240039298021,20.009904609639623,0.11573850318355183,19.823939856880248,0.2260509115050267,20.186616591413816,0.1670579978829547,19.717729567713747,0.12420317784864444
55654.62195121951,19.340652054049798,0.07639171778141604,19.53891620367071,0.0997973731249385,19.32355656735351,0.18490472307093958,19.722011675361962,0.15796716288081994,19.237440117730735,0.0887514027524804
55657.743902439026,18.92154420517114,0.06811793610448123,19.125353358620913,0.1011729853671625,18.885398713168573,0.1573138027596609,19.313674436998646,0.15812116468955884,18.81629272234841,0.07410565349030443
55660.865853658535,18.564974925992313,0.07151886468386759,18.772892501468945,0.10660743644442407,18.513824138020876,0.1389087542347282,18.96509038121184,0.15914132513915147,18.45825292092871,0.07206506170489328
55663.98780487805,18.272281719177784,0.07636165596313328,18.482674099106376,0.10997274232788204,18.210585040267446,0.1262680193883221,18.677215768713765,0.1575468948987358,18.164742649177036,0.07398235310909766
55667.10975609756,18.042471426978103,0.0790636542095107,18.25352048239132,0.10985021139556736,17.97503315557488,0.11709561381981132,18.44870067826976,0.15259439931008825,17.93484979683741,0.07556663321174732
55670.23170731707,17.87253219416511,0.07917186150915656,18.082253653592385,0.10653490836501422,17.804426221606175,0.10993938590496728,18.27621223979528,0.1446618430871301,17.76563735609453,0.07561205458620632
55673.35365853659,17.757823099864588,0.07706889615003805,17.964090785206807,0.10074096322393934,17.69431356969274,0.10381024571071393,18.154835571223714,0.13445485593752596,17.652530160296052,0.07403135127065061
55676.4756097561,17.69251513576915,0.073207568442209,17.893090877890714,0.09315443692791696,17.638974425850478,0.09795232723076974,18.07852569384861,0.1226783983324126,17.589753005084447,0.07097904902270857
55679.59756097561,17.670054744189876,0.06793974428189117,17.862623569205432,0.08432663027782007,17.631880015092705,0.09178982503970837,18.040581214079822,0.10993853375710419,17.570791487300212,0.06660833479377094
55682.71951219512,17.68362060282476,0.06154908685131933,17.865830555993725,0.0747033255411274,17.666150031204722,0.08496428531506565,18.034110028173906,0.09675316706836376,17.588846371738768,0.06107418424036034
55685.84146341463,17.726545796498428,0.054334644540502394,17.89605155432706,0.06469857921360149,17.734975500027858,0.0773794801499907,18.052458774812926,0.08360708925753921,17.63725374438578,0.05460067465659088
55688.96341463415,17.79268084597031,0.04668440633529637,17.947190069446613,0.05477023061619341,17.831983421912845,0.06921802208936795,18.089581126000574,0.07101703145823375,17.709846529824382,0.047539578543650894
55692.08536585366,17.876678026783225,0.039125793819265196,18.013999240058368,0.04548331852097335,17.951523580563425,0.060931133536176206,18.14032502531405,0.05959114847973985,17.801237896457927,0.04040497330748612
55695.20731707317,17.974183639694047,0.032360217097298895,18.092274288641747,0.03755705433107183,18.08886417800764,0.053212351411033636,18.200625285262618,0.05006732197707009,17.90701327913743,0.03389083724261921
55698.329268292684,18.081931924045193,0.027254254403678544,18.178945186299885,0.03184314996368077,18.24029002852936,0.0469391025310213,18.26759507551003,0.043266678376076353,18.023824752048824,0.028849298680176785
55701.45121951219,18.197741610576486,0.024617629747281395,18.27207049914628,0.02904956831226684,18.4031043855353,0.042997940848990675,18.33951724137893,0.039815738256837235,18.149388760444424,0.02609135623159868
55704.57317073171,18.32042314357605,0.02462535310233484,18.370740473871535,0.029165291838222647,18.57554253181995,0.041907551528206015,18.41574353542748,0.0396664909692627,18.28239522206391,0.0258828286916608
55707.69512195122,18.449610839095925,0.026555728587431278,18.474903715478305,0.031331448266748,18.75661150579768,0.043470978845246255,18.49651619403528,0.041998207072524794,18.42234221492933,0.027652114719536186
55710.81707317073,18.585539225498167,0.029419284426687307,18.585136846430316,0.034511666007733297,18.945875300035482,0.04692042631231568,18.58273137964882,0.04575741922480383,18.569315418421013,0.030480578217812002
55713.939024390245,18.728786174542734,0.03253458360850948,18.702379950697264,0.038005168578287396,19.143208192411407,0.05140275289844949,18.675667472042846,0.05013984683953964,18.72373481105393,0.033670047414233566
55717.060975609755,18.880006945477163,0.03556883435096179,18.82766216533824,0.04145667788075942,19.34854032501255,0.05627566695519626,18.776702793006308,0.05466117755499649,18.886092621785465,0.0368461606437646
55720.18292682927,19.039682848559394,0.03838878137266596,18.96184140151574,0.04470313590391379,19.561619152224495,0.06113106113394152,18.887047001111256,0.0590413628510957,19.05670610074884,0.039841006310091236
55723.30487804878,19.207905959582973,0.04093661467220312,19.105379925702664,0.047651199445142685,19.781808013765826,0.06571908140662988,19.007508164618912,0.06309222138868793,19.235506392236204,0.04257607451226986
55726.42682926829,19.384217402235222,0.043163901610011685,19.25817362796566,0.05021486658968569,20.007939076546222,0.06987721942020385,19.13831362702743,0.06665552932606862,19.421880876557708,0.0449948678440512
55729.54878048781,19.56751150714527,0.045011893077559255,19.419447593555617,0.05230020175900557,20.23823258574157,0.07348799207860493,19.278997567241163,0.06958479880815273,19.614581144995512,0.047038919673893856
55732.670731707316,19.75601210132757,0.04642076116665485,19.587724522866424,0.05381854397611135,20.47028822482872,0.07646036661153931,19.42836207079489,0.07175387558934081,19.81170272940284,0.04865154008898799
55735.79268292683,19.947320785709493,0.047351618755990754,19.7608661201039,0.054711852509196426,20.70114792120907,0.07872564179446152,19.58451207803448,0.07307757818368388,20.01073633033539,0.04979433251828823
