mjd,r,err_r,g,err_g,i,err_i,R,err_R
55016.5,20.617348171182073,0.11657194530966454,20.94922667036559,0.11844840982592708,20.666157673000328,0.11684791768812433,20.819386833845556,0.1177142862070811
55019.54838709677,20.550623075321482,0.09358171983952125,20.881427497253014,0.09508810952971532,20.59927461217444,0.09380326516705173,20.752007868776275,0.09449876918357307
55022.596774193546,20.48663714935799,0.0764575429596519,20.816411586594086,0.07768828390667566,20.53513720595555,0.07663854851911062,20.687394915961363,0.07720678479815772
55025.645161290326,20.425895739296948,0.0650194432102315,20.754692418974287,0.06606606448501501,20.474251996704254,0.0651733702166116,20.626058273518595,0.06565659796851196
55028.6935483871,20.36884252907953,0.05850269873926574,20.696720820338328,0.05944441964831012,20.417063718739882,0.05864119800764471,20.56844597324772,0.05907599298981882
55031.74193548387,20.315858368305157,0.05546137751641311,20.642883770840797,0.056354142123768575,20.363954123284373,0.05559267676280505,20.51494259686433,0.05600486849417278
55034.790322580644,20.267260824837706,0.05420776666225697,20.59350395025183,0.05508035183116062,20.315241530012486,0.05433609810981927,20.46586882422298,0.054738972942759194
55037.83870967742,20.223304459837436,0.05336558654527992,20.54884001741442,0.05422461509841896,20.271181102730736,0.0534919242156591,20.42148171104259,0.05388853992432906
55040.8870967742,20.184181813654675,0.05207319801031615,20.50908761201174,0.05291142291938532,20.231965837611085,0.05219647608128264,20.381975684463214,0.0525834866935807
55043.93548387097,20.15002508205356,0.0499095758092539,20.474381057769676,0.05071297278265463,20.19772824337747,0.05002773172182489,20.347484235695163,0.050398662186996485
55046.98387096774,20.12090845341629,0.046763935339229526,20.444795737284437,0.04751669677846499,20.168542684045065,0.046874644263894726,20.31808228012534,0.04722219617238167
55050.032258064515,20.096851069125307,0.04274825507915899,20.420351100058554,0.04343637590928035,20.144428346312225,0.04284945728363139,20.29378914671173,0.04316716445702478
55053.08064516129,20.077820561313388,0.03817209488385049,20.401014257197232,0.03878655303128999,20.125352785683845,0.038262463488128784,20.274572150398797,0.038546160412351226
55056.12903225807,20.0637371147115,0.03358311921113472,20.386704108641254,0.03412370838449081,20.11123599793592,0.033662623876363866,20.26035069377309,0.03391221530625833
55059.17741935484,20.054477992561885,0.029857376890767912,20.37729594193263,0.030337992600492004,20.101954955744134,0.029928061235193155,20.25100083732343,0.03014996276323891
55062.22580645161,20.049882460537958,0.028181711445804315,20.372626435396967,0.028635353884790955,20.097348544259603,0.028248428820487153,20.246360271615117,0.028457876721339596
55065.27419354839,20.049757037498807,0.02953534017658846,20.3724989934164,0.030010772046419436,20.09722282429408,0.029605262130859795,20.24623361949932,0.02982477026788577
55068.32258064516,20.05388099766384,0.033903115206671164,20.376689337177368,0.03444885537090641,20.10135654752071,0.03398337743012671,20.25039799220383,0.034235347086332094
55071.37096774193,20.062012045630013,0.040433577239396806,20.384951271034936,0.04108443858304954,20.10950684492667,0.04052929967446773,20.258608719964002,0.040829804049746364
55074.41935483871,20.07389208347962,0.048204364390130185,20.397022542456455,0.04898031248846227,20.12141500757309,0.048318483383478675,20.270605175645187,0.04867674063521456
55077.467741935485,20.089252988194005,0.05654271122421499,20.412630712433213,0.057452882114234126,20.13681227768717,0.056676570416593665,20.286116608769703,0.057096798677270945
55080.51612903226,20.107822317638977,0.06499574956200291,20.431498953316122,0.06604198943900176,20.155425568155067,0.06514962047355241,20.30486790742117,0.06563267213602017
55083.56451612903,20.129328864573438,0.0732500547986099,20.45335169222733,0.07442916464572558,20.176983029680173,0.07342346694917383,20.32658520667661,0.07396786501961408
55086.6129032258,20.15350798042101,0.08107893124535219,20.477920020528984,0.08238406291346329,20.20121938715681,0.08127087747441152,20.35100126454944,0.08187346014480834
55089.66129032258,20.180106593908135,0.08831479326801236,20.504946793246233,0.08973640097434638,20.22788097019088,0.08852386967448604,20.37786052980664,0.08918022963232565
55092.709677419356,20.20888785408698,0.09483608217131541,20.53419134682997,0.09636266339612472,20.256730367113846,0.09506059707433737,20.40692383049185,0.09576542357661844
55095.75806451613,20.23963533264532,0.10056207800296398,20.56543376911003,0.10218083087274402,20.287550637240543,0.10080014862581047,20.437972617414175,0.10154753101480864
55098.8064516129,20.272156726693765,0.10545215480477273,20.59847866168809,0.10714962348921349,20.320149022424175,0.10570180219376914,20.470812703222066,0.10648552787756643
55101.854838709674,20.30628701035141,0.10950771146763143,20.63315834225267,0.11127046265332688,20.354360106101694,0.10976695997981806,20.50527744487124,0.11058082676290153
55104.903225806454,20.341890991274965,0.1127757616642203,20.66933544226299,0.11459111881959753,20.39004837587555,0.11304274695727767,20.541230325208858,0.1138809020522598
55107.95161290323,20.378865236740808,0.11535336558129111,20.70690486403339,0.11721021455773048,20.427110154155116,0.11562645309289932,20.578566897927033,0.11648376506881476
55111.0,20.41713934283416,0.11739188710966758,20.74579507035361,0.11928155027042323,20.465474870352182,0.1176698006158465,20.61721606919093,0.1185422629860065
55114.04838709677,20.456676529619244,0.11909951205666976,20.78596868923961,0.12101666294266906,20.50510565745742,0.11938146819361727,20.657140698642138,0.12026662171711126
55117.096774193546,20.497473554732608,0.12073965302904135,20.827422426135684,0.1226832053474404,20.545999265431647,0.12102549203533294,20.698337512143894,0.12192283516828549
55120.145161290326,20.539559947493046,0.12262211089455842,20.870186285694672,0.12459596523275257,20.588185293501283,0.12291240643076284,20.74083632838557,0.12382374008473265
55123.1935483871,20.582996575267828,0.12508389216430663,20.914322115069695,0.1270973739205671,20.631724753131152,0.12538001572042906,20.784698611201236,0.12630964545543708
