mjd,R,err_R,i,err_i,r,err_r,g,err_g,B,err_B,z,err_z
56362.5,21.376628173024983,0.0980730539862491,21.47976492543512,0.1475916427418298,21.376603081313988,0.1134774427933353,21.87607939692134,0.2640675926857069,22.24010572657062,0.3174015540024357,21.620019562063135,0.19102187225529657
56365.6,21.25516596457146,0.08022242081886087,21.368714083380837,0.13008293430960727,21.250666145130708,0.09667074338966189,21.72939928616688,0.24235649231207734,22.084809208220577,0.2909006436369126,21.513378473207922,0.1719391298068183
56368.7,21.135858355900382,0.06576148789790374,21.259595180509677,0.11492473766016748,21.126992862728002,0.08306097033279161,21.585435765863622,0.22174728563359397,21.93239090690622,0.264966037821499,21.408567623435374,0.1545334841440515
56371.8,21.020092855333132,0.05435626750054134,21.153561142313265,0.10171292281126323,21.00708850267347,0.07217451774428923,21.446151225307403,0.2019808375054337,21.784961459698025,0.2395166492743615,21.306627241583556,0.1384977176700624
56374.9,20.909189200390756,0.04561749872487769,21.051674964177437,0.09009855847400854,20.892414537312106,0.063439477448521,21.313522776902573,0.18270398699690693,21.64464340116865,0.21444590293412,21.20849101377462,0.12358729185729993
56378.0,20.80438795909322,0.03908785328671637,20.954903347070285,0.07979598490726551,20.784373577200313,0.05617677163409331,21.18951604094309,0.16336350930389779,21.51354327534773,0.18954242846162714,21.11498267064235,0.10960665261101718
56381.1,20.706839781096278,0.034258494182181284,20.864112397705867,0.07058304241446248,20.684280582642714,0.049638205390394013,21.076020470819458,0.14318226096552783,21.393697873037127,0.16448433062417928,21.026820643538485,0.0964081007820793
56384.2,20.617595406125474,0.03062329510141832,20.780065424437453,0.06229451131657984,20.593320185438643,0.04312342934390101,20.97474568182224,0.12133020370730428,21.286994402273194,0.1389953874875108,20.94463090356203,0.08391864291337947
56387.3,20.53759653018824,0.027747862848836048,20.70342277193049,0.054811091911714266,20.51250869901014,0.036226201917949785,20.887127585099734,0.09745430911105236,21.195095588230288,0.11323692454383219,20.868960736816916,0.07219431272568069
56390.4,20.467667621779583,0.025316548255033863,20.63474354447135,0.048046695096145335,20.442696405818424,0.029278456391025578,20.814337915097894,0.07283689015947521,21.119429024666715,0.08846283982137947,20.800279512943234,0.06146925664957373
56393.5,20.408508771074594,0.023141108730584746,20.57448897501763,0.04193658708435456,20.38463237011092,0.023886536934031567,20.75745578461374,0.05258800049094804,21.061278187383323,0.06778037280821662,20.738957536117596,0.05212583375824016
56396.6,20.360689644639933,0.02114086120310813,20.52302711063112,0.036428323733818976,20.339052143629488,0.022313347438043595,20.717697414200302,0.046301044979078776,21.02191025643424,0.05574955078916108,20.68523786554215,0.04450272515774157
56399.7,20.32464460729352,0.01931137525088222,20.48063841090425,0.03147666943595074,20.306669182609767,0.02414957204465732,20.696391263456462,0.0538586691675561,21.002544360448155,0.053566191557003276,20.639246633724724,0.03858403171502026
56402.8,20.30066906052798,0.01769228199804798,20.447521800808317,0.02704301426042957,20.287943118639305,0.02614040308254,20.694365686066703,0.06221857777338198,21.00395124425995,0.05535609992532906,20.601090283648773,0.03386603675689684
56405.9,20.28891703460431,0.01633758474111088,20.423800688253323,0.023099382479772966,20.282650291956088,0.025903172419951156,20.710816313670875,0.06364784729297444,21.025727422302225,0.054883485301843456,20.571029264408935,0.029652512471077953
56409.0,20.289400058433785,0.015289677419161539,20.409528454504652,0.01963716880585521,20.28955745892472,0.02284139794423771,20.74244420685136,0.0567736832083401,21.065742855427743,0.05000892914348582,20.549611260275015,0.025513608831683923
56412.1,20.301987317991916,0.014560803675000665,20.404692955040446,0.016681104709940324,20.306656806388673,0.01749138736769308,20.78406885505592,0.04330918393265193,21.12052133238194,0.0417329615041402,20.537586311257655,0.021484901625373438
56415.2,20.32640710083342,0.014128401029768575,20.409219629785184,0.014307781693585039,20.332158552142573,0.011183724484593606,20.831232094064944,0.026843015830951528,21.18687920096363,0.03306225137129888,20.5355274502881,0.01799540720969315
56418.3,20.362249510691072,0.013947383256164589,20.422972914490856,0.012658610625636186,20.36577962186675,0.007154849380584536,20.883580735438045,0.016030072624234618,21.264059180665754,0.0283240749678949,20.543334788584616,0.01565387671189593
56421.4,20.408970423154642,0.013973179239884777,20.44575576412899,0.011911856968155941,20.409365081261967,0.008726784156938377,20.946497196488053,0.020644903718517266,21.35476518239011,0.02896504054630321,20.55999504929514,0.014783141099870925
56424.5,20.465896640536812,0.014183273595209501,20.4773072389944,0.012177402257152534,20.46616034359613,0.010639556397149256,21.029186454983574,0.02521500299345184,21.46396942175852,0.030634238548973253,20.583860015202845,0.01509229339783518
56427.6,20.53223219173924,0.01458724334001173,20.517298256248978,0.013393423377567878,20.539029191512782,0.009976928116125612,21.13999441258329,0.021657986053109854,21.59597987446159,0.030505364427292715,20.613330011191465,0.01627849336937743
56430.7,20.607065711259565,0.015221423471834713,20.565325763794135,0.015365232391423634,20.628710664334903,0.009386609111774056,21.281829209267016,0.017541813086077225,21.751576604387083,0.03158389736745711,20.647520372894178,0.018539358232296996
56433.8,20.689378820718048,0.01613008281830618,20.620905739443515,0.01787932792694762,20.733107805935106,0.013206943366007855,21.45029402163891,0.028597594120961082,21.92685959114442,0.03789341470982531,20.68652770817789,0.021984742119210414
56436.9,20.778055426210813,0.017340410034504216,20.683465544952924,0.020756117798048757,20.8478246808354,0.018747285905875224,21.635099451414135,0.044172461982787514,22.114165082245563,0.047165761588293026,20.731213016815673,0.02615339758556
