mjd,r,err_r,i,err_i,B,err_B,g,err_g,R,err_R
55049.5,18.940782924103644,0.06812060580691745,19.247064412132374,0.07010581541185441,18.727751574765648,0.18654035445411363,18.714235611632034,0.09972918129235003,19.026822123786076,0.06992294967193571
55052.55882352941,18.834858201871555,0.05121770004864336,19.137700375811278,0.05425896151670499,18.620903797352128,0.17074963285048486,18.617846295025856,0.0806659078507205,18.918996292900374,0.054608453567492575
55055.617647058825,18.73718039657183,0.03845547885081389,19.03622797165758,0.04279062245195312,18.525096722573153,0.15706124442855954,18.530120775414446,0.06560111995446462,18.8188399734114,0.043656732904141834
55058.67647058824,18.64802552445593,0.030251009781566536,18.9429241231158,0.03588350553522155,18.441067279232982,0.14536360873318932,18.451103563290417,0.05487602384211664,18.726598886651004,0.03714417763287596
55061.73529411765,18.567585516912402,0.026828661307618015,18.857982524667023,0.033249904293512836,18.36939656252764,0.13571159898557933,18.38078496188939,0.04890471587431165,18.64244071782599,0.03465852130216102
55064.794117647056,18.495970447380614,0.02726488628406058,18.781515904537798,0.03375732085606678,18.31047305843282,0.12823053515805055,18.319123676643414,0.04763119753316145,18.566459734901855,0.035075977716928296
55067.85294117647,18.433211586389234,0.029747992162803934,18.71355911390424,0.035951817281043984,18.264463838178017,0.12297129039513352,18.266066560795366,0.050097426049354195,18.49868178887573,0.03706998931312352
55070.91176470588,18.379265238037647,0.032857355600661796,18.65407299545052,0.03876860435765594,18.231298311784712,0.11976983243968407,18.221563022910004,0.054843467650944555,18.43906936550411,0.039682011428583006
55073.970588235294,18.334017301607787,0.0358938289455648,18.602948974491937,0.04165010562665199,18.21066799045491,0.1181866085105793,18.18557220347998,0.060581446704398835,18.387526418090147,0.04240164084305126
55077.029411764706,18.297288493134943,0.038599531332379006,18.56001430698302,0.044366822359843926,18.202043965922712,0.11756615358108849,18.158061925782704,0.06642609387790605,18.343902808025405,0.04501111429711694
55080.08823529412,18.26884015366886,0.040918521772866236,18.525037910658284,0.04685403736155834,18.204711696193954,0.11718269325163068,18.13899952280508,0.07182635932166934,18.307998300773875,0.04744177076473484
55083.14705882353,18.24838056381725,0.042875037991569095,18.497736698402832,0.04911684295933775,18.217820477098712,0.11639568032402271,18.128335787898322,0.07646165122295742,18.27956619254394,0.049688394019774505
55086.205882352944,18.235571678068936,0.04451737864098619,18.477782326866304,0.05118145493031363,18.240442974817938,0.11475851066547774,18.125984336651754,0.0801736872432418,18.258316758988713,0.05176493696493135
55089.26470588235,18.230036187399833,0.04589281310100786,18.464808268360457,0.05307213139773571,18.271638661367433,0.11206437621251478,18.13179946226728,0.08292469270179172,18.243920805740004,0.053683928907680915
55092.32352941176,18.231364814895528,0.0470375319386895,18.45841711033347,0.05480200031837236,18.310514138743542,0.10833795455727396,18.145556009078632,0.08476535686583839,18.236013648987523,0.05544875837104611
55095.382352941175,18.239123746601308,0.04797434577210515,18.458187984219194,0.05637149360180476,18.356273291948128,0.10378793109180483,18.166934808517908,0.08580392274645704,18.23419985444707,0.05705273290149283
55098.44117647059,18.252862098580295,0.04871444945893538,18.46368402427322,0.05777075730868256,18.408251036463525,0.098734895825223,18.195516787666747,0.08617525447513191,18.23805901138701,0.05848143868321634
55101.5,18.27211932125431,0.04926113194932005,18.474459757142085,0.058983802275005486,18.4659261047035,0.09352957909293205,18.230787981333833,0.08601333910314865,18.247152715904235,0.05971641534925951
55104.55882352941,18.296432443531785,0.04961411346210383,18.490068324377376,0.05999301693970813,18.528910744778386,0.0884786712190839,18.272156408998626,0.08543214927260048,18.261032790736863,0.060739056527748615
55107.617647058825,18.325343061917124,0.049773703075401694,18.510068442890656,0.060783261640375376,18.596918175344285,0.08379610522668689,18.318980226644726,0.08451821326202101,18.279250590279844,0.06153418206693745
55110.67647058824,18.358403983814128,0.049744336887986275,18.534031012376772,0.06134518374700274,18.669711827806395,0.07959169170536533,18.370604900617195,0.0833346033810703,18.301367048906513,0.06209302898595944
55113.73529411765,18.395185439436887,0.04953731316966951,18.56154528402692,0.06167766439830801,18.74704337738342,0.07589533661371216,18.42640560337179,0.08193237735561777,18.32696295471726,0.06241556438965573
55116.794117647056,18.435280783070652,0.04917269497048268,18.5922245112547,0.06178945569148899,18.828588818129674,0.07270091386052913,18.48582986070869,0.08036384889899961,18.355648799831783,0.0625121012182305
55119.85294117647,18.47831161188003,0.04868041356877213,18.62571101066942,0.061700121301559226,18.913892894398828,0.07000987708896166,18.5484349378213,0.07869317822776004,18.387073501589725,0.06240423504168201
55122.91176470588,18.52393223879858,0.048100594170500284,18.66168056993922,0.06144038118008264,19.00233171659613,0.06786357327332086,18.613914718095884,0.07700262385384243,18.42093132747948,0.06212512844022308
55125.970588235294,18.571833465243685,0.04748305884520041,18.699846148501365,0.06105190416659231,19.09310126363505,0.06636538651577939,18.682111955614346,0.07539529437605116,18.456966496272912,0.06171914445253676
55129.029411764706,18.621745609348523,0.04688586894024236,18.73996082706458,0.06058650841315586,19.185235929457804,0.06569593638841825,18.753013653766402,0.07399558561554813,18.494975154961935,0.06124077077410222
55132.08823529412,18.67344075585015,0.046372694773728886,18.781819972395738,0.06010463768741181,19.27765684606254,0.0661120287883719,18.826729655407462,0.07294637822057555,18.534804712616733,0.060752700607624964
55135.14705882353,18.72673420472904,0.04600881239975132,18.825262594908963,0.059672910959067765,19.36924517782586,0.06790540421535164,18.903456922738883,0.07239927547422963,18.576350801128342,0.06032289072868917
