mjd,V,err_V,B,err_B,R,err_R,I,err_I,r',err_r',U,err_U
57051.5,17.28820735971398,0.13565152323706595,17.5307378673676,0.14935204969385943,17.318277850841156,0.14840134800308089,17.094686657858432,0.1507612823111262,17.39511356360852,0.1452580803524887,16.656218139729447,0.20911285243583455
57054.583333333336,17.2145132739034,0.11212943431842055,17.44568360923506,0.12497464424773949,17.250103124571417,0.12511155290399084,17.030383976387306,0.12750352289610217,17.324217556152114,0.12191243224162018,16.55383480031209,0.18300651039936414
57057.666666666664,17.141994216361695,0.09213085915350887,17.361827521941834,0.10408650932628764,17.1824023487589,0.10498079173961718,16.96661491542023,0.10733692245805225,17.253813129617022,0.10176583925469136,16.451537743388215,0.1592205455621225
57060.75,17.071596051097657,0.07538939678358542,17.280264081181016,0.08641393845633365,17.116773063959258,0.08765992064848167,16.904847080218545,0.08995234647746804,17.185522155867545,0.0844501517444368,16.351753055102698,0.13732160468627463
57063.833333333336,17.004200843305753,0.06164205616674726,17.20203409672707,0.07169039110417001,17.055317044742836,0.072869461288137,16.846987017715975,0.07510262377168749,17.121464095251746,0.06967022389385039,16.257753929472415,0.11705331226360079
57066.916666666664,16.940620288182323,0.05062458457508729,17.128116012466833,0.05965534618303806,17.00029320854344,0.0604385063615748,16.7950712698673,0.06261906106502112,17.063913710401764,0.057255686203193934,16.173127505717922,0.098515160302483
57070.0,16.881589995440464,0.04206029563245768,17.059417629212078,0.05004924590050829,16.953410062392308,0.05029686125858849,16.750636751332678,0.05239198929890093,17.01460383450521,0.04716311761432719,16.100690145999835,0.08223514157875905
57073.083333333336,16.827764689385617,0.03564329346791558,16.996768346995296,0.042603939197923255,16.915037126191635,0.04239453986840899,16.714019222690254,0.0443107676655115,16.97394830165088,0.03938853111191707,16.04127713211298,0.06899666696146228
57076.166666666664,16.779714372605525,0.031025245328154635,16.94091202977657,0.03703134146884186,16.883799050776673,0.036624039022247555,16.683992683099802,0.038228358925469746,16.940641567788532,0.03385723253758139,15.993113683081873,0.059447138974757154
57079.25,16.737921488988576,0.0278226706601301,16.89250059984265,0.03301830024156197,16.85691671881756,0.03282410560207347,16.6580739787112,0.03399083898357942,16.91199366870171,0.030390373393959003,15.95232273476691,0.05370842063212668
57082.333333333336,16.702779108763878,0.025653496182076938,16.852088471984672,0.030237224819873322,16.831273438020247,0.03072204291906548,16.63347311056164,0.031388494986431495,16.884978984345338,0.028642872366824113,15.91453644363024,0.051185576232407756
57085.416666666664,16.674590144990702,0.024186273071957542,16.820127937275572,0.028373169854420704,16.804744625440307,0.02974784330001076,16.608278255608326,0.029968407631841727,16.85754440074699,0.027961270313722246,15.876908304599937,0.05067653167406176
57088.5,16.653567597465624,0.023172711679908743,16.79696560306955,0.027154334183500384,16.777140898212494,0.02913524964204463,16.58229670705785,0.02907688352662081,16.829536906828594,0.027539933065312022,15.839535566235583,0.05087092140913216
57091.583333333336,16.639835806631496,0.022450495538617832,16.782839988800006,0.026370120144457908,16.750312567757632,0.02843215545030442,16.557149284372684,0.028289579149334564,16.80280566981814,0.026933766652808836,15.805603541999957,0.05097689479123774
57094.666666666664,16.63343268690943,0.021925026673810223,16.777880366275028,0.025871632770672264,16.727413983465283,0.027818045773516698,16.53561678536984,0.02771187407265237,16.780477085437212,0.026343107521288513,15.780249929904159,0.05092445712385296
57097.75,16.634312896110288,0.021544916268974774,16.782106918140954,0.02556040721914235,16.71174194366722,0.027805579587957988,16.520607204624014,0.027737161025647727,16.76581061233945,0.026301328533781674,15.768780900151086,0.05099721812018555
57100.833333333336,16.64235188557376,0.021281016693108855,16.795432269111544,0.02537376010272946,16.70571323683177,0.02861461147735364,16.514246737311908,0.028514101521052167,16.761191700403728,0.027050761587949324,15.77510058289809,0.0513455571913892
57103.916666666664,16.657350764264592,0.02111265327171255,16.817664421794674,0.02527222171242098,16.710387826909624,0.029933303892599104,16.517456437956298,0.029743344971392065,16.767662033673787,0.028302791400591505,15.800973917730317,0.051878417311766234
57107.0,16.679041899811978,0.02102100104232851,16.84851110278197,0.02523095849643836,16.72560486756545,0.031235030296540085,16.530074310955115,0.030943171308717734,16.785053246174016,0.029551596616174538,15.846225624254373,0.052460256465055914
57110.083333333336,16.707095170260743,0.020987843107737242,16.887585495951797,0.025234928160880677,16.75048207662047,0.03209286165994664,16.551300706156923,0.03172383338480978,16.812478529546794,0.03038377405286236,15.90949539438374,0.052998596538848766
57113.166666666664,16.74112477225961,0.020997412463721967,16.934413309407887,0.02527663794099194,16.783901945028845,0.03224635532137249,16.58013178389399,0.031856468321335846,16.8488114626293,0.030541073200559727,15.9889756860793,0.053372401860279285
57116.25,16.780696484999396,0.021039197846949565,16.98844109106159,0.02535524910707869,16.824716053395548,0.03165299953951585,16.61554179225965,0.031315808214593344,16.892887511824398,0.029974502722844663,16.082722694308103,0.053522647468190215
57119.333333333336,16.825335283918093,0.02111015659372968,17.049045676778462,0.025475977821315002,16.871642660243225,0.030593082060280694,16.65639203868068,0.03035602261215637,16.94340374821516,0.028956659268192537,16.188502674806102,0.05368379428010654
57122.416666666664,16.87453319480204,0.021215425316445356,17.115544625263425,0.025649067665879308,16.92304128978617,0.029566921233963275,16.701230125645623,0.02941470083094248,16.998697645337643,0.02798256970269617,16.303453553514146,0.054279482990051996
57125.5,16.92775727680646,0.02136717356137508,17.187207466636522,0.025887962575840452,16.976802531569746,0.028920378786723145,16.748191535429555,0.0288035780204482,17.056639454491886,0.027389877574720736,16.423924694347534,0.055454143360628254
