mjd,r,err_r,i,err_i,g,err_g
56090.5,20.98799106245076,0.1297440042872174,20.70263214568166,0.12797996653785465,21.635851366288136,0.1337489607437396
56093.56349206349,20.873835084984535,0.10496698092322808,20.590028266554498,0.1035398188913946,21.518171605816065,0.10820711668916448
56096.62698412698,20.759686892519937,0.08540598279774582,20.477432066581798,0.08424477786598862,21.40049987065271,0.08804230688543624
56099.69047619047,20.646717181258055,0.07098555175563845,20.365998324834095,0.07002041125723915,21.28404299421885,0.07317674392323999
56102.75396825397,20.53604227611362,0.061439286536425046,20.256828188343263,0.06060393987580004,21.169951760305707,0.06333580323116451
56105.81746031746,20.42871531675428,0.05608722652905387,20.150960477978174,0.05532464805471637,21.059311817044943,0.057818535073531026
56108.880952380954,20.325718118981627,0.053810320250573744,20.04936366048571,0.05307869926535414,20.953135287071007,0.05547134492811347
56111.944444444445,20.227953802376817,0.05335830326979307,19.952928576363604,0.052632828040649234,20.852353167586045,0.05500537502242181
56115.00793650794,20.13624026694947,0.05371111737460004,19.862462005214127,0.052980845181307995,20.75780860565675,0.05536907984457492
56118.07142857143,20.05130459225137,0.05421439048484037,19.778681141000902,0.053477275641405426,20.670251124428773,0.055887888060074414
56121.13492063492,19.97377842200632,0.054526910025953494,19.702209039432205,0.05378554607472302,20.59033186529456,0.05621005449866067
56124.19841269841,19.904194385975813,0.05451694091659566,19.633571088479414,0.053775712508610435,20.518599899308356,0.05619977766195108
56127.26190476191,19.84298359869058,0.054175170542472124,19.57319254111212,0.05343858894542852,20.455499648704063,0.05584745747127594
56130.3253968254,19.7904742618241,0.05355558978603655,19.52139713667634,0.05282743219139968,20.401369446132094,0.05520875140817134
56133.38888888889,19.746891383798697,0.05273804682296013,19.478406824315357,0.052021004783531805,20.35644124560713,0.05436597241233183
56136.45238095238,19.71235761654941,0.051805174813794666,19.444342588351105,0.05110081637772072,20.320841485101482,0.0534043043779406
56139.51587301587,19.686895195705006,0.05082882872218825,19.41922636209108,0.05013774497516774,20.29459308661569,0.05239782029590274
56142.579365079364,19.67042895675627,0.0498632360166947,19.40298400298343,0.04918528075252803,20.277618565453054,0.05140242153776459
56145.642857142855,19.662790386353436,0.048943187543892694,19.39544928883663,0.04827774153059761,20.26974420656836,0.05045397287773392
56148.706349206346,19.66372265489997,0.04808597652420065,19.39636888198504,0.047432185404292705,20.27070525251395,0.04957030134656257
56151.769841269845,19.672886564190662,0.0472957879593439,19.405408196061785,0.04665274047686941,20.280152034664525,0.04875572112905325
56154.833333333336,19.689867332272456,0.046569174491914826,19.422158088612377,0.04593600625984842,20.297656967518833,0.048006678453803804
56157.89682539683,19.714182127051572,0.04590033660949429,19.44614229227045,0.04527626209472175,20.322722314854218,0.04731719478937078
56160.96031746032,19.745288250649423,0.04528520529654099,19.476825487837004,0.04466949428923301,20.354788626714935,0.04668307551518627
56164.02380952381,19.782591868219697,0.04472373461301758,19.513621914420582,0.04411565752671248,20.393243737677153,0.046104273275559
56167.0873015873,19.82545716806476,0.04422024783933444,19.55590440500589,0.04361901630710792,20.437432209715894,0.04558524480026144
56170.15079365079,19.87321583444077,0.04378207306404924,19.603013730467637,0.04318679908574986,20.486665097422133,0.04513354438390062
56173.21428571428,19.92517671063092,0.043417023591125856,19.654268131259528,0.04282671293297533,20.540229909355503,0.0447572265119196
56176.27777777778,19.980635527618006,0.043130509342100616,19.708972913813795,0.042544094215614635,20.59740063702168,0.0444618681007382
56179.34126984127,20.03888457314838,0.04292317730261091,19.766429988140544,0.04233958112410091,20.657447722403617,0.044248136106086716
56182.40476190476,20.0992221771221,0.042789931236167644,19.825947224255174,0.04220814671045372,20.719647836149193,0.0441107769813193
56185.468253968254,20.160961892047794,0.04272095748747941,19.886847507807033,0.04214011074936947,20.783293341407557,0.04403967414130575
56188.531746031746,20.22344125174061,0.04270502553948631,19.948477379696897,0.042124395417004315,20.84770132289225,0.044023250403786816
56191.59523809524,20.2860299974991,0.04273492743932559,20.010215150408612,0.04215389076158758,20.912222066989443,0.04405407531973207
56194.65873015873,20.348137668509935,0.04281454561817956,20.071478387205275,0.04223242642776496,20.97624688645385,0.04413615116336659
56197.72222222222,20.409220462146095,0.04296669192295013,20.131730681163504,0.04238250410660311,21.039215192482175,0.044292993941921606
56200.78571428572,20.468787280078118,0.04324044664955782,20.19048761107058,0.042652536783047736,21.100620727453247,0.04457519896819702
56203.84920634921,20.52640488737154,0.043716139285577424,20.24732183238052,0.043121761761918995,21.16001688327242,0.04506557535207506
56206.9126984127,20.58170212410755,0.044505438860322634,20.30186723157624,0.04390032978679139,21.21702104300448,0.04587923913837633
56209.97619047619,20.634373122110105,0.04574381068835719,20.35382209915531,0.04512186434659808,21.271317896892015,0.047155837203547504
56213.03968253968,20.68417949308423,0.047573884628942235,20.40295128801904,0.04692705606194275,21.322661698033812,0.04904240212609191
56216.10317460317,20.730951468558715,0.05012174823237879,20.449087337920105,0.049440278160546795,21.370877437523404,0.05166891354556787
56219.166666666664,20.774587986371444,0.05347250794740263,20.4921305607661,0.05274547995808123,21.41586093359649,0.055123104987460016
56222.230158730155,20.81505573273671,0.05765313386700061,20.53204809571571,0.056869264854728395,21.457577844132402,0.05943277906244631
56225.293650793654,20.85238716308743,0.06262729568327703,20.568871956928774,0.061775796499635306,21.496061626404185,0.06456048401299204
56228.357142857145,20.886677538616937,0.0683009520106745,20.602696110399506,0.06737231212208021,21.531410482139336,0.07040927557133805
56231.420634920636,20.91808102859079,0.0745336105310793,20.63367262926124,0.07352022957915348,21.56378333952432,0.07683432468274588
