mjd,r,err_r,i,err_i,B,err_B,V,err_V,g,err_g,u,err_u
58429.5,17.495502885189808,0.04725600114689296,17.451612692331196,0.05046938584517514,17.865145225898914,0.04407168584592714,17.473113904117895,0.04446894018328393,17.539407342653817,0.04310235488632365,16.759050570343447,0.06869175143962808
58432.608695652176,17.268147410589904,0.03497768355046978,17.224301005094276,0.038356861705454465,17.634943566760057,0.03130212773248256,17.246639173498806,0.032030000845282125,17.31328407644196,0.030539339276738763,16.546888401250953,0.05698310336040306
58435.717391304344,17.069943500917816,0.02772475847458497,17.025703259893817,0.031014829388909915,17.435864260635526,0.02415237897551522,17.049686961044245,0.024846774161796245,17.117633396083534,0.023493305230049093,16.366542977199174,0.04934998643330737
58438.82608695652,16.899861432115813,0.024101059610612322,16.854797765873172,0.02705590652804353,17.266835569086425,0.02117358821178261,16.881222756029047,0.021550487591340664,16.951404335009556,0.020559378664596367,16.216969720658426,0.044477587246817524
58441.934782608696,16.7565350266691,0.022426114592997395,16.71022987839683,0.02497218829701699,17.126432320292906,0.02027191131379305,16.739873050349615,0.02028280572046982,16.813199537163882,0.019679397172883018,16.096773404810165,0.04128361990444383
58445.04347826087,16.638316365421133,0.021441560468179872,16.590366336391526,0.023660817708486805,17.01293265848335,0.01988103171919205,16.623980245972916,0.01961949149968562,16.7013309181375,0.01930249953641955,16.00426309522709,0.03907266687098237
58448.15217391304,16.543333544869483,0.020565927835991704,16.493352615946378,0.02258999121597591,16.924377983656996,0.01936646692887093,16.53166062824789,0.018935388799303725,16.613878453568304,0.01879891867171212,15.937510239942185,0.037504813849631974
58451.260869565216,16.469549977178986,0.019682371634309064,16.41717180776095,0.021629149471883317,16.858634522136526,0.018665584158222188,16.460863896671526,0.018133006504561837,16.54875056523042,0.01810561886764847,15.894408396826748,0.03646495794417968
58454.36956521739,16.41482373088229,0.01888107595624789,16.359703527050442,0.020833393281642958,16.813454969070563,0.01794025493703345,16.409432745462937,0.017337834882554966,16.503744575937617,0.01738225796722378,15.872733087270262,0.03592831740797282
58457.47826086957,16.376965451675687,0.018290327370345718,16.318781405545906,0.02029252420489888,16.786538686712447,0.017381606572936137,16.37516102775612,0.016714202277819865,16.47660574620477,0.016818495407343054,15.87020030604981,0.03586730568090541
58460.586956521736,16.35379348280958,0.01798412397382573,16.292247794956893,0.0200484186124518,16.775589025222416,0.017107384494366842,16.355849117573825,0.016365797318758483,16.465083486978983,0.016532543442014082,15.884522297226795,0.036210795879603096
58463.69565217391,16.343184920586964,0.01795147204845149,16.278004426424104,0.020071308005798427,16.778366452864702,0.01712534700160439,16.34935520010731,0.01629870611895359,16.46698346060589,0.016534182502154608,15.913459321842993,0.03684696837863155
58466.80434782609,16.343121488250972,0.01811567128507889,16.274057917398295,0.020280097463455705,16.792736335648215,0.01735509714672181,16.353641369112438,0.0164392719302505,16.48021443239054,0.01674548484879401,15.954866291268672,0.0376490050210158
58469.913043478264,16.35172928642328,0.01837774379997354,16.278559190948044,0.020580712145352696,16.81671038772106,0.017681646134722704,16.366813585645104,0.01668243105297096,16.50282891298275,0.01705359319759377,16.00673331534449,0.03850290304961919
58473.02173913043,16.367311674312532,0.018654905594229637,16.289836067389842,0.020898135451927185,16.848481017138738,0.018004066898545928,16.387154749165802,0.01693672221236218,16.533056831136946,0.01735911430539948,16.067219411085034,0.03932606972804971
58476.13043478261,16.388374747300986,0.018900450677709478,16.30641849796075,0.021192144814906395,16.886448010777713,0.01826115612376281,16.41315034412446,0.017148309058435413,16.569331691433035,0.01760174547412312,16.13467882985219,0.04007494059884667
58479.239130434784,16.413645096379014,0.019106778068656828,16.327056128723825,0.021458702757707306,16.9292372302516,0.018436754156558297,16.44350634579223,0.017305577998531798,16.61030889521021,0.017765604153949056,16.2076796815968,0.040744506950376916
58482.34782608696,16.442079756862313,0.019298201112531152,16.350728103255506,0.021722553691520537,16.97571122081945,0.018553587319997983,16.47715929183778,0.01743225534133868,16.654876128710157,0.01787309378811219,16.285014757566387,0.04136317941875535
58485.45652173913,16.472868471105585,0.01951880295340489,16.376645228539473,0.022025567491945397,17.02497186071423,0.018661920075106322,16.513278644238426,0.017575068079338032,16.70215594350384,0.01797358465372491,16.36570467106435,0.041985345110177937
58488.565217391304,16.50542859641928,0.01981854727608796,16.40424483353013,0.02241385875447327,17.07635539243347,0.018825901009605257,16.55126177330817,0.017789174825387413,16.75150086435815,0.01812978715530524,16.448993643242602,0.042682846605285006
58491.67391304348,16.53939317925142,0.020240058589908554,16.433178838387676,0.022926027829404186,17.12942037452467,0.01910904234933749,16.590722086186133,0.018123588288898044,16.802481552833115,0.018403280514765086,16.534338451507665,0.04353596454338052
58494.782608695656,16.574592884865524,0.020808490418723298,16.46329571945489,0.0235846231935467,17.183929266815085,0.019560665519689716,16.631470990883827,0.0186091621938271,16.854868725975393,0.018841088171793828,16.6213912270714,0.04462438516549598
58497.891304347824,16.611032613951465,0.021526529857671867,16.494617196199897,0.02439232474503164,17.239824509495065,0.020206094245640686,16.673494529717118,0.019251853439811895,16.908609674233503,0.019466127016474644,16.70997693101026,0.046018929205704114
58501.0,16.64886375049764,0.022375230339280978,16.527310578592278,0.02533313027491956,17.297200073725435,0.021043211607111464,16.716925629277284,0.020032684204503784,16.96380033749483,0.020274102573845924,16.80006645158619,0.04777518873825351
58504.108695652176,16.68835306671872,0.023319627196793508,16.56165779408775,0.026377529959509094,17.356269545701707,0.022046068991294448,16.762012995754503,0.0209135674000219,17.020653981055602,0.021237399549345296,16.89174634734718,0.04993026637970289
