mjd,B,err_B,U,err_U,V,err_V
56286.5,18.410362173405048,0.08924967464171361,17.330615533702456,0.11331634760432076,18.26397685696702,0.1144059366581542
56289.75,18.322694775406944,0.07185329080064798,17.2479499073811,0.09722429857601485,18.17708210511813,0.09772235225378335
56293.0,18.244855963040976,0.06352535454293319,17.179103504319073,0.08903194658376491,18.097469024991653,0.08906336431517524
56296.25,18.177688704049046,0.06210618918150118,17.125049985692158,0.08686791758144793,18.025876509742005,0.08656385516780032
56299.5,18.121918121100947,0.06432942783515232,17.086514042743516,0.0883130403585424,17.96300116101068,0.08778439622038772
56302.75,18.078145131619806,0.06763746530519396,17.063958146775065,0.09133003881790791,17.909494905311192,0.09065343437768307
56306.0,18.046841164007446,0.07071552151303523,17.057576542917218,0.09463565098257415,17.865960310306434,0.09386146464074029
56309.25,18.028344003983534,0.07310133212512437,17.067296623097093,0.09757717281908342,17.8329436084,0.0967424278594368
56312.5,18.022854813381343,0.07475677243853994,17.092787451593523,0.09989156683840154,17.810925613686607,0.09902800473782913
56315.75,18.030436351821947,0.07579964668499271,17.133474892027834,0.10151580635110447,17.800310875853143,0.10065212580202863
56319.0,18.05101241944459,0.07635417614407577,17.188562516022785,0.10247032265310269,17.801415541443248,0.10162928168469208
56322.25,18.084368526377887,0.07647897870152452,17.25705727107737,0.10280262020135994,17.814454483713803,0.10199317234289963
56325.5,18.130153782092805,0.07615672633084217,17.337798750590366,0.10257987231972297,17.839528316245747,0.10178435338918859
56328.75,18.18788398531143,0.07534250891317805,17.42949083812681,0.10192522739568204,17.876610925059083,0.10108251090598873
56332.0,18.256945882907303,0.07407467267380209,17.530734482660193,0.10109600025971399,17.925538143914935,0.10008399672631765
56335.25,18.336602554387838,0.07265989502749128,17.640060392120034,0.10059975962827097,17.985998163166016,0.09922598881168855
56338.5,18.42599986719995,0.07193918988261352,17.755960500585417,0.10132606461524647,18.057524208723862,0.09934466983093451
56341.75,18.524173937433147,0.07355265640947986,17.87691716410376,0.10462088966519917,18.139489957838748,0.10180207519186574
56345.0,18.630059520579266,0.07986731313580514,18.001429168532127,0.11216943155185342,18.231108074088297,0.10842396446490203
56348.25,18.742499248010233,0.0931933737677356,18.128033789690164,0.1256181435966182,18.331432145658198,0.12110384058119883
56351.5,18.86025361680521,0.11484963050145514,18.25532433191296,0.14614829347826921,18.439362198511503,0.1412549705665837
