mjd,R,err_R,V,err_V,B,err_B,I,err_I
54129.5,17.9331891894562,0.16240524462239703,18.077153118452102,0.16370906368104698,18.566395229711162,0.16813978166268173,17.491025838733307,0.15840096961004946
54132.587719298244,17.87524167755376,0.15435884487312157,18.018740411296335,0.15559807108442264,18.506401631047353,0.15980927564590772,17.434507087842746,0.15055296323700612
54135.67543859649,17.818216276142024,0.16709352190253524,17.96125721692063,0.16843497364480364,18.44736270144523,0.1729935910422503,17.378887711682935,0.1629736509043403
54138.76315789474,17.76537562271551,0.18255076548846805,17.907992364621165,0.1840162992849894,18.392656279466195,0.18899660494468506,17.32734990368502,0.17804977727341292
54141.850877192985,17.719475957185523,0.19261536363689685,17.86172422085866,0.19416169096449803,18.345135925615153,0.19941656903497101,17.282581945511225,0.18786622061230135
54144.93859649123,17.68271104450244,0.19514029869658042,17.82466416170314,0.19670689512619038,18.307072864915625,0.2020306560963041,17.246723512328458,0.19032890042069234
54148.02631578947,17.656677197500414,0.19046925301009435,17.798421314889737,0.19199835284883182,18.280119774742218,0.19719468299695156,17.221331558056193,0.18577302510350557
54151.11403508772,17.64236062367695,0.17996784520404888,17.7839898050201,0.18141264556737116,18.265297684823224,0.18632248698980342,17.207367974124622,0.1755305423792201
54154.20175438596,17.640147428016007,0.16543653593680174,17.78175883668675,0.16676468772194797,18.263006333257295,0.17127810160107074,17.205209345667242,0.16135752050259408
54157.28947368421,17.649855676760637,0.14885625400031716,17.791545015647046,0.15005131067371968,18.27305736242971,0.15411240073161386,17.214678224724395,0.14518604621725764
54160.37719298246,17.670788005412703,0.13225309094664095,17.812645379148762,0.1333148708794823,18.29472878455755,0.13692301522811376,17.235094441132674,0.12899225543746312
54163.4649122807,17.701802380781203,0.11756204440519587,17.84390872604132,0.11850589894777026,18.326838242288204,0.12171326419295829,17.265344119852386,0.11466343603454664
54166.55263157895,17.74139784348563,0.1063751176261347,17.883822047602678,0.10722917659111385,18.367831778696598,0.11013135932173833,17.303963309393055,0.10375233818263134
54169.64035087719,17.78781140301635,0.09952637784376048,17.930608200452184,0.10032546430959796,18.415884153631794,0.1030408128842423,17.34923248781365,0.09707246366551334
54172.728070175435,17.83912176636892,0.09674243371006644,17.98233046789784,0.09751917446907643,18.469006234922063,0.10015857712862002,17.399277733809242,0.0943571615265008
54175.81578947369,17.893355280612184,0.0967814410171953,18.036999352987948,0.09755849403978599,18.525154681687354,0.10019896051260035,17.452174057142315,0.09439520670363089
54178.90350877193,17.948589378193958,0.09804768457121041,18.09267685425391,0.09883489942243509,18.58233904221106,0.101509908209968,17.50604629338642,0.09563022852380489
54181.991228070176,18.003048940169094,0.09916652011826656,18.147573602522414,0.0999627125290964,18.63872151967263,0.10266824183204412,17.559163091207836,0.0967214764701286
54185.07894736842,18.0551913350086,0.09921989979209146,18.200134582397936,0.10001651645222336,18.692705013607338,0.10272349998816882,17.61001985444608,0.09677353835765991
54188.166666666664,18.103776436522708,0.09773345236069104,18.249109712274276,0.09851813210641686,18.743005610101022,0.10118456261633745,17.657407033662935,0.09532373914425507
54191.254385964916,18.14791865033402,0.09457761237847559,18.293606288464275,0.09533695389143768,18.78870644527376,0.09791728960248074,17.70046086984405,0.09224570790504197
54194.34210526316,18.187118851279877,0.08986517138276628,18.333121178987426,0.09058667859783544,18.829290770364878,0.09303845492693834,17.73869454434754,0.08764945504553635
54197.429824561405,18.22127511279632,0.08386786532763417,18.367551639089015,0.08454122328920911,18.86465305996046,0.08682938903128645,17.77200864374356,0.08180001638362393
54200.51754385965,18.250672146206853,0.07695265453835949,18.397184665745158,0.07757049374234082,18.895088078387857,0.07967000891574474,17.800680859485738,0.07505530419325346
54203.60526315789,18.275950411393296,0.06953360041667078,18.422665860361462,0.07009187482369118,18.92125889971362,0.07198899563691168,17.825335860197015,0.06781917044609308
54206.69298245614,18.298056857855613,0.06203526488722553,18.44494977439149,0.06253333612430796,18.944145909502595,0.0642259013702444,17.846897247264565,0.06050570870544941
54209.78070175439,18.318180155370897,0.05486399942111332,18.46523462003813,0.05530449054949407,18.964979748528776,0.056801424620226096,17.86652438245784,0.053511251103517475
54212.86842105263,18.337674029463983,0.04838333797899095,18.484884990277692,0.04877178988413175,18.985161941280467,0.050091934313103034,17.885537613654492,0.04719036811704801
54215.95614035088,18.357972888679228,0.042889528575847734,18.50534680880412,0.04323386026650329,19.006177544099387,0.04440413758464688,17.905335982416034,0.04183200363390486
54219.04385964912,18.380504287364886,0.03858537902519344,18.52805909008015,0.03889513844646794,19.02950451709944,0.039948002531656576,17.92731184510319,0.03763396579371705
54222.13157894737,18.406602889656824,0.03555832697227128,18.554367212642887,0.03584376609690836,19.056524650287145,0.03681405464666091,17.952766958175346,0.03468153779091307
54225.21929824561,18.437430480033186,0.03377924243627105,18.585442287519186,0.03405038244420476,19.088440749753204,0.034972137501869324,17.98283446097838,0.03294630962413413
54228.30701754386,18.47390620865218,0.03313584511725242,18.622210843587027,0.03340180881565092,19.1262044200343,0.03430600945167971,18.01841084096111,0.03231877083198792
54231.39473684211,18.516650683781677,0.033488312643674925,18.66529847118909,0.03375710220131278,19.170458182489995,0.034670914031115434,18.060101404572606,0.03266254716440916
54234.48245614035,18.56594675899555,0.03471118655697453,18.71499029453861,0.03498979717782341,19.221494877927967,0.035936964490599195,18.108182031292074,0.033855273253079174
54237.570175438595,18.621718949777176,0.03669766092420203,18.77121022308404,0.0369922291846135,19.27923635642611,0.037993583596096864,18.162579097743674,0.03579277571007013
