mjd,r,err_r,g,err_g,i,err_i,B,err_B
56042.5,18.654220042712424,0.10401134027359803,18.587247159739434,0.12024201089579173,18.93469257481415,0.11184692993972276,18.45674874334216,0.1589722159072171
56045.546875,18.450851137374556,0.08586641510889594,18.376618277114744,0.10177198121660974,18.731409813273558,0.09397937283444863,18.240886150851424,0.13982772931950493
56048.59375,18.25898085813698,0.07092634154977268,18.178236946300572,0.08629201062461204,18.539487641011874,0.07933397190284833,18.03784897664073,0.12327444174553821
56051.640625,18.07914049973499,0.05890503778569486,17.992704968812546,0.07347294974915275,18.35943684819003,0.06757668702931609,17.84829563233943,0.10898225807615829
56054.6875,17.91174807585689,0.04949357952951044,17.82050684664847,0.06297989888292752,18.191654981875175,0.058340728665811706,17.672764336013188,0.09664600845341574
56057.734375,17.75710893899759,0.04234666321985976,17.662009590926033,0.0544769910968417,18.03642729352704,0.05122758382267459,17.51167224249761,0.08599337759826323
56060.78125,17.61541748096255,0.03707866592938648,17.51746363663341,0.04763677435448569,17.893928771830247,0.04582391583146032,17.365315696757904,0.07679098022670079
56063.828125,17.486759880582582,0.033282201390472,17.387004842426734,0.042153827565482346,17.76422722212854,0.041734191630495,17.233871599600747,0.06884760980759849
56066.875,17.37111785308008,0.030569745065696603,17.270657542082432,0.037759728221428875,17.647287341474225,0.038617728176550944,17.11739986269538,0.062014037955016414
56069.921875,17.268373343934655,0.02861929482943632,17.168338602277828,0.034234829596705235,17.542975726711603,0.0362146194295605,17.015846917643813,0.05617914952474022
56072.96875,17.178314099246137,0.027200617521658157,17.07986242990779,0.03141290229033177,17.451066742272843,0.03435189226074925,16.929050231938135,0.051262575736593485
56076.015625,17.10064003463407,0.02617391644783775,17.004946861339903,0.029177211688820672,17.371249164560282,0.03293159130535639,16.85674377310636,0.0472043929259885
56079.0625,17.03497031575816,0.025468727984926446,16.94321985596295,0.02744942058582827,17.30313351118062,0.03190810200145322,16.798564351546673,0.04395306558841517
56082.109375,16.980851055675657,0.02505537604373793,16.894226907272696,0.026174604969486773,17.24625995580641,0.0312623541817433,16.75405876229965,0.04145369317395506
56085.15625,16.93776352772511,0.024918422016452706,16.857439076746857,0.025306446884731628,17.200106723370794,0.03097895531336149,16.7226916368881,0.03963937535502514
56088.203125,16.90513278732891,0.025037645348336465,16.832261548790996,0.024796379923371664,17.164098855633398,0.0310305528740847,16.70385390805461,0.03842827264897073
56091.25,16.88233659225989,0.025378815066716614,16.818042599504395,0.024588964817627325,17.13761723387543,0.03137148041285212,16.696871783197338,0.03772715247408263
56094.296875,16.868714508514472,0.025893438567902497,16.814082867734356,0.02462334779598268,17.120007743832957,0.0319398305171408,16.70101611657691,0.03743962293475973
56097.34375,16.863577088047634,0.02652429963047301,16.819644814068255,0.024838494018955506,17.110590467785187,0.03266469613840124,16.71551206586227,0.03747558954087636
56100.390625,16.86621500512848,0.02721293097687173,16.833962252055926,0.025179193500775757,17.10866879000443,0.03347472313185019,16.73954891570844,0.037758731171135165
56103.4375,16.87590804019885,0.027906169088553808,16.856249836111772,0.025600632463686393,17.11353830468491,0.03430522784038957,16.772289949596797,0.03823037528026437
56106.484375,16.891933803580116,0.028560528572011072,16.885712392180523,0.026070648386098714,17.12449541965327,0.03510277756576391,16.81288225122111,0.03884976686225611
56109.53125,16.913576096295373,0.02914433384759027,16.921553980468758,0.02656977798735784,17.14084555491192,0.03582732278709771,16.8604663184706,0.03959162978868168
56112.578125,16.94013281140957,0.029638085163818502,16.962986584034297,0.027089636522546742,17.161910841878125,0.0364524703243909,16.914185376218825,0.04044214085969154
56115.625,16.97092328689149,0.030033610885954583,17.00923832317119,0.027630223340447825,17.1870372373927,0.03696452154906225,16.973194278988558,0.04139430928647024
56118.671875,17.005295029347792,0.030332439892999212,17.059561102736325,0.02819667426840234,17.215600975683344,0.03736075067299245,17.03666790076454,0.04244353466812722
56121.71875,17.042629737733307,0.030543687102879427,17.11323760818385,0.028795907081764213,17.247014291525147,0.03764723526208581,17.103808916942967,0.04358390178990393
56124.765625,17.082348566362498,0.03068164954600695,17.169587575672892,0.02943355657009035,17.280730358705284,0.037836438866541755,17.173854892345105,0.04480556579842063
56127.8125,17.12391657781211,0.03076327182261724,17.227973272269423,0.03011154193211158,17.3162473993645,0.037944692080232316,17.24608459941294,0.04609337649880099
56130.859375,17.166846347797843,0.03080564561233368,17.28780413363495,0.030826518091239215,17.353111931609533,0.03798971042797831,17.31982350188497,0.047426697782632476
56133.90625,17.210700696222887,0.030823735924617266,17.34854051871747,0.031569327179540974,17.39092113498782,0.03798830520464454,17.394448351296262,0.04878022603024071
56136.953125,17.255094530760175,0.030828550439886776,17.409696553432923,0.03232541222548746,17.429324325686025,0.03795446561509021,17.469390856477105,0.05012552553364624
56140.0,17.299695801597522,0.030825962318197547,17.470842048258987,0.033076024448766804,17.46802354541569,0.03789799658413455,17.54414039942958,0.05143298439785182
56143.046875,17.344225578050327,0.030816346407383382,17.531603487493044,0.03379998229227595,17.506773279987442,0.037823871613357464,17.61824578460147,0.05267393506909457
56146.09375,17.388457269547132,0.03079509699597702,17.59166410084987,0.03447573283594667,17.545379334981817,0.03773239983751747,17.691316022205797,0.05382275266608971
56149.140625,17.43221502480327,0.03075398429766692,17.650763040593688,0.03508350788570331,17.58369690702898,0.03762022047321839,17.76302015988864,0.054858816262083415
56152.1875,17.475371353689695,0.030683207292286515,17.708693699536752,0.03560742974192853,17.621627899345697,0.037482045101925474,17.833086190193967,0.05576827640630922
