mjd,r,r_err
56038.5,19.30013814534005,0.01914259403923499
56041.5,19.171242605542993,0.02999236759756564
56047.5,18.374641935843055,0.03923566640027526
56059.5,17.62281632299505,0.02439828081794577
56062.5,17.48294597386349,0.026729045732366744
56065.5,17.367823530050448,0.005629473312079826
56068.5,17.294472807817392,0.020319415376123542
56071.5,17.206069206442734,0.016812530805101016
56074.5,17.130000000000003,0.010000000000000002
56077.5,17.07447280781739,0.020319415376124847
56080.5,16.968833489769807,0.021143075691342637
56083.5,16.92,0.020000000000000004
56086.5,16.9118175447747,0.026065368672306886
56089.5,16.82923091917316,0.007452668776752696
56098.5,16.895748284389477,0.021826643582483922
56104.5,16.973571515400817,0.05379700088413752
56107.5,16.94,0.0035355339059327377
56113.5,16.971242605542997,0.029992367597566714
56116.5,17.15,0.02
56119.5,17.01013814534005,0.009999717241694303
56128.5,17.14735038486444,0.012523544101352029
56149.5,17.365268538796553,0.05073349498610629
56152.5,17.39396321857306,0.012919764539222809
56155.5,17.475115771118933,0.02854216842474278
56161.5,17.52663121356647,0.0799956433026585
56173.5,17.86,0.02
56176.5,17.7,0.010000000000000002
56182.5,17.8094847202347,0.019172847859829676
56185.5,17.84,0.007071067811865475
56188.5,17.89,0.02
56191.5,18.21,0.02
56197.5,18.076419901082442,0.03716775725236855
56200.5,18.125310799555432,0.014999045731196436
56203.5,18.060000000000002,0.020000000000000004
56215.5,18.22,0.020000000000000004
56251.5,19.101088166929745,0.019228562071351152
56263.5,19.33,0.09000000000000001
56266.5,19.08,0.04
56272.5,19.44,0.049999999999999996
