mjd,B,B_err
56068.5,17.046868519931596,0.024626379479888855
56074.5,16.67,0.010000000000000002
56077.5,16.876,0.069
56080.5,16.75531079955543,0.014999045731196545
56086.5,16.70027044501846,0.004481187165035835
56089.5,16.62376754179762,0.1783688283940801
56092.5,16.692,0.06900000000000002
56098.5,16.76687233819351,0.011648892967159158
56104.5,16.73184234269404,0.013957840241217174
56107.5,16.860103882126893,0.007053301493493589
56113.5,16.966209121265447,0.021533236077811723
56119.5,17.035241865818854,0.010557563237479264
56125.5,17.160000000000004,0.084
56128.5,17.28,0.01
56161.5,17.98,0.020000000000000004
56176.5,18.33,0.029999999999999995
56185.5,18.428803478837835,0.02415144196874487
56215.5,18.96,0.04
56245.5,19.7,0.18000000000000002
56251.5,19.84,0.10999999999999999
56269.5,19.980000000000004,0.1
