mjd,g,g_err
56041.5,18.65,0.14
56068.5,17.01,0.0035355339059327377
56071.5,17.321335039556608,0.06467888832062005
56074.5,17.114355459209975,0.08878235684466272
56077.5,16.88,0.01
56080.5,16.752923892408052,0.06552881591077638
56083.5,16.949836165452535,0.021610782004357336
56086.5,16.702855998507932,0.06350555682574437
56089.5,16.6529765633196,0.040367109821421936
56092.5,16.94,0.011999999999999999
56098.5,16.682305633396215,0.04110676686566926
56104.5,16.820856155201398,0.06629749882952748
56107.5,16.716690936167932,0.03498788136363443
56113.5,16.75531079955543,0.014999045731196545
56116.5,17.05,0.019999999999999997
56119.5,16.865034538166007,0.006035553722442057
56128.5,17.185224826137624,0.06663558359698976
56131.5,17.415034538166008,0.01664226790829652
56149.5,17.765393806027255,0.01736334882722831
56152.5,17.76204814870909,0.05242046248160294
56155.5,17.841059850512583,0.03715922959467679
56161.5,17.820704816903984,0.06068466556482879
56173.5,18.22,0.020000000000000004
56176.5,17.86,0.01
56182.5,18.18,0.07
56185.5,18.04531079955543,0.014999045731195431
56188.5,18.430977793227086,0.04903176746453395
56191.5,18.58,0.02
56200.5,18.50574849900022,0.29722253901845763
56215.5,18.45,0.02
56245.5,19.17,0.09000000000000001
56251.5,19.47,0.05
56263.5,20.06,0.20999999999999996
56266.5,19.494432493586434,0.042011448174490304
56272.5,19.74,0.06
