Name,redshift,ra,dec,bandpasses
PTF12dam,0.1073,14:24:46.20,+46:13:48.3,"g, r, i, B, UVM2, UVW1"
SN2007bi,0.1279,13:19:20.19,+08:55:44.3,"B, V, R, I"
PS1-14bj,0.5215,10:02:08.433,+03:39:19.02,"g, r, i, z"
iPTF13ehe,0.3434,06:53:21.50,+67:07:56.0,"g, r, i"
