Name,redshift,ra,dec,bandpasses
SN2006gy,0.01919,03:17:27.06,+41:24:19.5,"r', i', U, B, V, R"
PTF12mkp,0.153,08:28:35.092,+65:10:55.60,"U, B, V, UVM2, UVW1, UVW2"
