mjd,T,R,fun,success,logL,sigma_logL
56042.5,16563.383218552397,11886771871893.615,0.029729717389733866,True,36.87954508834711,0.15377177829505054
56045.546875,16831.532810945526,12859717030421.514,0.030254014525134015,True,36.97577852919285,0.15998237339069563
56048.59375,17077.390187943787,13860987796167.346,0.030733240164941392,True,37.066095400285114,0.16575403792053572
56051.640625,17294.99503232005,14884850732817.605,0.031154883921949265,True,37.14999176654045,0.17091972905302533
56054.6875,17478.357722524524,15925560726232.371,0.03150683640041996,True,37.22701299183047,0.17530943998589757
56057.734375,17621.76185503801,16977505768066.447,0.03177770602556705,True,37.29676611692376,0.17875924924032527
56060.78125,17720.043609186876,18035367115438.64,0.03195713544307937,True,37.358930151727975,0.18112045485279124
56063.828125,17768.902541323187,19094215598661.055,0.0320361028699828,True,37.413267097857016,0.18226944717232638
56066.875,17765.185807880476,20149566641974.227,0.03200719938048297,True,37.45963146949714,0.18211682367778606
56069.921875,17707.118810876087,21197393460969.227,0.03186487153029283,True,37.49797756001499,0.18061477833249479
56072.96875,17596.08051747585,22231949164126.65,0.03160551059200704,False,37.52843987618547,0.17779204631574233
56076.015625,17442.960640690926,23236162824585.83,0.0312273782123534,False,37.55163065788639,0.1738709227585899
56079.0625,17229.53652545327,24233716351449.016,0.030732741249612033,False,37.56675545334446,0.1685516828487456
56082.109375,16975.411360710525,25205539867788.76,0.03012384208961573,False,37.57509426904481,0.1622485720614006
56085.15625,16647.714881014675,26207222478135.387,0.029407634585410083,False,37.5750815405646,0.1544414601563048
56088.203125,16314.898512503638,27136687495849.1,0.028589620840323862,False,37.57027220551185,0.14643416962767358
56091.25,15940.320547625535,28064901235563.906,0.027681435763791847,True,37.55913627075897,0.13765585869076494
56094.296875,15568.283587610398,28916418642948.42,0.026692761312998158,False,37.54407297577184,0.12894209140953064
56097.34375,15155.488971504672,29791454026671.35,0.025638436157257888,False,37.52328424440199,0.1196425657340156
56100.390625,14734.257500014526,30640825776356.805,0.024531869950785015,True,37.498734985055464,0.11037445550946985
56103.4375,14324.008440964993,31423832106369.293,0.02338733047640015,False,37.471597596945045,0.10149616462051063
56106.484375,13902.798598209696,32209660950649.598,0.02222136072102935,False,37.44120226480408,0.09271888022677996
56109.53125,13495.41294581999,32942472938870.992,0.021048740263426135,False,37.409078140375975,0.08445294715348409
56112.578125,13094.736716587491,33655188557352.914,0.019890039805652574,False,37.375312172212645,0.0766296651331083
56115.625,12703.420511108636,34347038103137.367,0.01875014840014521,False,37.34028231389029,0.06928249168032859
56118.671875,12326.710330823824,35011026385042.844,0.017640289450851512,False,37.30461947985072,0.06249960418184886
56121.71875,11966.816984842611,35643856808069.65,0.016586503879557114,False,37.26870500974111,0.056300139477076884
56124.765625,11624.6427398536,36246966906866.89,0.015593340300999669,False,37.23288283340484,0.050684582594902015
56127.8125,11300.379324735066,36822513296093.38,0.014670089318868965,False,37.19741997526155,0.045635399065603675
56130.859375,10992.318450419762,37380975665885.24,0.013824159759893623,False,37.16247950360089,0.04111074725352865
56133.90625,10704.527324944536,37902636340436.47,0.013061093701910626,False,37.12842985010569,0.037124959616114506
56136.953125,10435.008012134493,38395571437879.586,0.012384444959628328,False,37.09535445093687,0.03362521582433304
56140.0,10183.20044620137,38860165781408.41,0.01179581256504616,False,37.06336750047969,0.03057324352222582
56143.046875,9948.789956234436,39294343237178.17,0.011294937652277908,False,37.03256214892233,0.027932586972753057
56146.09375,9731.337000027783,39695664323085.09,0.010879827089402765,False,37.00299723171971,0.025665792313018663
56149.140625,9529.903004824851,40064489746475.11,0.010541551931980116,False,36.97469418614783,0.023727029627094533
56152.1875,9344.814730905133,40390904869153.61,0.010285671793131486,False,36.94767097993707,0.022097766989138172
56155.234375,9175.001945729317,40674787764696.93,0.010101022442546521,False,36.92189628357645,0.020734574027030852
56158.28125,9019.676334034148,40912175231230.05,0.009980640683281443,True,36.8972899876985,0.019603975207344086
56161.328125,8878.646709055587,41099230206942.6,0.009916981246490186,False,36.873875508705,0.018678691097137788
56164.375,8751.824299166205,41227221791816.67,0.009907360738390561,False,36.851583532655674,0.017934351822647212
56167.421875,8637.569833518739,41299836421370.64,0.009908497386722753,False,36.83028398189495,0.01731206776153393
56170.46875,8537.782420379706,41288387694131.53,0.00996843686117089,False,36.80985721218531,0.016857216593026764
56173.515625,8442.668859539652,41277677614742.516,0.010050525789354553,False,36.790170564456055,0.01647334344080469
56176.5625,8364.924013688355,41145840067486.6,0.010152483485539342,False,36.77132090063366,0.016209604725022215
56179.609375,8296.077326230343,40960714087567.125,0.010264987109260826,False,36.75304723653471,0.01601028867009358
56182.65625,8237.380218763183,40707015299833.01,0.010382685803862477,False,36.735316003229244,0.015869907499106252
56185.703125,8188.372061705877,40385008649365.91,0.01050053112815235,False,36.71805166420524,0.015776643370026665
56188.75,8148.692459178221,39996053923710.84,0.010614316166313363,True,36.70120703229905,0.01572092220060753
56191.796875,8116.563586364615,39557245981081.766,0.010720186343921122,False,36.68476190957786,0.015689858336315633
56194.84375,8096.376702252077,39021138209168.13,0.010817509070122218,False,36.6685837248159,0.015694496619415587
56197.890625,8082.068176518495,38448302124589.8,0.010902473421443359,False,36.65266540319639,0.015709957378552575
56200.9375,8075.323472303292,37825376308569.26,0.010974898725992601,True,36.637027258422165,0.015740623112528326
56203.984375,8070.622961073301,37207621986963.43,0.011033409836144936,False,36.62171309560299,0.015767687320404383
56207.03125,8084.204023069525,36446272494524.8,0.011081970806250627,False,36.60667632973922,0.015845619292607752
56210.078125,8098.557548369344,35708995195197.29,0.011117485559151976,True,36.59200698272894,0.015917795319215684
56213.125,8119.022504029869,34953072848609.55,0.011142303817923195,False,36.577806737359836,0.016004125616191387
56216.171875,8139.688854570828,34228285695622.906,0.011156894464261229,False,36.56402254495807,0.016085977522605006
56219.21875,8176.359753228783,33414389813771.402,0.011165639862442036,False,36.5509280692985,0.01622406185171035
56222.265625,8213.576381092642,32643054049901.645,0.011167651413060833,False,36.53853180130761,0.016365795121824254
56225.3125,8251.799585061031,31913722107645.027,0.011164599943759108,False,36.526970636671955,0.016514281201781708
56228.359375,8302.932506037982,31144989933411.363,0.011160221329766377,False,36.51652345245344,0.016722921294952953
56231.40625,8348.402071987015,30476636989580.46,0.011152650872529929,False,36.50716854549012,0.016915190214741343
56234.453125,8404.019232605853,29802473025765.957,0.011145806224708772,False,36.499273790035474,0.017163889730167366
56237.5,8461.531937904983,29185195881934.152,0.011139727929519215,False,36.49294224951886,0.01743487429945344
