mjd,T,R,fun,success,logL,sigma_logL
53995.5,9890.090848557304,15509502039409.588,2.5860666727961314,False,36.21481786473997,0.5060137896111264
53996.505319148935,8784.52308004524,18889259587400.49,2.161916603561144,False,36.18012365525492,0.3296676094718739
53997.51063829787,8742.577071976082,19311060408155.773,2.1313196474217477,False,36.19099115565393,0.3224300097892205
53998.515957446805,8742.605149785186,19674577220371.223,2.107258766168074,False,36.20719530748473,0.3206080053130035
53999.52127659575,8742.70272877088,20033757213758.383,2.0833396481997317,False,36.222928691724476,0.31879411095476484
54000.52659574468,7822.650852439597,24527047191192.496,1.6952894746809375,False,36.20552735322366,0.2024158029402255
54001.53191489362,7836.870841644137,24918642069633.98,1.6760683734404627,False,36.22244053344186,0.20246066355022044
54002.53723404255,7846.083538590929,25273926738727.22,1.659070367655403,False,36.23677818826894,0.20220522470534275
54003.54255319149,7340.876718365923,28875284648273.6,1.410553953500435,False,36.23686530330096,0.1514093961531548
54004.54787234042,7355.994782120179,29206157491528.633,1.3979616962506605,False,36.25033552799007,0.1516351893362414
54005.55319148936,7386.552355878687,29429661383209.195,1.3912872141609784,False,36.26415868453419,0.153125199697699
54006.5585106383,7419.88540342915,29630083228515.9,1.3850213083825869,False,36.27787556662757,0.154842457852364
54007.56382978724,7450.877506855874,29832729007283.367,1.3775786059845685,False,36.29103669311099,0.15638010247303927
54008.56914893617,7482.044897746967,30033257627892.168,1.369232347764404,False,36.30410715529527,0.15790408613801238
54009.57446808511,7511.930001140027,30236494658661.684,1.3597233091958851,False,36.316890045156384,0.15929983835325337
54010.57978723404,7530.709411685178,30497583276957.67,1.3458099281653468,False,36.32869544318487,0.1597158372635186
54011.585106382976,7556.761841241448,30700331717026.68,1.3345019646517098,False,36.340450109399534,0.16076815275331177
54012.59042553192,7574.7129057026295,30933889787096.188,1.3205489185721282,False,36.35115480815526,0.16112161264710068
54013.59574468085,7606.380657243647,31079413864600.523,1.3108682832574452,False,36.362478894489094,0.16265923760184714
54014.60106382979,7623.390266438408,31315424336450.266,1.2956337219490484,False,36.37293024751654,0.1628195711591117
54015.60638297872,7637.103217767768,31551104177389.934,1.2793789351568026,False,36.38256479872322,0.1627236800225966
54016.61170212766,7592.969895479436,32195735476111.656,1.239821299403818,False,36.39006444544721,0.15730893594991252
54017.617021276594,7515.088071169045,33148597072047.457,1.1852510398806289,False,36.39748763614735,0.1489226027439656
54018.62234042553,7529.010702503748,33347016802324.598,1.1703367348111406,False,36.405886667091195,0.14883554818162023
54019.62765957447,7498.89637192581,33862191512916.87,1.1392637034026272,False,36.41224056394566,0.14503469629926483
54020.632978723406,7513.080245234192,34026220685716.56,1.1255962800049881,False,36.419720571035235,0.14500643680025174
54021.63829787234,7524.279233094037,34187991590047.098,1.1118180436556406,False,36.426427826352764,0.1447835941286494
54022.64361702128,7535.695723342587,34347747231931.438,1.097985876488303,False,36.43311096558674,0.14456055422237973
54023.64893617021,7542.082369883698,34533546238666.594,1.0828750554470425,False,36.439268473569726,0.14394223302321163
54024.65425531915,7546.38615942399,34709843674159.18,1.0682885571811638,False,36.44468244745893,0.14322447906457947
54025.65957446808,7551.041158198152,34866639975168.87,1.0547576389621314,False,36.44966857698909,0.14258926586844356
54026.664893617024,7554.031923345205,35023187595782.645,1.0414616475618081,False,36.45424763645516,0.14186344002802512
54027.67021276596,7543.119191085813,35283701762072.43,1.0237929276794298,False,36.45817319820797,0.14002046776004823
54028.675531914894,7540.552919906589,35445174330212.64,1.0110464543289188,False,36.46154803456008,0.13899836648178188
54029.68085106383,7538.535929205864,35594280624160.78,0.9993264403038211,False,36.464729508795855,0.1380750978690295
54030.686170212764,7533.198807867641,35747085059560.74,0.9880025480686363,False,36.4672200158678,0.13698785099967878
54031.6914893617,7525.77271537127,35897254339144.11,0.977425607422742,False,36.46914788915985,0.13583515951768174
54032.69680851064,7517.268496205674,36040672834994.375,0.9678365921679606,False,36.47064706199804,0.13469360747371142
54033.70212765958,7505.542457553809,36186567797724.94,0.9589054629160282,False,36.471444163242545,0.13342441144929273
54034.70744680851,7495.058037537189,36347532043841.484,0.9501564188362681,False,36.472870889135365,0.13224280882830777
54035.71276595745,7476.891902628853,36490332654341.84,0.9430451301389081,False,36.472061084918536,0.130768770453936
54036.71808510638,7457.37061308503,36646293726359.016,0.9363158480666104,False,36.4712240568765,0.12926585657964773
54037.72340425532,7439.595201804982,36786872402016.805,0.9311772779676425,False,36.4704039869199,0.1279812915124211
54038.72872340425,7423.109144338403,36921620774851.19,0.9272763899610333,False,36.46972593172009,0.12686228604544428
54039.7340425532,7402.44310523871,37049742128732.875,0.9246662366138922,False,36.46789172402285,0.12563192420198194
