mjd,T,R,fun,success,logL,sigma_logL
55267.5,18084.86544020803,23618298584632.652,0.012778278610953946,True,37.6285793768359,0.040854422100406546
55270.61428571429,17383.26824726421,25028598611456.453,0.011300681457062301,False,37.61021982728977,0.035648770656228616
55273.72857142857,16457.68721538733,26853230743961.41,0.009740147992355884,False,37.576289336286386,0.029780300060389436
55276.84285714286,15514.808353603696,28824625656265.28,0.008067394436532616,True,37.53533404547016,0.02408448661278857
55279.95714285714,14529.215286677165,31068888554137.99,0.006734344942320646,False,37.48644110283234,0.019208919866466168
55283.07142857143,13556.584080227836,33535522389509.3,0.006117441216118654,False,37.43243227198487,0.015778774403999603
55286.18571428571,12617.151204339361,36226969653390.06,0.006658047336157479,False,37.37473027776773,0.014038104698499098
55289.3,11721.207028187735,39163400154316.84,0.008873071914142262,False,37.31447115989087,0.013714077448832726
55292.41428571429,10859.35887225604,42454916076774.6,0.01368927631687341,False,37.25189374832897,0.014429188342505353
55295.52857142857,10085.403052752836,45849948259544.01,0.021147982001206208,False,37.1902717683674,0.015315739737891063
55298.642857142855,9377.80165857349,49419739684666.88,0.03216341798824287,False,37.12902611184724,0.016568281020561945
55301.75714285715,8725.45050930876,53247284760582.516,0.04742859202698069,False,37.068567403991395,0.018417684060051127
55304.87142857143,8128.375115795781,57317932535554.08,0.06775680466893651,True,37.00941701684347,0.021266308938998543
55307.985714285714,7576.633184192717,61805728145591.27,0.09083363438637745,True,36.952783534170514,0.025026892014247848
55311.1,7087.497214958237,66253438391279.21,0.12252285584162974,True,36.89720948143023,0.030527305717146378
55314.21428571428,6646.165806724579,70831758476260.58,0.16151208363950847,True,36.843561766914966,0.037405519313496526
55317.328571428574,6242.408437881199,75689590986126.48,0.20800280524270057,True,36.79230207298184,0.045550242950780404
55320.44285714286,5879.9029602971095,80585746043843.69,0.26240924373457447,True,36.74281812896089,0.05478381396400978
55323.55714285714,5557.167320649249,85332063316981.64,0.32505669484309097,True,36.6944594188866,0.0649308960109679
55326.67142857143,5263.902308083811,90154006623277.62,0.3961223999956542,True,36.6480223799361,0.07593408596603955
55329.78571428572,4992.617643984847,95340928052881.86,0.4754148766507257,True,36.60469301132947,0.08773625320742708
55332.9,4740.396696326111,101060175594689.19,0.562638475771643,True,36.565239876558074,0.10024676890967457
55336.014285714286,4520.5933739291995,106123814281393.45,0.6578391582922356,True,36.52522851077122,0.11307768338734865
55339.12857142857,4313.539176605361,111922163323654.27,0.7599752395369894,True,36.4899882113931,0.12641397530926707
55342.24285714285,4145.056136679735,115564480842143.73,0.8697483551045044,True,36.448591444058685,0.13957779723426858
55345.357142857145,3964.41231627068,122506050036533.39,0.9831349846293925,True,36.421851373457635,0.15344666513318164
55348.47142857143,3824.510470227893,126141173033918.94,1.103096898102105,True,36.38483817996046,0.16675390135087034
55351.58571428571,3689.6515085233873,130799024496332.25,1.2260379872819973,True,36.353971436555035,0.18014547069877876
55354.7,3593.4045302095683,130798552397534.17,1.3588254143439957,True,36.30805135135046,0.1929520272011386
55357.81428571429,3504.3886154091088,130798208717916.66,1.498113566808655,True,36.264473668297775,0.20583527469711363
55360.92857142857,3422.4649299180064,130797974066676.6,1.641329910846906,True,36.22337909331763,0.21859067434373516
55364.04285714286,3347.4799981471433,130798028349876.75,1.7860116225928662,True,36.18489539017165,0.23104205426730975
55367.15714285714,3279.3415508560943,130800726242348.94,1.9298298765441384,True,36.149187950183055,0.2430353838466101
55370.27142857143,3217.705967756607,130803264249082.27,2.0706703658835943,True,36.116243620583134,0.2544528547172136
55373.38571428572,3162.7511955037353,130803804343475.12,2.207056137417848,True,36.086321897383165,0.26603738330541227
55376.5,3113.858116995602,130804392051830.64,2.3366251809863288,True,36.05926096590579,0.2760330403548925
