mjd,T,R,fun,success,logL,sigma_logL
56239.5,12143.6537795002,19544828353121.133,0.026990884460429736,True,36.772282261122996,0.03466340153089502
56242.63636363636,12144.05603085183,21373703866215.402,0.027071337141154412,True,36.85003565757319,0.03471791303433914
56245.77272727273,12144.441016880062,23280285335793.703,0.027149810112324372,True,36.92430775009446,0.03477096469453494
56248.90909090909,12144.804910255429,25242057393370.797,0.02722557342006897,True,36.99463270354785,0.03482206708822988
56252.045454545456,12145.14656489498,27231976891370.04,0.027297923299881705,True,37.06059041272572,0.03487076892857518
56255.181818181816,12142.59302458182,29229494922622.68,0.027365277156829543,False,37.12170941147454,0.034895324497552324
56258.31818181818,12136.560169321334,31201410956823.516,0.027427807794660704,False,37.17755195307652,0.03489157773669494
56261.454545454544,12134.521230963936,33091201437780.457,0.027485936804174167,False,37.228336686512435,0.034913788317298015
56264.59090909091,12133.762244035746,34866751044932.496,0.027538546837928134,False,37.27362591754857,0.03494169328195047
56267.72727272727,12146.453971033196,36437537814616.695,0.027587184103930795,True,37.31371711304692,0.03506451472523941
56270.86363636364,12146.629571418527,37883444664929.125,0.02762723359342688,True,37.34754310478536,0.03509123205513107
56274.0,12146.775219946314,39123749639360.555,0.027660637397656063,True,37.37554595384038,0.03511349741609129
56277.13636363636,12146.89003635011,40135816244511.695,0.027687278679482,True,37.39774563143397,0.03513123717618599
56280.27272727273,12146.974766448646,40903735334772.45,0.02770713993537099,True,37.414219488949904,0.03514445122784644
56283.40909090909,12147.030993873284,41419014925051.914,0.027720301928488435,True,37.42510112246762,0.03515320645735238
56286.545454545456,12147.05963970237,41680846163792.22,0.027726940421851975,True,37.43057874160938,0.03515762372381305
56289.681818181816,12147.0609612478,41695926913661.664,0.027727321622635095,True,37.430893142168365,0.03515787501086086
56292.81818181818,12142.566827017192,41499394684937.81,0.02772052501694596,False,37.42614656582237,0.03512090412728736
56295.954545454544,12135.71837442636,41102556614801.89,0.027708711764965047,False,37.416820662891844,0.03506368302760643
56299.09090909091,12135.730692200113,40478498745281.87,0.027692742398900426,False,37.4035335479947,0.03505366684785476
56302.22727272727,12142.04048653163,39666103427908.55,0.027673051314152965,False,37.38682681894961,0.03508699637688238
56305.36363636364,12134.805232939847,38789200780220.14,0.02764813070805113,False,37.36637393594084,0.03501870904444209
56308.5,12136.899100915303,37765006350058.984,0.027620749720107668,False,37.34343112248173,0.035016542775143815
