mjd,T,R,fun,success,logL,sigma_logL
55495.5,13963.401768834823,16244908715337.803,0.03034620112046294,False,36.85422051956107,0.18591039413829533
55496.523255813954,14436.276225807249,16321630995281.81,0.02992275945341957,True,36.91616887562823,0.19836336351715472
55497.54651162791,14993.247246680974,16207745645172.193,0.029533465655002807,True,36.97584906864182,0.21334879374045063
55498.56976744186,15554.474140489914,16014463297114.32,0.029194615247155498,True,37.02926714228495,0.22861577113761053
55499.59302325582,16104.397872122787,15758275964309.555,0.028909350050281692,True,37.075616402303076,0.2437430944663376
55500.61627906977,16623.35833792362,15458452072520.957,0.028680283274018954,True,37.11402810707885,0.25818360944362057
55501.63953488372,17087.99851485778,15135789341136.117,0.02850948709090865,True,37.14359597207614,0.2712722898221757
55502.66279069767,17472.51428668561,14811309567059.916,0.02839848489041662,True,37.16342956764432,0.28225994238089935
55503.686046511626,17750.83327121375,14505074486063.906,0.028348259326887833,True,37.17273593828727,0.2903759682315651
55504.70930232558,17899.615346919552,14235217721391.475,0.028359267631710913,True,37.170924053481585,0.29491774912712393
55505.732558139534,17901.52814521328,14017344749185.938,0.02843147389325589,True,37.15771296448021,0.29535075409893935
55506.75581395349,17765.927685810708,13849823037950.701,0.028560665143473475,False,37.13406104127626,0.2919180730213887
55507.77906976744,17585.040428198907,13668122446117.268,0.02874009118799526,False,37.104812238389435,0.28735441437330467
55508.8023255814,17139.736062931526,13664787123934.316,0.02899126101293168,False,37.0600432928473,0.2751167627913763
55509.82558139535,16550.896522920564,13769165561166.36,0.02929835074657712,False,37.0059223701286,0.2587685869340873
55510.848837209305,15872.854402924037,13962734873418.672,0.029659255223501893,False,36.94538214617064,0.23993613613295678
55511.87209302326,15097.279589833634,14298169818780.96,0.0300711362869628,False,36.87897672581414,0.21837146640719854
55512.895348837206,14344.358874634321,14668029131034.7,0.030523158796840828,False,36.812289128421654,0.1976313386399278
55513.91860465116,13627.743726558827,15081625085030.943,0.031006085768712763,False,36.747413145080195,0.1780795240330731
55514.94186046512,12863.368577127789,15670498998950.742,0.03152551181095803,False,36.680405539493385,0.15730352873132894
55515.96511627907,12132.590336352958,16358298515271.41,0.03205064792597167,False,36.616111425376836,0.1376541855964651
55516.98837209302,11438.097055124841,17158749189454.773,0.03264448186485489,False,36.555207394069875,0.11941690752878059
55518.01162790698,10802.271187491899,18035402830807.51,0.0332026625973834,False,36.49913302998271,0.10301180004808708
55519.03488372093,10208.030210936902,19031115086085.09,0.033756876586061066,False,36.44751729027818,0.08817255422247251
55520.058139534885,9653.732751821897,20159948854581.465,0.034298026894261154,False,36.40058097197872,0.07501552797496232
55521.08139534884,9151.677486461733,21378917421941.723,0.03483267619868226,False,36.35879527910785,0.06406377275894884
55522.1046511628,8697.28128409766,22684228069323.934,0.035326817296695054,False,36.3218031069115,0.05540497259971906
55523.12790697674,8282.933639860805,24088756564153.324,0.03582128598007364,False,36.28918652573821,0.04915901200967744
55524.151162790695,7891.264157406308,25656604017551.83,0.035916464441693795,False,36.25980570110506,0.04525380637927087
55525.17441860465,7702.497717842819,26122703036162.67,0.036908284303832785,False,36.233383572424415,0.044778558909945365
55526.1976744186,7219.616298629211,29068076227283.227,0.03967138769713025,True,36.21371008006688,0.046980144028038705
55527.22093023256,6956.510405462097,30566883031947.844,0.0400139300936594,True,36.19288909890038,0.04953284704301179
55528.24418604651,6722.927307957169,31986006634717.402,0.04032858274458461,True,36.17297474019197,0.05284018538181742
55529.26744186047,6516.665700069349,33275379266910.85,0.0406203394399976,True,36.153168831176544,0.056463326855581225
55530.29069767442,6335.692917838739,34383445894346.277,0.04089485642594075,True,36.13269630889094,0.06011408104402915
55531.31395348837,6178.159459255348,35260243045905.65,0.04115810569941224,True,36.11082808875497,0.06361421817965408
55532.33720930233,6044.787248029767,35825163027599.984,0.04141649043301816,True,36.08672146346468,0.06680328598837373
55533.36046511628,5926.869741187487,36150143777901.41,0.04167432848803362,True,36.06034262052637,0.0697858825270013
55534.38372093023,5830.228841823898,36104072492769.76,0.04193803643393589,True,36.03067582367507,0.07236662702393207
55535.40697674418,5749.052162067764,35749909882801.66,0.042211930181782154,True,35.997755931538556,0.07464262656632802
55536.43023255814,5688.780541750303,34987016256796.324,0.04249802958055775,True,35.96071156661923,0.07644348628670011
55537.45348837209,5641.850376457398,33945836678388.598,0.042800002381178016,True,35.92008032462905,0.07794062519496206
55538.476744186046,5609.532680744312,32627077075945.11,0.04311858670784512,True,35.875684100353226,0.07908558883781876
55539.5,5590.984120069919,31078509146763.055,0.04345381098654175,True,35.827694421968644,0.07988818486602917
