mjd,T,R,fun,success,logL,sigma_logL
56750.5,12200.316925476538,18717424843869.21,0.016944913523984424,False,36.742797678032616,0.04903553627980585
56753.54166666666,12201.657807200012,20606274346180.96,0.01645066876095571,False,36.82649535216857,0.04832798215545369
56756.583333333336,12202.212952854969,22544893598753.633,0.015982755805594127,False,36.90467181248511,0.047640968590246136
56759.625,12202.283049984073,24515103671546.69,0.01553862980359591,False,36.977452880260415,0.04697503954212451
56762.66666666666,12199.946179542394,26503575533992.02,0.015116727187116515,False,37.044861626561755,0.046311426976158844
56765.708333333336,12195.595345543381,28491904742376.64,0.01471505301512338,False,37.10707602331142,0.04565252638735114
56768.75,12190.780990558364,30454329886426.434,0.014331615138615129,False,37.1642452446349,0.045010706209236265
56771.79166666666,12184.773574589806,32374037569816.543,0.013965349551549646,False,37.216484618186485,0.04437875475226521
56774.833333333336,12177.520584892443,34232228544615.824,0.013615260846267786,False,37.2639268678604,0.043755728000488714
56777.875,12169.123843428903,36010446042125.875,0.013280555917295565,False,37.30671527749627,0.04314227454314939
56780.91666666666,12165.302766590396,37665986305035.35,0.012959367645851589,False,37.34521140874452,0.04258490467764882
56783.958333333336,12157.395876942197,39218884223524.62,0.012653912481272601,False,37.379173734915945,0.04201364745886245
56787.0,12136.980754355503,40707073676747.984,0.012364517927171836,False,37.408603451993855,0.041361112978546874
56790.04166666666,12124.190603074747,42015318052719.03,0.012088051485541717,False,37.43424736434029,0.04079129029151925
56793.083333333336,12110.509853813173,43177851076897.766,0.011826222361615202,False,37.45599279009486,0.04023630463677802
56796.125,12110.496979364605,44112747608473.24,0.011577230578201087,False,37.47459711336974,0.0398103764105001
56799.16666666666,12079.090327372001,45050322030332.99,0.011348507191066618,False,37.48835374767913,0.03916631448686991
56802.208333333336,12062.288556260457,45750352300292.836,0.011133469702933708,False,37.499328771941656,0.038661785689565825
56805.25,12044.431748475601,46294816866181.8,0.010935329958634006,False,37.507031033222205,0.03817764936703483
56808.29166666666,12025.848752406231,46684913751955.78,0.010754782594614785,False,37.511637103942746,0.03771831591305152
56811.333333333336,12006.327281999522,46926478497304.93,0.010592753462084749,False,37.513297672470685,0.03728433592313337
56814.375,12003.715074938798,46926123743556.69,0.01044729587202095,False,37.51291310856692,0.037007702491919425
56817.41666666666,11976.356332702151,46921285474893.43,0.01032543850551415,False,37.50885967224744,0.036585695461393605
56820.458333333336,11943.34588576102,46824547792933.01,0.010226662995586788,False,37.50227225573645,0.03616389955228769
56823.5,11920.774532305802,46545235673202.03,0.010147884103671002,False,37.49378939515701,0.03585679847203124
56826.54166666666,11898.146029873991,46156189057507.98,0.010092103538726227,False,37.48319809900919,0.035590837198723725
56829.583333333336,11874.227069787237,45675227694548.55,0.010060712571982043,False,37.47060387304403,0.03535914868134521
56832.625,11849.770467093176,45109239902283.96,0.010054391696656062,False,37.45619180303928,0.035168105193111185
56835.66666666666,11824.997783882454,44468142196017.2,0.010073960094504139,False,37.440123275973725,0.03502015119415536
56838.708333333336,11799.758051297207,43763722215893.59,0.010120334477781816,False,37.42254194745934,0.034914932506132014
56841.75,11774.062287293016,43006534374497.41,0.010194324361959316,False,37.40359524221267,0.0348528584068884
56844.79166666666,11748.0160955855,42206477451194.76,0.010298842351726067,False,37.38343737885848,0.03483712768863325
56847.833333333336,11721.733488665885,41372002438443.71,0.010429830382907807,False,37.36220148690691,0.03486259986836278
56850.875,11694.844546702836,40514351842149.63,0.01059057808043266,False,37.34001663649655,0.03492916704374808
56853.91666666666,11667.625789785656,39640423596520.055,0.010781532441612623,False,37.31702757282948,0.03503766871201478
56856.958333333336,11640.162869336498,38757359667571.51,0.01100314356193404,False,37.29336562690409,0.03518737121166223
56860.0,11612.443764541791,37872195033273.72,0.01125582966884207,False,37.269156482057234,0.035376603548327605
56863.04166666666,11584.500897214724,36990990028531.82,0.011539912919304122,False,37.2445222524403,0.0356037529969195
