mjd,r,err_r,g,err_g,i,err_i,B,err_B
56042.5,18.654220886219434,0.10401121640438336,18.58724758718165,0.12024029686203308,18.93469151774667,0.1118457706791517,18.456748189835082,0.1589492971934534
56045.546875,18.450851568524286,0.08586631499103164,18.37661824150416,0.10177015827411491,18.731408234929688,0.09397823918789681,18.24088476532819,0.1398019076203034
56048.59375,18.258980974292683,0.07092626267271207,18.178236541994124,0.08629007606369643,18.539485654413227,0.0793328734489322,18.037846883328257,0.12324539750984846
56051.640625,18.079140390295606,0.05890497841446249,17.992704284079537,0.07347091037892443,18.359434558806015,0.0675756368616351,17.848292953999703,0.10894966550967412
56054.6875,17.911747821740732,0.04949353861946206,17.82050596309722,0.06297777275997651,18.19165248706281,0.058339741900583074,17.672761193129986,0.09660953709437212
56057.734375,17.757108612235243,0.04234664015970839,17.66200858297617,0.054474807579954175,18.036424682072095,0.051226674706711495,17.511668752440585,0.08595269395093245
56060.78125,17.615417144399203,0.03707866016665412,17.517462571063334,0.047634571782481774,17.893926123621213,0.04582309429181682,17.36531197294994,0.07674575207271528
56063.828125,17.486759587706388,0.033282212072671236,17.38700377798682,0.042151648694804776,17.76422460794265,0.04173346081669493,17.233867750686386,0.06879751734715243
56066.875,17.371117647959068,0.030569770890887086,17.270656529197254,0.03775761451217618,17.64728482288865,0.038617084095295726,17.117395991722788,0.0619587967804305
56069.921875,17.268373261277247,0.02861933409320072,17.16833768282561,0.03423281586262708,17.542973356160246,0.03621405248650434,17.01584312127568,0.056118549612889666
56072.96875,17.178314164577728,0.027200668226043282,17.079861637089493,0.03141101280711554,17.45106456315375,0.03435138965882567,16.929046599718504,0.05119653676875708
56076.015625,17.100640264584285,0.026173976378252334,17.004946219650037,0.02917545807091921,17.37124721151008,0.03293113930347789,16.856740386786328,0.04713302811915774
56079.0625,17.034970718457885,0.025468794771380247,16.94321938124949,0.027447801255938136,17.303131810489504,0.031907687615919327,16.79856128446295,0.043876735142042204
56082.109375,16.980851631247788,0.025055447263594162,16.894226606910024,0.02617310602849971,17.24625852583688,0.03126196625130823,16.754056078874328,0.04137302064389842
56085.15625,16.93776426887996,0.02491849534717376,16.857438949905827,0.025305044380402375,17.200105575099997,0.030978585003603166,16.72268939222647,0.03955520604947313
56088.203125,16.90513368003576,0.025037718811181053,16.83226158681225,0.024795043387431485,17.164097993307678,0.03103019372733216,16.70385214765247,0.03834157648216642
56091.25,16.88233761648746,0.025378887208827344,16.818042786377077,0.024587661602389375,17.137616655678357,0.03137112802956321,16.696870542785746,0.03763890223943224
56094.296875,16.868715639054244,0.025893508574276913,16.81408318067679,0.02462204734136481,17.120007442649694,0.031939482073377844,16.701015422102273,0.03735069044034402
56097.34375,16.86357829535973,0.026524367302629616,16.819645224209808,0.024837171165869275,17.11059043195928,0.03266434985377365,16.715511933625066,0.03738668802423057
56100.390625,16.86621625624889,0.027212996619587922,16.833962725195533,0.025177830469737025,17.108669004150215,0.03347437784122634,16.7395493526451,0.03767040664897431
56103.4375,16.87590929966109,0.027906233358776344,16.856250333570188,0.025599219519003766,17.113538750505313,0.034304882661956394,16.772290953715355,0.03814303107610855
56106.484375,16.89193503434899,0.028560592310125803,16.88571287172681,0.02606918349845309,17.124496076724427,0.03510243173586352,16.812883812193604,0.038763701196055204
56109.53125,16.91357726068827,0.029144397941914275,16.921554397298678,0.026568265837918277,17.14084640150986,0.035826975554735366,16.860468418356277,0.03950707122060897
56112.578125,16.940133872024944,0.029638150433135422,16.962986891800938,0.02708808707848702,17.16191185573689,0.03645212094338889,16.914187990334995,0.040359273689598074
56115.625,16.970924207481858,0.030033677983048217,17.009238475049642,0.027628650165989675,17.187038396447406,0.03696416931795839,16.97319737689145,0.04131328692352918
56118.671875,17.005295775662034,0.030332509241278765,17.059561052496974,0.028195092686120155,17.215602258683248,0.03736039500140684,17.03667144735664,0.04236448269509127
56121.71875,17.04263027829461,0.03054375884382729,17.113237311265266,0.02879433229562804,17.247015678722164,0.037646875756528815,17.103812873625202,0.04350691432625715
56124.765625,17.082348873191904,0.030681723512033608,17.169586990234848,0.029432001931095277,17.280731832366882,0.03783607539736936,17.173859218265306,0.04473069910445988
56127.8125,17.123916627059316,0.030763347531392756,17.227972360208014,0.030110017500850166,17.316248944247718,0.03794432486560401,17.246089252731963,0.04602064329163494
56130.859375,17.16684612028962,0.030805722290659487,17.287802861538466,0.030825029679073898,17.35311353533166,0.03798934007347609,17.31982844105869,0.047356064462581456
56133.90625,17.210700177909757,0.03082381255701895,17.348538858725988,0.03156787594976769,17.39092278835642,0.03798793268730314,17.39445353632982,0.04871161370226271
56136.953125,17.25509371306657,0.030828625839921336,17.40969448402666,0.032323994849535305,17.429326022887153,0.03795409223075299,17.46939625013556,0.05005881456723458
56140.0,17.299694681654955,0.030826035222475977,17.470839554916893,0.033074633733365874,17.46802528414014,0.03789762385012515,17.54414596837205,0.05136802161127167
56143.046875,17.34422415881545,0.030816415577688286,17.531600563222128,0.03379860812526474,17.506775061444614,0.03782350110932499,17.618251500406586,0.05261054241997154
56146.09375,17.3884555598097,0.03079516132457093,17.591660746568323,0.0344743632878069,17.545381163841284,0.03773203302786604,17.69132186226875,0.053760736478891645
56149.140625,17.432213039075123,0.03075404289858689,17.65075926536565,0.03508213031885858,17.583698791260304,0.03761985850854771,17.76302610815719,0.0547979763441469
56152.1875,17.47536911196812,0.030683259573967378,17.708689520633015,0.035606031818596416,17.62162984996121,0.03748168864657022,17.83309223773267,0.05570841475779492
