mjd,i,err_i,r,err_r,g,err_g,z,err_z
54139.5,24.89862363376238,0.28072584349931307,24.925626853510995,0.12492590570730097,25.79975835073344,0.15825145100896834,24.399694797407328,0.15101428945318554
54142.66129032258,24.482951138403102,0.15580683132056197,24.621535728821733,0.07665357404975594,25.49851978961765,0.1056838126282739,24.06857843236077,0.08851376673617184
54145.82258064516,24.18386900020924,0.1012376552038684,24.389194286277043,0.056939616092099,25.268747361578402,0.08715148644610983,23.81891078369772,0.06180302355474192
54148.98387096774,23.951829694475443,0.07600717853374338,24.204265753153024,0.04994876927448651,25.095426341479083,0.08171808948204877,23.619454901389823,0.05131833815956706
54152.145161290326,23.763920702365652,0.0643239150662349,24.053612126092673,0.04759273585370046,24.968926004250736,0.08137881163207124,23.454369211552688,0.047309093128125784
54155.3064516129,23.60765054557652,0.05854712123924619,23.929315339842532,0.04638840151601756,24.88107777927441,0.08381500547969262,23.314920458342755,0.045211542170541505
54158.467741935485,23.475457949382555,0.05505813617896324,23.826219823418047,0.04517784065984681,24.823954511713904,0.08748858975434373,23.196085517159073,0.043387747811502266
54161.62903225807,23.362420396331366,0.05233173522859322,23.74076873064461,0.04369472569702062,24.789834712291103,0.09039351699340284,23.094824250571445,0.04142863261571811
54164.790322580644,23.265156831540693,0.04980865579422354,23.67039460662879,0.041967162423814576,24.771662173647194,0.09061596903671501,23.00911070427182,0.03934257771096158
54167.95161290323,23.18124779370024,0.04733766937208212,23.613175509523554,0.040106075588463,24.763580973438955,0.08712087278176218,22.937403695362857,0.037244850988480446
54171.1129032258,23.10890529858576,0.044932332807739804,23.56762935433448,0.03823341956196047,24.761313375803496,0.08026141812381178,22.878387773769052,0.035246838731674474
54174.27419354839,23.046773610211577,0.04266930098945197,23.532585114859717,0.03645852217230395,24.76233724508984,0.07201627892510871,22.83086092314024,0.033426609024097574
54177.43548387097,22.993803216943043,0.040644538228051745,23.507099058753298,0.03487134445205703,24.765909292496225,0.065725068751973,22.793687112731632,0.03183637592970899
54180.596774193546,22.94916797510482,0.03895149503764011,23.49039849638217,0.03354242139687626,24.772920470580686,0.06439554527111714,22.765779699220165,0.03051978442124862
54183.75806451613,22.912208852473785,0.037666638750579816,23.48184290546324,0.03252617940845322,24.785491331051297,0.06790155876639808,22.746114748612932,0.029520372745007337
54186.91935483871,22.882394685582206,0.03683764507632443,23.480896312831767,0.03186600961806874,24.80627412449536,0.07302476750946442,22.73377760084547,0.02887937551682369
54190.08064516129,22.85929417548885,0.03647474637787214,23.487107110104162,0.03159908315336061,24.837596897985087,0.07644130993089274,22.72802883968255,0.028633300092499172
54193.24193548387,22.84255552034174,0.03654779441722883,23.50009284977364,0.031758135714243504,24.880707843219746,0.0765409753771166,22.728357794050808,0.028811165113195997
54196.403225806454,22.831891371034732,0.03699060243662362,23.519528420960327,0.03236769180787989,24.93537631238725,0.07365644763216976,22.734490013030808,0.029417968656088856
54199.56451612903,22.82706758538228,0.037711364816654415,23.54513655734497,0.03343419417096198,25.00001051504315,0.06980837052551646,22.746334224243515,0.030409187642195194
54202.72580645161,22.82789475437605,0.0386060040071796,23.576680003662425,0.034932664991631106,25.072283185717087,0.06833641330828197,22.76388550832796,0.03168600275845617
54205.8870967742,22.834221797266423,0.03957175056571488,23.6139549293608,0.0367949690061968,25.150012972719402,0.07292267590386235,22.78712749832408,0.033122946816219224
54209.04838709677,22.845931137410858,0.04052050314080588,23.656785367903232,0.03890497236294581,25.231838205393625,0.08537790529869486,22.81597922825606,0.03460147280667107
54212.209677419356,22.862935117928707,0.04139408206991656,23.705018600926763,0.04110476718002024,25.317283658190654,0.10409503159712749,22.850305329218195,0.03602145542853599
54215.37096774193,22.88517341965205,0.04218563141993853,23.758521512158378,0.043216657323199674,25.406258049130056,0.12489400050488586,22.889966332629736,0.03729828114457401
54218.532258064515,22.912611319129343,0.04297295313702628,23.81717801550289,0.04509089829825364,25.498524968146672,0.1425955248656577,22.93485892343479,0.03838584558805327
54221.6935483871,22.945238681632905,0.04396922541020747,23.88088772087224,0.046701469292495,25.593784825626045,0.1525406567128637,22.98490692040322,0.03936600275567079
54224.854838709674,22.983069630193835,0.04558950663290536,23.949566044374894,0.04833002295175767,25.692523449641573,0.152170692497088,23.04000702733253,0.040611966556269946
54228.01612903226,23.02614287172031,0.04850899702043848,24.023145999906422,0.050875313116950836,25.79705621485852,0.14240559474535044,23.099976608084376,0.042978255310301014
54231.17741935484,23.074522699376914,0.053655601859839454,24.101581930782064,0.05619319823298652,25.91185725365959,0.13018009534808053,23.164559391894485,0.04787553176881135
54234.33870967742,23.128300730461238,0.06209033999813555,24.18485545804758,0.06702941063501898,26.04270282296584,0.13622074689651417,23.233509375786245,0.05702742418307557
54237.5,23.18759848511756,0.07484181972118084,24.272983944770928,0.08622855626095571,26.195006792024223,0.1930508641992892,23.306716864326944,0.0720117728768955
