mjd,r,err_r,g,err_g,i,err_i,R,err_R
55016.5,20.65388628441728,0.10305762483876543,20.985473001276365,0.10305762486280293,20.701655135966234,0.10241056756232507,20.863929296137954,0.11156343285456433
55019.54838709677,20.579970970621353,0.0786721591647366,20.911557687480105,0.07867215918382912,20.627424488277807,0.0781089139554038,20.787961562620254,0.08931107242510508
55022.596774193546,20.50947792649889,0.06174547520725712,20.841064643357328,0.061745475219918966,20.556607272738834,0.06123920577765785,20.71536199477122,0.0737116067910289
55025.645161290326,20.44282569223514,0.051291755685522814,20.774412409093287,0.0512917556906008,20.49018919886079,0.050804324909651324,20.650231029611255,0.06367168114452217
55028.6935483871,20.380396015887232,0.04579014541447843,20.711982732745085,0.04579014541210236,20.429047017476574,0.04545669728903173,20.59619820392839,0.05937790185116778
55031.74193548387,20.322532823069352,0.04330702231164331,20.654119539926903,0.04330702230324228,20.373028843763528,0.04304917767928736,20.550464693032428,0.05677566020276708
55034.790322580644,20.269542402007904,0.04211316121668024,20.60112911886514,0.04211316120397909,20.321127788084258,0.041837221462401826,20.504690426597897,0.054140060393676505
55037.83870967742,20.22169437702129,0.041083807595762585,20.553281093878176,0.04108380758002901,20.272815600350604,0.04096123911212636,20.453762722726864,0.05333062559802147
55040.8870967742,20.17922309642551,0.03964943122143704,20.510809813282023,0.039649431203358745,20.22906370444936,0.039786123462405565,20.402832925113096,0.05311806169661736
55043.93548387097,20.142329117936463,0.03759527087594062,20.47391583479255,0.037595270855692434,20.191216045002037,0.03787676775971648,20.359675956980993,0.05156722401071738
55046.98387096774,20.111180527236044,0.03490665904864175,20.44276724409165,0.03490665902597658,20.159683145731048,0.035193558912225024,20.326012174490742,0.048791008097139515
55050.032258064515,20.08591386872697,0.03169029014356271,20.417500585582037,0.031690290117817294,20.134316273489436,0.03193286022643285,20.30009045577795,0.04553258860552085
55053.08064516129,20.06663449968435,0.02815730531296915,20.398221216538808,0.028157305283051597,20.114945399102226,0.02835235313187671,20.280213242284884,0.04230425618119103
55056.12903225807,20.053416200112114,0.024661813240452437,20.385002916965878,0.024661813204891022,20.101426309934475,0.024780149816413185,20.265031714689062,0.03903882406497077
55059.17741935484,20.046299882214296,0.02179089831391992,20.377886599067274,0.021790898271475328,20.09382128828073,0.02183552115568149,20.254732063549852,0.036518049795666065
55062.22580645161,20.04529124828987,0.020415549323660912,20.376877965141958,0.020415549275128016,20.09248491918661,0.020458118315292022,20.251593034784257,0.035738163180917666
55065.27419354839,20.050357248232473,0.021384484408354963,20.38194396508356,0.021384484357891757,20.097675219508734,0.021489819860722948,20.257466614985155,0.03695855289497202
55068.32258064516,20.06142119358114,0.024870136558144185,20.393007910431102,0.02487013651012198,20.10918049754107,0.02505978000980211,20.271402014541884,0.04009720773895131
55071.37096774193,20.078356402703154,0.03035298100114278,20.409943119551844,0.030352980956975386,20.126521220426753,0.030616204720422147,20.290981307129137,0.04472972196438299
55074.41935483871,20.100978293175178,0.0372107874870724,20.432565010022437,0.037210787446154164,20.14935811210989,0.03751660750456907,20.315007291254258,0.05056552827376963
55077.467741935485,20.129034919371573,0.04499947516015319,20.46062163621723,0.0449994751213901,20.177493334836566,0.04530933337293124,20.343577586510495,0.0573324421981079
55080.51612903226,20.16219609762153,0.05343073621517049,20.4937828144654,0.05343073617756127,20.210675828785472,0.05372280618825877,20.376878109396998,0.06486118320033975
55083.56451612903,20.200041494965042,0.062300709952925006,20.531628211806932,0.062300709915676364,20.248525407724713,0.0625724360134723,20.414750844385292,0.07303193336923329
55086.6129032258,20.242048409271813,0.07144027685517744,20.573635126111505,0.07144027681768036,20.290532878591023,0.07169678921346138,20.456761397315674,0.08168971329172153
55089.66129032258,20.287580460802815,0.08068540005776138,20.619167177640104,0.08068540001957557,20.336065034492808,0.08093245949228889,20.502294131203943,0.09064740205315927
55092.709677419356,20.33587904850053,0.08985929450782516,20.667465765335198,0.08985929446864753,20.384364412263803,0.09010141790529606,20.550597884187837,0.0996989104703564
55095.75806451613,20.38606015032063,0.09876211193019652,20.717646867152478,0.09876211188986185,20.434552046652318,0.09900037827501826,20.600821694878313,0.10860721191063187
55098.8064516129,20.43711973466894,0.10716720643710592,20.76870645149778,0.10716720639559424,20.48564378390585,0.10739149670421087,20.652091510379094,0.11706709119195978
55101.854838709674,20.487951452842932,0.11482519123543967,20.81953816966863,0.11482519119289548,20.536566110259077,0.11500709429426702,20.70351585393496,0.12471001012410309
55104.903225806454,20.537380034234243,0.12147819467780739,20.86896675105671,0.12147819463456318,20.58612754701944,0.1215976213982108,20.75381387542417,0.13131409367568891
