mjd,r',err_r',g',err_g',i',err_i',z',err_z',U,err_U,UVW1,err_UVW1
54787.5,19.426894162666915,0.09137011937831462,19.798693203143294,0.09137011937910133,19.25371204109372,0.09137011938268723,17.71766167478336,0.09137011941799594,19.549835874519307,9.106887723890013,18.9096658149877,6.465049394942814
54790.76666666667,19.44209065123714,0.08369979552846674,19.813889691713452,0.08369979552915538,19.268908529663758,0.08369979553268177,17.732858163353885,0.08369979557583242,19.565032681221616,9.235165529871388,18.92486230578281,6.556053111108161
54794.03333333333,19.458942663502743,0.07700618751257245,19.830741703978955,0.07700618751299877,19.285760541929086,0.0770061875162975,17.749710175619896,0.07700618756876897,19.581885287886116,9.379561351369869,18.941714329400252,6.658507958107832
54797.3,19.477473922746732,0.0713233260213736,19.849272963222877,0.07132332602151387,19.304291801172905,0.0713233260246159,17.76824143486413,0.07132332608705548,19.600416944479836,9.540973534392572,18.9602455988811,6.773052891155558
54800.566666666666,19.497709803982367,0.0666786373046275,19.86950884445856,0.06667863730462387,19.324527682408668,0.06667863730776594,17.788477316099605,0.06667863737999384,19.620652511142676,9.720419373358082,18.980481478664952,6.900411902503789
54803.833333333336,19.51967749088262,0.06309033887585372,19.891476531358936,0.06309033887593657,19.346495369309235,0.06309033887958644,17.81044500299943,0.06309033895987991,19.642619505668165,9.91905660111767,19.00244915874851,7.041403713058753
54807.1,19.5434061518111,0.060567927822592176,19.915205192287463,0.06056792782290141,19.37022403023784,0.06056792782726254,17.834173663927736,0.06056792791478758,19.666347915195736,10.138196359438519,19.026177826170407,7.196952881917504
54810.36666666667,19.56892713781486,0.05911794267946467,19.94072617829116,0.05911794268001524,19.395745016241445,0.05911794268505819,17.85969464993173,0.05911794277935018,19.691869325938423,10.379311782684873,19.05169883689553,7.368102585843073
54813.63333333333,19.596274205952433,0.058755861216961434,19.968073246428673,0.0587558612177028,19.423092084378858,0.05875586122329606,17.88704171806955,0.058755861323678216,19.719216852721683,10.644055771484208,19.079045933470205,7.556029660121021
54816.9,19.625483771947913,0.05952240298466127,19.997282812424167,0.059522402985538105,19.45230165037437,0.059522402991528084,17.91625128406502,0.05952240309691128,19.748426422595756,10.93429503775515,19.108255520591648,7.762062374433146
54820.166666666664,19.656595196917955,0.06149989893804502,20.028394237394266,0.06149989893899026,19.48341307534456,0.06149989894521494,17.947362709034877,0.061499899054170255,19.779537564115316,11.25214441661342,19.139366962676604,7.987701167744701
54823.433333333334,19.689651113840164,0.06482344313783091,20.06145015431654,0.0648234431387745,19.51646899226693,0.06482344314503277,17.9804186259569,0.06482344325602157,19.81259319021832,11.599996091761017,19.172422898440246,8.234642844840744
54826.7,19.724697800558705,0.06968314691549392,20.096496841035144,0.06968314691630728,19.551515678985645,0.06968314692231485,18.01546531267522,0.06968314703406364,19.847639543243677,11.980555344494972,19.20746960455037,8.50480913078475
54829.96666666667,19.761785607525674,0.07631748413830357,20.133584648002216,0.07631748413881417,19.58860348595288,0.07631748414422236,18.052553119641853,0.0763174842559039,19.88472680201256,12.396889710793328,19.24455742730196,8.800380578939729
54833.23333333333,19.800969450204605,0.08500166735971394,20.172768490681268,0.0850016673598225,19.627787328632134,0.08500166736442813,18.091736962320383,0.08500166747502885,19.923909982203217,12.852490127277479,19.28374128395447,9.123836918605623
54836.5,19.84230937823731,0.09603695314530947,20.214108418714037,0.09603695314517947,19.669127256665007,0.09603695314919469,18.133076890352882,0.09603695325659252,19.96524959682581,13.351340213109943,19.325081233904854,9.478005172607809
