mjd,i,err_i,z,err_z,r,err_r,g,err_g
55534.5,22.86733474455225,0.13289464292316122,23.239826292741537,0.2172350239879267,22.214465473961553,0.13797590671632093,21.62825339002847,0.20727216879365595
55537.6,22.408214986155997,0.07720837550669223,22.63811831953881,0.11763595382392981,21.94294431252169,0.08640766948909562,21.50217594962144,0.1581438756521747
55540.7,22.100427495160858,0.06295013704457622,22.267158779246458,0.08904063071881263,21.73971950352556,0.061459839558894995,21.40293006796191,0.12428035641175546
55543.8,21.87694746201073,0.057887027138898324,22.007416350314863,0.07637977866887254,21.584280609914018,0.049390725257232634,21.327212145803067,0.10121221900701229
55546.9,21.70901450305366,0.05444566612241113,21.815470646557333,0.06831051869770309,21.465237783232915,0.04348883145636662,21.27277533793741,0.08611679744812872
55550.0,21.581594135539856,0.05121594628009716,21.670548434942706,0.062040116053504096,21.375619450309994,0.04039210909846858,21.238087780743665,0.07699212796871865
55553.1,21.485808439266776,0.04811123655678264,21.561046266778135,0.05682825608041923,21.310857044409083,0.03856938087063854,21.222134847485187,0.07223664392369714
55556.2,21.415949185636798,0.04527258191596797,21.479780546205276,0.05247054033886079,21.267801158239585,0.037387291767106076,21.22430403539207,0.07052068271736553
55559.3,21.36809886148576,0.042829879622166236,21.421952092850987,0.048895226114066985,21.24419319654869,0.03659577917469478,21.24432197190252,0.07080606903660008
55562.4,21.33941869319238,0.04085155363572927,21.38415060857083,0.046041840921322345,21.238359637786054,0.03608761342382374,21.282228642734,0.07236562213898068
55565.5,21.327747852735506,0.039335915486738704,21.3638176429627,0.04382089248845449,21.24902358922839,0.03579406548782088,21.338383112682138,0.07475255174573384
55568.6,21.331360973752776,0.03821310953632943,21.35893342371454,0.042102494971745834,21.27518159951828,0.0356386380776794,21.41350191043003,0.07774826707593673
55571.7,21.348811657167268,0.03735417553844636,21.367821853496874,0.04072108169596355,21.316017997754845,0.03551490241828719,21.5087386013482,0.08132735073167312
55574.8,21.378825119642727,0.03659138474906102,21.389021967234605,0.03949555820556454,21.37084088403338,0.03527897268585043,21.625823879968816,0.08566820951218525
55577.9,21.420220174200644,0.0357588821915014,21.4211990219933,0.03827100786824317,21.43902996097882,0.034763410668495386,21.767305072022612,0.09124491564933532
55581.0,21.47184961362263,0.034771673978706896,21.463080862570287,0.03699636940408531,21.51998958522715,0.033838929159456146,21.936964197796694,0.09907528063997974
55584.1,21.532553147222124,0.033775015398449744,21.513411993765317,0.03586019969052136,21.613102118112423,0.032588690454481366,22.140585763765742,0.11129498613078798
55587.2,21.601120305175144,0.03338943226912767,21.570921806174297,0.035485018323989315,21.717677608274787,0.03172098773627476,22.387480851322344,0.13244680696200778
55590.3,21.676263110091988,0.03492585410584686,21.634305944048574,0.037038480250682196,21.832896546127007,0.03322290152672969,22.69386851573282,0.1725419052973861
55593.4,21.756600222250256,0.040061977372988014,21.70222140412051,0.04187726720867049,21.95774337181343,0.0402223592742911,23.09171337648593,0.2561139927628647
55596.5,21.840655738135453,0.049783486508456994,21.77329673655067,0.05070395117244626,22.09093020593218,0.054905947112889764,23.658855713250553,0.46278154472403876
55599.6,21.92687661532846,0.06380695319762067,21.84615858355364,0.06315432844136917,22.230813738401398,0.07747260162807494,24.69679599235885,1.3196738098564327
55602.7,22.01367233276819,0.08094200848215674,21.919474576384452,0.07809007710874069,22.37531434974434,0.10705852486784871,24.69679599235885,1.4514095274336978
55605.8,22.09947832517626,0.09941978952690908,21.992010288960625,0.09390118806001928,22.5218560695509,0.1419435782880978,24.69679599235885,1.5789020414881423
55608.9,22.182840664216723,0.11693109471613525,22.0626948341017,0.10860011615935264,22.6673581833073,0.17897530420727786,24.69679599235885,1.6841657431624597
55612.0,22.262513822597274,0.13063744603132854,22.130686578607932,0.11988444203624722,22.808320007608355,0.2129349302262732,24.69679599235885,1.7529746160092876
55615.1,22.337557629184364,0.1373228964768773,22.19542850908768,0.12530574391941454,22.941040041830828,0.2362727281043437,24.69679599235885,1.776937035412396
55618.2,22.40741604706299,0.13378771516374469,22.256683115827457,0.12265847354246828,23.061986096134316,0.23966202784760088,24.69679599235885,1.7571963303668774
55621.3,22.471961427176822,0.1177864210609717,22.314539740356988,0.11093430544174522,23.16827683952743,0.21410827080641628,24.69679599235885,1.7109863791414104
55624.4,22.53149414540427,0.09133422337516585,22.369392541829647,0.09339080749853809,23.258162918452463,0.15791186533797977,24.69679599235885,1.6811334345085873
55627.5,22.586697366606757,0.07663588096058375,22.42189300787571,0.08731770315510833,23.331351894510888,0.11882685836620742,24.69679599235885,1.7404264506713325
