mjd,r,err_r,g,err_g,i,err_i,B,err_B,z,err_z
56239.5,21.15121770613744,0.22009022268377187,21.068457951576516,0.20989111062897797,21.235774728275068,0.22982073542157289,21.153818522340202,0.25472102883432407,21.397620416234233,0.8173061563006533
56242.63636363636,20.799517208694034,0.12816539908036587,20.72799158453321,0.11195767176603788,20.88302216752689,0.13618154939113009,20.818058096653523,0.14576495076801113,21.00755298232454,0.5285255797982767
56245.77272727273,20.523682699622515,0.08743968187995216,20.463470662642397,0.08200360755094832,20.606140111979418,0.0935879568357881,20.55834689775623,0.11218747880057811,20.694782500127026,0.38407581667037083
56248.90909090909,20.29791170605368,0.06899770990328456,20.24920768559145,0.08225262620875384,20.37931572885524,0.07319047709617549,20.34905029901079,0.11193779290323243,20.43306065526388,0.3096222862948035
56252.045454545456,20.10848147478127,0.05964923626068378,20.070458008737113,0.0863012423314349,20.188918689449913,0.062260050365476625,20.17497796643845,0.11615782499258244,20.211621094371655,0.2664026377405827
56255.181818181816,19.947233322021585,0.05360170566653393,19.9178328338941,0.08662080871915576,20.026897509991514,0.055165947022122616,20.026177721470972,0.11593082223648876,20.025421663950162,0.23556583412070406
56258.318181818184,19.808933992625565,0.04868883024293758,19.785153840692928,0.08324287053849724,19.88809792086624,0.049648236387201373,19.896015506646002,0.11109669928178821,19.871266367337025,0.21059743588402316
56261.454545454544,19.690038171001373,0.044233915207597604,19.668396044015232,0.07768245349001457,19.769012535195507,0.044885101710548526,19.78022008117226,0.10351897223549034,19.746420323235018,0.19008686664453284
56264.59090909091,19.58804468280879,0.040090265972145545,19.565042289993087,0.07118237032252372,19.66713960543408,0.04061301865482435,19.676253724171275,0.09477284474914059,19.64820738531782,0.1734755917909081
56267.72727272727,19.50113458514249,0.03627653564632386,19.473709384726202,0.06430918855802913,19.580622633499836,0.036771534079050136,19.58293665467768,0.0855235169058139,19.573714484507164,0.1594624834577308
56270.86363636364,19.427955160068564,0.032847567906478504,19.39398918955486,0.0570906192894352,19.508027797805603,0.0333650651669545,19.50030348558711,0.07570540477652582,19.519257931727992,0.14593770273004736
56274.0,19.36748475557017,0.029848813544749435,19.32635687736695,0.049426520574754655,19.44820191456102,0.030409038455284476,19.429510487992502,0.06512459878697231,19.479799095476437,0.13088324784927388
56277.13636363636,19.31894499784448,0.027298236590330243,19.271954574694178,0.04158803324405662,19.400193205665243,0.02790895362617462,19.37254317863609,0.05418643248333062,19.448872916659866,0.11397906210640078
56280.27272727273,19.281742107844472,0.02517795320698303,19.232163898499167,0.0345554907945281,19.363225722787057,0.025848788210960177,19.331626596490644,0.04440488525800996,19.419567450789025,0.09804903087346944
56283.40909090909,19.255426867925927,0.023434594857441378,19.208062832495663,0.02979765611677075,19.336709024911446,0.02417972044126825,19.30848864550258,0.03812373356414051,19.38649027806575,0.0879416670561572
56286.545454545456,19.239667024174132,0.021996053114682917,19.199967003186448,0.028071755822268816,19.320255315929348,0.022821704401073686,19.303748358924278,0.0365679223076643,19.347748611786415,0.0851564284858242
56289.681818181816,19.23422832546603,0.02081794621758095,19.207210076256096,0.028350058623356385,19.313680128655225,0.021708009224506882,19.31661942449822,0.037981914530513805,19.30565761937913,0.08532781714750903
56292.818181818184,19.238961842191436,0.019980073084156242,19.22818941585876,0.028921923246071454,19.316978722301144,0.02089905536776831,19.344948939161736,0.03958880886049304,19.265762575525585,0.08390897224746358
56295.954545454544,19.253796112887393,0.01985273732454215,19.260612275238095,0.029088467004301684,19.33028557029391,0.020769498166520333,19.385512325031712,0.04022403416521164,19.23496351193472,0.08050538768325996
56299.09090909091,19.278733273073584,0.0212727630054615,19.30188086343622,0.029771987355902634,19.353828343253465,0.02218353297199287,19.43451491050254,0.04101769437671774,19.219800041638294,0.07847517726266545
56302.22727272727,19.31384876502197,0.02544652343199421,19.34959534081391,0.03321609279404214,19.38788356599161,0.02636491648842863,19.488314435925094,0.044838226225205384,19.225352203695884,0.08236452385334345
56305.36363636364,19.359294598647953,0.033475014194391375,19.40212708280823,0.041466049109681054,19.43273891671671,0.03439319198168814,19.54431490732996,0.05411399333623281,19.25466394272841,0.0943422390451917
56308.5,19.415306499839694,0.0461745692570106,19.459101688341306,0.05523336992688533,19.488670915441674,0.04704484345133255,19.601763389720947,0.06921491299049852,19.30851025754793,0.11330775983071611
