mjd,B,err_B,UVM2,err_UVM2,UVW1,err_UVW1,UVW2,err_UVW2,V,err_V,U,err_U
57133.5,17.326286336533286,0.037900028194547096,16.716463938665278,0.037631020387996324,16.48807016824561,0.037430675492724656,16.908720928548007,0.03854309126022017,17.078856146684227,0.0544504095937582,16.191935234500466,0.037213217003642995
57136.58928571428,17.37634049461638,0.03364021643596727,16.84908993508695,0.032164849899783965,16.623400396288854,0.031802991942432725,17.03719887475482,0.03375647386681128,17.0874372510024,0.047183179788113726,16.31364848603028,0.03303460387232319
57139.67857142857,17.428990010893166,0.03025202521656567,16.999721835806202,0.02907298122615614,16.777555944011283,0.02860610967923642,17.18267257984888,0.03126341492641787,17.09646151610823,0.041321303775515586,16.450158729185457,0.031143394548192302
57142.767857142855,17.48417106902884,0.027813081991800756,17.16705590024001,0.028161544224878154,16.949548166431995,0.027710457072458644,17.343517879441087,0.030780887042316636,17.107787871173393,0.03692318447377381,16.600172272071575,0.03124879206020457
57145.857142857145,17.541799440830555,0.02635481287134582,17.348272209238115,0.028827376818178645,17.13695668925955,0.028529130500267993,17.516472378139284,0.031732306357929035,17.123186779403056,0.03396032464055298,16.76139800259163,0.03277242761724068
57148.94642857143,17.60176664991946,0.025829470727644407,17.538513045959306,0.030551209326767765,17.33538090825473,0.03051693891490503,17.6961510196912,0.033679854000471354,17.144174798510907,0.03231652924707032,16.9303592431898,0.03523103969436425
57152.03571428572,17.663935621804,0.02610475863843143,17.73046071780734,0.03329547122396077,17.537922611156684,0.03361229923684454,17.874765253052544,0.03658820992539381,17.17188986097827,0.03179224060122431,17.102309360894083,0.03844442680734766
57155.125,17.72813583233036,0.026995286889899835,17.914402816516407,0.037346039015930685,17.73505387241083,0.03810921201263803,18.0424705759613,0.04062013769696886,17.20700939154374,0.032132131481069116,17.271406284058447,0.042427566049527396
57158.21428571428,17.79415801306677,0.028308022522918478,18.079345955193,0.042609868246485896,17.915461703283377,0.0439478402501909,18.188836532393168,0.0455522346492827,17.249707655350946,0.033071430869574626,17.43131756193623,0.04707173393331673
57161.30357142857,17.861748540990373,0.02987364859002225,18.21549192301201,0.048065374543153516,18.068361253001854,0.050088867288010853,18.30549604354546,0.05041253179428037,17.299647907255256,0.03437745806724704,17.576303822153434,0.05187162370218121
