mjd,B,err_B,U,err_U,UVM2,err_UVM2,UVW1,err_UVW1,UVW2,err_UVW2,V,err_V
56286.5,18.424108516202963,0.06695448753914501,17.274276478168655,0.047887658898559296,17.208472476118448,0.061835161687733044,17.223123608724208,0.05272302346096911,17.354106564284756,0.06352635062158553,18.331781326983002,0.09774912769819444
56289.75,18.328118845053105,0.052180263158582076,17.20041257053318,0.036450974766036884,17.151367817016624,0.05911472162819912,17.158854528413755,0.04972451639134289,17.298401093894135,0.060562985093073674,18.21470804304308,0.07751371098227697
56293.0,18.248514915116516,0.04726027932052004,17.14561128860297,0.033377449950483175,17.121383526100225,0.055060208614820416,17.119537878433533,0.04593095491969179,17.27012187689004,0.05647885513180628,18.115442576486217,0.06900644764387903
56296.25,18.183900568777837,0.04750731551427021,17.108594904143086,0.034352247207036966,17.111812276575066,0.051494861483714204,17.099172351395623,0.042768415262165904,17.262580182710423,0.053000879408883664,18.029047968607834,0.06704867210081049
56299.5,18.133210691162983,0.049416883755289465,17.088254961014325,0.03626378959961073,17.13220058682866,0.060531197945846014,17.105136868774512,0.04981579728920258,17.28550819553115,0.062321378858760226,17.95983582691229,0.06805508206806701
56302.75,18.09562140885014,0.05136309434323157,17.08358031915462,0.037910283884845956,17.16815765136683,0.06356750460748248,17.125245311221228,0.05165827554301365,17.324443028745037,0.06565040091831971,17.90008094140334,0.06898268010505035
56306.0,18.070489575813212,0.05284785161283582,17.09360995662327,0.03910463015708116,17.224872230463042,0.06628869399957112,17.16331322800997,0.052970236878385105,17.38472655329942,0.06872224477973031,17.852493055461125,0.06945363535863318
56309.25,18.05731085300883,0.05385278342286258,17.11740340300216,0.0400371439547331,17.304000456505413,0.0630229984452288,17.22012037929161,0.0493617535564397,17.468173952065833,0.06577441173909136,17.8177425029848,0.06943126784746519
56312.5,18.05568998352819,0.05452881452197909,17.15402459108497,0.040980665197253956,17.397714026254086,0.07557316429024537,17.28914268447068,0.05765934674238912,17.566913243783947,0.07907883484643477,17.793205855523475,0.06896288504524391
56315.75,18.065319292205626,0.05506135164948106,17.202536458569565,0.04214185356515931,17.512891402561714,0.08255567125226122,17.375122613502455,0.061173858558612126,17.688140948677074,0.08689510962548998,17.781706267719223,0.06845337570867391
56319.0,18.085962862681903,0.05560570574978607,17.262004348559643,0.04358969486088734,17.663538805828537,0.07304717471748597,17.48721191269218,0.05254080887249125,17.84667315497193,0.07786521646986488,17.786875229637324,0.06874263464457202
56322.25,18.117444707100848,0.05625028321495699,17.33150645438751,0.04525649769873641,17.79620437126319,0.10273189720386522,17.587049885195672,0.07103862607182203,17.987091310596814,0.10971852484626662,17.795448679817998,0.06780637545361429
56325.5,18.159639778247655,0.05699540777250015,17.410149449204514,0.04700028705013729,17.95991616794458,0.11661486068912735,17.708899956730523,0.07758151002672545,18.1606033284696,0.12560568124731764,17.82057462947107,0.0676832724063885
56328.75,18.212467009973505,0.0577495792283854,17.497087228351628,0.04868807468473897,18.136764440047322,0.13154478960114374,17.839816470946683,0.08404585652891906,18.34873849044909,0.14302702662970918,17.85830735894376,0.06763664381014828
56332.0,18.275883781908927,0.05835432831147847,17.59154055585109,0.050248256370058454,18.322861982806458,0.14826395230930972,17.977184310155994,0.0908965318777237,18.547482864011965,0.16284071724507812,17.908567419511904,0.06747983769284194
56335.25,18.34988133000216,0.05866543424107861,17.692815493041156,0.05166397180917297,18.483608316407356,0.13925844485602087,18.101038830981707,0.08357389419256284,18.719028202024887,0.15436512140292485,17.96718510055821,0.06715346512496101
56338.5,18.434480687990213,0.058760340882853895,17.800318865926158,0.0529612727802711,18.695215956770717,0.18102226897705428,18.256453683206296,0.10278802644695628,18.94634688772464,0.20295643521525547,18.04572707034645,0.06687277495266106
56341.75,18.52972875717683,0.059424774198364595,17.91356965092185,0.054436870162802097,19.034975430327727,0.11324019961738793,18.479029525261396,0.06288367103477632,19.31941023664686,0.13175887718345133,18.150711487480706,0.06878317726287005
56345.0,18.635694064810046,0.0630814767839966,18.032205861764215,0.05767700583951621,19.064434486325098,0.25462110849017194,18.545437168159268,0.13296518042079478,19.34040059738257,0.29184754910292476,18.23655276318931,0.07195503131942127
56348.25,18.752461679318326,0.0746150808731332,18.155987069883796,0.06771020880332883,19.218206752775213,0.2997253691078322,18.68061325993367,0.153300115314033,19.50039197954901,0.3460788373771974,18.35052979301209,0.08485691246230974
56351.5,18.880126590421508,0.10028491018291126,18.284792871717027,0.09366031315352137,19.20549188898589,0.11347631989165079,18.734951398761602,0.0740937357767898,19.469490798568646,0.13180239143077352,18.46194608078146,0.11281469797148447
