mjd,R,err_R,I,err_I,V,err_V,B,err_B
53432.5,18.299175830549185,0.06568880069135571,18.86653586576383,0.06568880069135724,19.518388748576626,0.06568880071200403,20.171842561995117,0.06568880116197207
53435.63333333333,18.29809881588849,0.05351606562975395,18.865458851103135,0.05351606562975531,19.517311733915935,0.0535160656550479,20.170765547334423,0.05351606620627269
53438.76666666667,18.30793956896866,0.046563068838440066,18.875299604183308,0.046563068838443,19.52715248699611,0.046563068868044864,20.180606300414595,0.0465630695131677
53441.9,18.328838847293476,0.04405619731887159,18.896198882508124,0.04405619731887461,19.548051765320917,0.0440561973513872,20.201505578739408,0.04405619805997908
53445.03333333333,18.360968465637693,0.04452320169958581,18.92832850085234,0.04452320169958852,19.58018138366514,0.044523201733723115,20.23363519708363,0.04452320247763484
53448.166666666664,18.404532402505943,0.046461750607940736,18.97189243772059,0.046461750607944705,19.62374532053339,0.04646175064338588,20.27719913395188,0.04646175141582438
53451.3,18.45976806998902,0.04890302531956485,19.027128105203662,0.04890302531956839,19.678980988016463,0.048903025356848644,20.332434801434953,0.048903026169327006
53454.433333333334,18.526947555779117,0.05149633570388592,19.094307590993765,0.051496335703892275,19.74616047380656,0.05149633574395619,20.39961428722505,0.05149633661715969
53457.566666666666,18.606378534699164,0.05441406086673498,19.17373856991381,0.05441406086673881,19.825591452726666,0.05441406091063381,20.479045266144706,0.05441406186719093
53460.7,18.69840436135005,0.05826718927198879,19.265764396564748,0.058267189271998504,19.917617279379883,0.058267189320515486,20.571071092777835,0.05826719037784317
53463.833333333336,18.803402550250095,0.06400746922851056,19.370762585464746,0.06400746922851668,20.022615468277536,0.06400746928215399,20.676069281696044,0.06400747045117045
53466.96666666667,18.92178035113693,0.07274103563870579,19.48914038635142,0.07274103563870643,20.14099326914777,0.07274103569632467,20.794447082657044,0.07274103697977324
53470.1,19.053965314345515,0.08547837623362259,19.621325349560156,0.08547837623363111,20.273178232372025,0.0854783762972927,20.926632045795863,0.08547837768639452
53473.23333333333,19.200387419808983,0.10296815815351383,19.767747455023688,0.10296815815349132,20.419600337843224,0.10296815821926261,21.07305415122695,0.10296815974723976
53476.36666666667,19.361447206646723,0.12570019542988906,19.928807241861396,0.12570019542988461,20.58066012467743,0.12570019550462735,21.23411393807897,0.12570019717707864
53479.5,19.537460927595813,0.15399741899276018,20.104820962810464,0.15399741899277006,20.756673845623148,0.15399741907889303,21.410127659042224,0.15399742095764363
53482.63333333333,19.728568439906816,0.18808342833924,20.295928475121393,0.18808342833920808,20.947781357925585,0.18808342843414222,21.601235171387906,0.18808343064862884
53485.76666666667,19.93458169850759,0.22808383195752846,20.501941733722234,0.22808383195754095,21.15379461653496,0.22808383207843488,21.807248429953844,0.2280838347144389
53488.9,20.15474138686095,0.2739722295914836,20.722101422075603,0.2739722295914911,21.373954304888407,0.27397222974253244,22.027408118306887,0.2739722330342263
53492.03333333333,20.387339309618046,0.3254910338776502,20.954699344832687,0.3254910338776656,21.606552227645487,0.3254910340727913,22.260006041063974,0.3254910383254977
53495.166666666664,20.62916601204894,0.38209378787486026,21.196526047263596,0.3820937878748854,21.848378930076397,0.38209378813440503,22.501832743494887,0.3820937937902124
53498.3,20.874787560566602,0.4429626753141401,21.442147595781243,0.4429626753141832,22.094000478594044,0.4429626756661164,22.747454292012527,0.4429626833361019
53501.433333333334,21.11580455421911,0.5070544052980572,21.683164589433762,0.5070544052981011,22.33501747224656,0.5070544057773796,22.98847128566502,0.5070544162226973
53504.566666666666,21.340567439355752,0.5727399165093533,21.90792747457097,0.5727399165087385,22.559780357450094,0.5727399170731952,23.213234170519897,0.572739931471908
53507.7,21.535223093994247,0.6361765445796981,22.102583129210874,0.6361765445820601,22.75443601226572,0.6361765455481094,23.407889824433177,0.6361765625760536
53510.833333333336,21.6868815675534,0.688777709699004,22.25424160276825,0.6887777097090451,22.906094485599276,0.6887777116259913,23.55954829891257,0.6887777283688428
53513.96666666667,21.78827070260761,0.7179420114545256,22.355630737822246,0.7179420114546118,23.007483620635067,0.7179420126230819,23.660937434053512,0.7179420380816252
53517.1,21.841086030420954,0.7155334931739706,22.40844606563558,0.7155334931741135,23.060298948448402,0.715533494466,23.7137527618669,0.715533522622035
53520.23333333333,21.855313593126798,0.691094735838447,22.422673628341446,0.6910947358385534,23.07452651115428,0.6910947372116962,23.727980324572748,0.6910947671374813
53523.36666666667,21.845121542959593,0.6821304025923247,22.412481578174244,0.6821304025923853,23.064334460987915,0.6821304039365685,23.7177882744016,0.6821304338081445
53526.5,21.824474205169032,0.7492702010422454,22.39183424038433,0.7492702010245658,23.04368712328159,0.7492701999690339,23.697140936270927,0.7492702374900045
