mjd,g,err_g,i,err_i,r,err_r,z,err_z
55925.5,18.645070839939738,0.12173992252400516,17.2765621763808,0.12173992252400707,17.61692899778038,0.12173992252415802,17.113551619852498,0.12173992252405787
55928.583333333336,18.672145676941817,0.11307178346683851,17.303637013382875,0.11307178346684002,17.64400383478248,0.11307178346701141,17.14062645685458,0.11307178346689806
55931.666666666664,18.711652957842638,0.1075066672602608,17.3431442942837,0.10750666726026313,17.68351111568333,0.10750666726045775,17.180133737755412,0.10750666726032937
55934.75,18.763946685890108,0.10459039641959875,17.395438022331163,0.10459039641960056,17.735804843730826,0.10459039641982215,17.232427465802882,0.10459039641967594
55937.833333333336,18.829382496032554,0.10379430743181974,17.46087383247361,0.10379430743182219,17.80124065387331,0.1037943074320751,17.297863275945343,0.1037943074319085
55940.916666666664,18.908304634616965,0.1045592108334781,17.53979597105802,0.10455921083348133,17.880162792457757,0.10455921083377209,17.376785414529763,0.10455921083358014
55944.0,19.001025295562645,0.10633662503255607,17.632516632003696,0.10633662503255958,17.97288345340349,0.10633662503289518,17.469506075475458,0.1063366250326745
55947.083333333336,19.107792534962222,0.10860702204036725,17.739283871403273,0.10860702204037113,18.079650692803117,0.10860702204076443,17.57627331487506,0.10860702204050435
55950.166666666664,19.228741321881976,0.11087188575563564,17.860232658323024,0.11087188575564066,18.200599479722943,0.11087188575610914,17.69722210179482,0.1108718857558009
55953.25,19.363820137960918,0.11262735318945917,17.995311474401962,0.11262735318946572,18.335678295801948,0.1126273531900325,17.83230091787379,0.11262735318966369
55956.333333333336,19.512683155721874,0.11333008363070374,18.144174492162925,0.11333008363071141,18.484541313563014,0.11333008363141484,17.98116393563477,0.11333008363095674
55959.416666666664,19.67453634927876,0.11236689748501237,18.30602768571979,0.11236689748502875,18.646394507119993,0.11236689748590879,18.14301712919171,0.11236689748534605
55962.5,19.847927442731546,0.10904466253823501,18.47941877917258,0.109044662538257,18.819785600572896,0.10904466253939872,18.31640822264452,0.10904466253868368
55965.583333333336,20.030479913073012,0.10262987396374057,18.66197124951401,0.10262987396377861,19.00233807091448,0.10262987396531574,18.498960692986014,0.10262987396436488
55968.666666666664,20.21860024001029,0.09249073655051612,18.85009157645127,0.09249073655057435,19.19045839785184,0.09249073655269481,18.687081019923337,0.09249073655144255
55971.75,20.407247612258985,0.07842952858578013,19.03873894869991,0.0784295285858701,19.379105770100658,0.07842952858892996,18.87572839217209,0.07842952858718735
55974.833333333336,20.589947776872755,0.06135486643642333,19.221439113313675,0.061354866436572106,19.561805934714478,0.06135486644137944,19.058428556785984,0.06135486643879209
55977.916666666664,20.75931367386709,0.04461892557584634,19.390805010307904,0.04461892557620175,19.73117183170879,0.04461892558387255,19.2277944537803,0.044618925580030736
55981.0,20.908279214374986,0.0357449708330588,19.539770550815785,0.035744970833680625,19.880137372216588,0.03574497084449235,19.376759994288207,0.03574497083948904
55984.083333333336,21.031911179824267,0.03950572495334973,19.66340251626502,0.03950572495394591,20.003769337665595,0.039505724964336825,19.500391959737627,0.03950572496016308
55987.166666666664,21.129121368173763,0.04721255284144282,19.76061270461451,0.04721255284209831,20.100979526014655,0.04721255285094772,19.59760214808703,0.047212552847897264
55990.25,21.203359202889928,0.050774463186526946,19.834850539330585,0.05077446318717211,20.175217360730162,0.05077446319534791,19.6718399828031,0.05077446319311088
55993.333333333336,21.261881763597906,0.04835404057041138,19.89337310003854,0.04835404057113769,20.23373992143753,0.0483540405794024,19.730362543511013,0.048354040577964295
55996.416666666664,21.314113339480777,0.042107284716819446,19.94560467592133,0.04210728471788181,20.28597149731943,0.04210728472742213,19.782594119393714,0.04210728472606812
55999.5,21.370045758662837,0.03685411607619755,20.001537095103306,0.03685411607740001,20.341903916500463,0.03685411608880816,19.838526538575614,0.03685411608785042
56002.583333333336,21.43934024045878,0.03734518358826795,20.070831576899273,0.03734518359000799,20.411198398295074,0.03734518360174877,19.907821020371582,0.03734518360092368
56005.666666666664,21.531287618144788,0.04249024603477257,20.162778954584933,0.04249024603650258,20.503145775979412,0.04249024604856107,19.999768398057206,0.04249024604778975
56008.75,21.655557043754264,0.0472088038502184,20.287048380194452,0.047208803852266404,20.627415201586818,0.047208803865346496,20.12403782366637,0.0472088038648728
56011.833333333336,21.82383395609936,0.053611852088722475,20.455325292539452,0.053611852091407876,20.79569211392874,0.05361185210759905,20.29231473601113,0.05361185210632877
56014.916666666664,22.053122848885746,0.09382786518679917,20.684614185325238,0.09382786518921664,21.024981006709726,0.0938278652024332,20.521603628796452,0.09382786520197502
56018.0,22.373626265821983,0.23175480843638305,21.00511760226096,0.23175480843789376,21.34548442363759,0.2317548084435436,20.84210704573124,0.2317548084469673
56021.083333333336,22.85365208982951,0.6173954740492177,21.48514342626759,0.6173954740489012,21.825510247625722,0.6173954740355176,21.322132869735775,0.6173954740558465
56024.166666666664,23.729405255835605,2.135603679092615,22.360896592269942,2.1356036790815858,22.70126341356596,2.135603678892772,22.197886035732502,2.1356036790765827
56027.25,,-1.4112255770555537,,-1.4112255770601725,,-1.41122557715296,,-1.4112255770771354
56030.333333333336,,-1.8854404505454336,,-1.8854404505508224,,-1.88544045067173,,-1.8854404505709677
56033.416666666664,,-2.393779863126665,,-2.393779863133222,,-2.3937798632850176,,-2.3937798631571114
56036.5,,-2.911185167894836,,-2.9111851679028717,,-2.911185168086423,,-2.911185167931139
56039.583333333336,,-3.4089053708752686,,-3.4089053708847294,,-3.408905371099019,,-3.4089053709170094
56042.666666666664,,-3.855778676916477,,-3.855778676926882,,-3.855778677169016,,-3.855778676963042
56045.75,,-4.2197556514383665,,-4.21975565144985,,-4.219755651714472,,-4.21975565148929
56048.833333333336,,-4.469545936906831,,-4.469545936918786,,-4.469545937199047,,-4.469545936960583
56051.916666666664,,-4.576274890445017,,-4.5762748904572765,,-4.576274890744213,,-4.576274890499995
56055.0,,-4.5150403820212235,,-4.515040382033301,,-4.515040382316629,,-4.515040382075371
56058.083333333336,,-4.266269255292853,,-4.266269255304306,,-4.26626925557256,,-4.266269255344351
56061.166666666664,,-3.8167892736083386,,-3.816789273618645,,-3.816789273859288,,-3.8167892736548197
56064.25,,-3.160557213050309,,-3.1605572130589095,,-3.1605572132596427,,-3.1605572130896844
56067.333333333336,25.569587843288836,26.96493612808689,24.201079179690417,26.964936127110683,24.5414459995709,26.964936089454614,24.03806862287484,26.964936120015864
56070.416666666664,23.827523428966426,2.9264242184153586,22.459014765398926,2.9264242183940476,22.799381586483744,2.9264242175721273,22.2960042088115,2.926424218249109
56073.5,23.225848104169167,0.09411726670877732,21.85733944060634,0.0941172667249749,22.19770626181726,0.09411726699476251,21.694328884041635,0.09411726687534264
