mjd,r,err_r,g,err_g,i,err_i,U,err_U,u,err_u
56669.5,21.057500747201992,0.20807148140884368,20.848798052228634,0.3035882371078392,21.586014197672206,0.5727127319660273,19.38957535380487,0.6432011565868402,20.43177842516058,0.6285581441636718
56672.58108108108,20.64214096060356,0.1082312906632125,20.506979643435294,0.1901863634743013,21.042172030996852,0.3074720462643057,19.166929727654264,0.47360138788240336,20.204092871082743,0.460409962841614
56675.66216216216,20.32006953238951,0.081308031410374,20.23395395731919,0.131866674963535,20.646299528857707,0.20040985403457193,18.98662607440132,0.35440856831750883,20.019485393999098,0.3430975515535858
56678.74324324324,20.06470686362434,0.07244373324032614,20.015285097431182,0.09806879042525353,20.34080109439909,0.14571499963658455,18.84603070364952,0.26735496133927195,19.874984726331036,0.2578964452211673
56681.82432432433,19.862097567666037,0.06526748616250812,19.8426629261723,0.075869632243407,20.10004083345358,0.11189276410675632,18.743861217554535,0.20174528128660343,19.76905511064778,0.19396489417253576
56684.90540540541,19.704087329798416,0.05758289103041819,19.71101249236975,0.05982871646553153,19.9103868139693,0.08812705181086569,18.679945995654467,0.1511515412582714,19.701300768524664,0.1448421376426734
56687.98648648649,19.585578235789512,0.04996225004505155,19.617163764933974,0.04777126851763266,19.7637464987223,0.07044894428839792,18.655190808266607,0.11195670979875233,19.672390071426534,0.1069012575996251
56691.06756756757,19.50324185484136,0.04325374751797507,19.559173035936624,0.039050207555315096,19.654931913561352,0.05744006698977527,18.67173752169768,0.08331045540606465,19.684166828946847,0.07922099187486317
56694.14864864865,19.454840852213596,0.03823295603041731,19.535949840371018,0.033834899407212786,19.580405655019234,0.048752357552005694,18.733379917174847,0.0686570682644376,19.739992748453517,0.06495013576978872
56697.22972972973,19.43882965052722,0.03549923499419766,19.547038268323107,0.03251852794884243,19.53760471181355,0.04434102848292373,18.846433365904186,0.07498737668245897,19.84547583011719,0.07043993956400238
56700.31081081081,19.45408557254803,0.03522141011872096,19.592477078046038,0.03493104923894565,19.524528036457625,0.043779305940150885,19.021572897340594,0.10449570085742473,20.00998863247699,0.09718035948279431
56703.39189189189,19.49969128308503,0.03694493039793472,19.67269212432128,0.04018038969997155,19.539446444761687,0.045986374200058446,19.278117359207837,0.15949590204086042,20.25009724853298,0.14606359496497623
56706.47297297297,19.5747156427753,0.0397871165695921,19.788380319645483,0.04729401259935735,19.580662458030076,0.04963029008284538,19.655935246387703,0.2604320373605023,20.598599916205103,0.23207154010781572
56709.55405405405,19.677947318933906,0.04280907591793327,19.940331217213593,0.05563772321374927,19.64627909505837,0.053595777763145516,20.26053987143281,0.4985641671958055,21.135604618856377,0.4172916982289429
56712.63513513513,19.807535063367546,0.04525829387295339,20.129094346709834,0.06496439653148467,19.733955631984646,0.057141975662579815,21.621607571765384,1.831293542990769,22.175524444353382,1.1398036852559654
56715.71621621621,19.96049252156122,0.04676033793566778,20.354322579865563,0.0754535950883581,19.84064858227083,0.05993574377993497,21.621607571765384,1.8448041540568527,22.175524444353382,1.1477251789915002
56718.7972972973,20.132057806178665,0.04763994188231927,20.61348793382796,0.08786052968034289,19.962368379058727,0.06212449045249034,21.621607571765384,1.792988483056714,22.175524444353382,1.115081172414611
56721.87837837838,20.315005823713726,0.04924289304428931,20.899513820991807,0.10354423075283958,20.094033951027285,0.06440459988276317,21.621607571765384,1.6901497002373893,22.175524444353382,1.05082032715602
56724.95945945946,20.49925332184877,0.053353322019736596,21.197011446135463,0.12363732100720536,20.229571723832578,0.06787481079702756,21.621607571765384,1.5613770319782452,22.175524444353382,0.9704758992734207
56728.04054054054,20.672441971531633,0.06009290106015153,21.478354694726445,0.1468226140848918,20.362439579634966,0.07356012475488047,21.621607571765384,1.446005030037876,22.175524444353382,0.8983321479391109
56731.12162162162,20.8222733647018,0.06721432016234914,21.705285965161462,0.16867685424632053,20.48667159349041,0.08208722735256292,21.621607571765384,1.3950200630725318,22.175524444353382,0.8660089456214051
56734.2027027027,20.940488592229567,0.07385818769620253,21.844677072652757,0.18920434710584327,20.59826704557693,0.09416722846744284,21.621607571765384,1.4486015674000308,22.175524444353382,0.8987950833552614
