mjd,r,err_r,i,err_i,g,err_g,z,err_z,B,err_B,UVM2,err_UVM2
55906.5,20.417132676716157,0.1866733565005958,20.638940782282784,0.32600131082015577,20.269611516234608,0.3605546021153203,20.917617903305803,0.5128570155527024,20.337732028964723,0.400673914623551,22.30241279133205,0.4275352547134396
55909.5625,20.023392237450675,0.10781941388098586,20.197136072869696,0.1916396571156871,19.9510692422205,0.2417605135637204,20.434606434925826,0.29601834887292183,20.029166157680987,0.2724503095568271,22.001016226215043,0.293058171826734
55912.625,19.736099020669414,0.0721509555558944,19.882519335408624,0.12847717837830697,19.71059607834508,0.1711673504624043,20.09801296334023,0.19507981777742522,19.795313166058193,0.1946958256854258,21.771983703651657,0.21035592441959516
55915.6875,19.516357844776152,0.05344950375295017,19.643362692903615,0.09273184185755422,19.526158952946272,0.12486971468959972,19.843830978023806,0.1374757260130627,19.61608845584252,0.14304541252970687,21.59659037828611,0.1548799008888267
55918.75,19.345200944395625,0.04210598077752881,19.455914235094955,0.06984041924721336,19.386051511438268,0.09266609417626878,19.644135144722686,0.10050962685855576,19.480729161476912,0.1068503416645064,21.46474918612071,0.11570830636955581
55921.8125,19.211973648569444,0.03427061170572299,19.30728820940802,0.05394200243867518,19.283461602226136,0.06962789159955715,19.48420295630338,0.07512669917620646,19.382913790720625,0.08085041471031441,21.370594053627595,0.08739314265962275
55924.875,19.11011864141267,0.028404943336072526,19.189754805138037,0.04242598705979011,19.214184657065807,0.05317084367968978,19.35502882022011,0.05722507788857099,19.317479564726533,0.061675783905384446,21.31016907087806,0.06682951342747137
55927.9375,19.035337734952513,0.023918075909013,19.09838658574583,0.034046371533096316,19.175510336742814,0.04181518780160779,19.252445720530915,0.04447572361560106,19.286103115688377,0.04954091986837675,21.28265266187531,0.052942134175520114
55931.0,18.98468431239748,0.020597083843162375,19.029944077075317,0.028152368901457583,19.165614389072505,0.034531050838848804,19.172048397209057,0.03578607735543651,19.283856188529626,0.041803892750123736,21.285642035040627,0.04408108955262835
55934.0625,18.956072651877157,0.018355219357301965,18.982289795179067,0.024324191044767404,19.183190740316135,0.03035914519073916,19.111802284296665,0.03026375372212671,19.30988308890469,0.037551514588281425,21.31840483897748,0.03919712746322824
55937.125,18.94799319999333,0.0171069084147872,18.954049641986924,0.022185670063722962,19.227206430927627,0.028342439374118174,19.07065696883931,0.027118958283910186,19.3641174394739,0.03587545670355855,21.380673635358804,0.03720866095522067
55940.1875,18.959337184735833,0.01671468302454832,18.944396520806688,0.02134330307191679,19.296724104561513,0.027736398594174067,19.048166380247803,0.025714594622619817,19.44676098884509,0.03552050184062726,21.472370071470266,0.037066514804970786
55943.25,18.989282129676592,0.016999808824464856,18.952895490637694,0.021422759585351895,19.390767142606272,0.02819174610518682,19.043454462954866,0.02542229471772338,19.553443812202932,0.03677344690829924,21.5918812518451,0.03860591375184521
55946.3125,19.03721177737093,0.01778579683179015,18.979379259543126,0.022122796129655946,19.508220801506923,0.029689522400551355,19.057472666335073,0.025888157797168607,19.687774331307345,0.03968026108992023,21.740200679884115,0.041939665511524823
55949.375,19.102654327097227,0.018929820482982623,19.023837190097723,0.023227410023713126,19.647776484131036,0.03228219212296535,19.090211540536178,0.026784807679722775,19.847656979990745,0.04536692812302195,21.916285757433545,0.0476731567595921
55952.4375,19.185227607904793,0.020331326311512198,19.086307976182287,0.0245912144554669,19.807937482253784,0.0358439355425289,19.142311919545136,0.028119319054258532,20.03539369455174,0.05045170463560428,22.120498574773116,0.05468718270069135
55955.5,19.284581271625658,0.021941129667996894,19.16676906029621,0.02614100676869892,19.98711057071864,0.04003958894674191,19.212026026816996,0.029484781145539537,20.23435623954041,0.06038272837175447,22.34639615488455,0.06476382598394947
55958.5625,19.400325241122975,0.02380011923621084,19.265016333405736,0.027922668421182812,20.18380157730643,0.04457366099589787,19.301075328308094,0.03115699097841268,20.458205350457707,0.07056935740414463,22.598433491976873,0.07621182496677474
55961.625,19.53193074252352,0.02612368910209356,19.38052675026033,0.030199062203738126,20.3969043888123,0.04960655416881281,19.40809447856045,0.033390426546966494,20.69891477256572,0.07975050311128888,22.873942935985845,0.08900228098160817
55964.6875,19.678585368827918,0.029406779533930637,19.512295255581634,0.03355551900297203,20.626013672001523,0.05599133415404905,19.532840233461307,0.0367442387805475,20.96775884544607,0.09770257040867404,23.179008244709852,0.10873736611678965
55967.75,19.83897742038702,0.034432204059034556,19.65863749626469,0.0388716801246025,20.87160066235437,0.06464166546877348,19.6736325993827,0.042395444645658996,21.274140340295,0.11149212716618663,23.522221295802346,0.1336687288970693
55970.8125,20.010980149527555,0.04200766385171869,19.816954322946557,0.04699379358121371,21.134766517195068,0.07486075545601835,19.824117273449446,0.050444264151840806,21.56690773047705,0.15625830804814245,23.891081119901152,0.18082754103276757
55973.875,20.19121232157019,0.05244388090469901,19.98346884172701,0.058200632582404335,21.41609343913036,0.08404013596814376,19.982141185229814,0.06191874926263308,21.869058424468214,0.18378915196241474,24.30810999533547,0.23207873422997566
55976.9375,20.37448870708476,0.06505750675932093,20.152980565533984,0.0718068264950488,21.712757777136762,0.09859920868688805,20.14464951430135,0.07587119463080085,22.224052366222043,0.24136766178691826,24.818569031106897,0.3440526550724927
55980.0,20.55328042167869,0.07802799683831974,20.31874172963002,0.08615386971076884,22.01260484230201,0.1709238391412083,20.30707690768692,0.09126692219057322,22.695038490398858,0.4554104378607927,25.512288164472015,0.8568721064120052
55983.0625,20.717514964916663,0.08932666297959649,20.472638783071847,0.09938898738307148,22.284719762996108,0.3730999805642429,20.45640017869524,0.10756143055893216,23.08655957389234,0.9284231054916399,26.317328141756967,2.895376772855505
55986.125,20.85529660681985,0.10049844338427424,20.605900831076195,0.11198912730005126,22.473614752459667,0.7144571140440084,20.587666289504,0.12671769531147167,23.341050422934416,1.7432679552428991,26.928656810515644,7.961802428975727
55989.1875,20.95509367848915,0.12295922133170001,20.710439474342046,0.13105387595052564,22.519854409379025,1.0950881950305953,20.694299208816904,0.15528939251967697,23.318729244661395,2.424441153749072,26.536260092670325,8.020792981836424
55992.25,21.009120193430864,0.1726392289344778,20.780566376457944,0.16970077860794552,22.41098327841561,1.3526405278186036,20.771636864569146,0.20193737277486054,23.040685592679516,2.5163067600151003,25.721550289994646,5.10741485610708
55995.3125,21.01623385604473,0.25085340206995543,20.81440127541237,0.2348877998772719,22.196237341042654,1.4338523843160447,20.817787946479818,0.27043220244756994,22.660377360000385,2.261031624014527,25.03395560872231,3.459832732894244
55998.375,20.98229678116203,0.3456185582730975,20.814225187824448,0.32121101093569654,21.940105527232276,1.402212612237139,20.833824049564246,0.3568518803741592,22.285620695750033,1.960426310315841,24.502861132622872,2.5919849251685765
56001.4375,20.917717106922353,0.4435927939022089,20.78559121089072,0.4177391006872523,21.685911756682703,1.3289720664373426,20.823298481246812,0.45280117898138467,21.954895507436053,1.7130113223820687,24.089522473515203,2.0909882830253705
56004.5,20.833993464550655,0.5353642128532902,20.735732334576902,0.5141432668792318,21.454048353160033,1.2524519403390737,20.791351664374286,0.5492821526521873,21.674730391292872,1.52742166719697,23.762967401576812,1.7777126106623709
56007.5625,20.74119117282987,0.6160301787559748,20.67204382123046,0.6030200245092365,21.251353854352637,1.1870228028252907,20.743765564289504,0.6390129401316492,21.44136497422252,1.3920074161353775,23.50214677640356,1.570752749461866
56010.625,20.646930076267807,0.683927055238077,20.60110440041428,0.6801474599696924,21.078299458594067,1.1358253481145206,20.68622091276797,0.7172974396494898,21.24861551919919,1.2941325608048162,23.29251958550122,1.4291465316049667
56013.6875,20.55644182846445,0.739146220966604,20.52827387877135,0.7438229395246041,20.93276273590326,1.097597330392157,20.623839335010473,0.7819125734146916,21.09033462011578,1.223645236418746,23.12361489094573,1.3300967129759422
56016.75,20.473079710943477,0.7825015702087088,20.4576827488882,0.7939844488634792,20.81177897718757,1.0695901942675816,20.560976465759477,0.8325103393350268,20.961085820517642,1.172755682977504,22.98759697310864,1.259657234107078
56019.8125,20.398890234889286,0.8149856249979588,20.39241300392981,0.8314723995048723,20.71231639859542,1.0487327447495127,20.50119187742858,0.8699245110639382,20.856263417169778,1.1354168311419273,22.878434560055865,1.2085321081439275
56022.875,20.33508724346667,0.8375471846426338,20.334736860647233,0.8575307463761894,20.63160498581157,1.0320997697553895,20.44732588661939,0.895597463032967,20.772049480118092,1.1068407423839135,22.79140536848984,1.1700750120245893
56025.9375,20.28239734419865,0.8510336970706981,20.286347323694415,0.8735192131584931,20.567258415480172,1.0171109050767284,20.40163158457011,0.9111955356471334,20.70532627975709,1.0832019039484118,22.722781181843526,1.1393059534410968
56029.0,20.24129461848795,0.856200602306521,20.24855637884508,0.880772878189634,20.517294219344194,1.0016150731012112,20.365928166590066,0.9183970139343538,20.653575777971458,1.0614657915666883,22.669606792791246,1.112414440898886
56032.0625,20.21215308512588,0.8537376381470875,20.222456703525644,0.8805504235286958,20.48010020315941,0.9839148717289431,20.341755053101927,0.9188052040265519,20.61477364380044,1.0392807588024673,22.629526400879655,1.0864923776877222
56035.125,20.195342009618486,0.8442904415876528,20.209050452676077,0.8740283687433805,20.454372466540967,0.9627529063344623,20.3305157419097,0.9139378974976881,20.587281810803635,1.0148938397074923,22.600636226944086,1.05936956524033
56038.1875,20.191282711559175,0.8284704112567434,20.209350772099,0.8623139023920852,20.43904210628753,0.9372743776724907,20.33360696582958,0.9052558141391611,20.56974621905652,0.9870727698066397,22.58135833507755,1.0294924294676664
56041.25,20.200479693220956,0.8068526675001743,20.224461819641114,0.8464604661662255,20.433204708063077,0.9069786683803001,20.35253357893722,0.8942063221497883,20.56100951299814,0.9550305469106165,22.5703405646132,0.9958220296657504
56044.3125,20.223534405761917,0.779964810607678,20.255642728277543,0.8274780219094618,20.436065039759647,0.8716698281286945,20.389013455493835,0.882270628991158,20.5600499406542,0.9183539109403198,22.566392185142696,0.9577429332766758
56047.375,20.26114650213802,0.7482700935152917,20.30436052995707,0.8063345848193789,20.44690726390254,0.8314100424544282,20.44508022910355,0.8710118191168774,20.565956690729305,0.8769352493705044,22.56846487685147,0.9149781118605805
56050.4375,20.314104450912886,0.7121487574070159,20.372336459995218,0.7839477417067283,20.465097708593632,0.7864730353982831,20.523195629015284,0.8621284481091132,20.577948029756076,0.830903141760002,22.575684101759638,0.8675043520666534
56053.5,20.38326427352655,0.6718814503148978,20.461588800180305,0.7611649405157395,20.490122334782654,0.7372894920631763,20.62638844087923,0.857526076391349,20.595431757156483,0.7805456973382182,22.587427266301688,0.8154649465667912
56056.5625,20.46951115574442,0.627639707742705,20.574472421650523,0.7387296689127513,20.521654448594045,0.6843778710534532,20.75844527088921,0.8594313455848548,20.618098293146442,0.7262271137210142,22.603433757594882,0.759085139148965
56059.625,20.573692707906908,0.5794916195588101,20.713707959049486,0.7172276249908063,20.559640662615976,0.6282630804398489,20.924191983878032,0.8705987297009631,20.646027141525558,0.668310477600774,22.623921291779197,0.6986074001095053
56062.6875,20.69650312933788,0.5274379759480998,20.882376001602722,0.6970039160873782,20.604386446191313,0.5693994842988577,21.12992848049563,0.8947199878653626,20.67978096088606,0.607111451173421,22.64967781318827,0.6342689221627528
56065.75,20.83828228731893,0.471508330080451,21.083808675429495,0.678045232038619,20.65661937941698,0.5081273463593169,21.384120262987828,0.9372995720036141,20.720461644354664,0.542910858175065,22.682102393119322,0.5663381584394582
56068.8125,20.998670672634454,0.4119703820527729,21.321204680743442,0.6598563060647155,20.71751041180136,0.4447037325834104,21.69851196072317,1.007696275317604,20.769711089997283,0.4760574544536408,22.723182312343695,0.4952263744274241
56071.875,21.17603209411743,0.34973462212362805,21.59653295125224,0.6415325768680294,20.788640795663586,0.37949322765676824,22.089865228029375,1.1244496532044577,20.829653231732024,0.4072428752553713,22.775411795819913,0.4217475611756167
