mjd,V,err_V,R,err_R,I,err_I,B,err_B,U,err_U
56118.5,19.13001977071258,0.06780652981922376,19.065933996960442,0.08668303080687932,18.9636243167975,0.1177193503954679,19.3675402178014,0.09298422619240762,18.435674452356437,0.14240505289524613
56121.54918032787,19.08056153252575,0.05521245686801505,19.010320571749155,0.0738833437567718,18.903979430924466,0.10246158688542187,19.32379812857526,0.07864911279333833,18.397777848799645,0.125100004152655
56124.598360655735,19.042531511391388,0.04634110056996119,18.965658392982256,0.06437783809828704,18.855015518102125,0.09046865603691079,19.291997757721703,0.06796075756642471,18.372419427587307,0.11162114161806028
56127.647540983606,19.015486371938547,0.04032425790388377,18.931417749686993,0.057305691438232595,18.81615724814004,0.08092720651936494,19.271795661388747,0.06002895242915121,18.359379454804774,0.10108198581853715
56130.69672131148,18.999063066929274,0.03635118228142321,18.90714494904032,0.05196834626551279,18.78691049424608,0.07321148803188723,19.26293920525567,0.05410662632230101,18.358539058329832,0.09278595419889492
56133.74590163935,18.99295916152649,0.03370843483203846,18.892440804676227,0.047821155435804986,18.76685843949035,0.06684429733859243,19.26525006406129,0.04958615264206527,18.36983310538911,0.08618218113258258
56136.79508196721,18.996916856347546,0.03183958558133125,18.88694321768723,0.04446409003896967,18.75569026794888,0.06145940849627916,19.278611148230777,0.0460012883182144,18.39314355101473,0.08080500265110198
56139.84426229508,19.01070933122378,0.03036825604450913,18.890312467403113,0.04162411975102318,18.753227524107498,0.056764955922729,19.302956183182264,0.04302093331326249,18.428185532110383,0.07620986429206708
56142.89344262295,19.03412838688969,0.029077944093008987,18.902218264160012,0.039131360998680385,18.759300689269164,0.05253134475669807,19.338263470693175,0.040433627918824926,18.47470009210519,0.0720107058459833
56145.94262295082,19.066972582822725,0.02787271603192552,18.9223279183732,0.03689401335574794,18.773393673773153,0.04863770873210552,19.384554998535528,0.0381281501516305,18.533224532923818,0.0681312482599952
56148.99180327869,19.10903520950506,0.026738611638801174,18.950295210345793,0.034875538903768336,18.79442234587017,0.04513010799924223,19.441894735473007,0.03607292035458591,18.605759618355048,0.06503385590573604
56152.04098360656,19.16009152950473,0.025712092404811787,18.985749743860932,0.03307509962312378,18.821086761720977,0.04209517454220486,19.510377313579838,0.03429375677813114,18.69526109738304,0.0631904708602686
56155.09016393442,19.219884804738452,0.024853981950051677,19.02828676244245,0.03151083352623199,18.852349355478996,0.03942865226748512,19.590112695674527,0.032852789809653525,18.80474601204343,0.06214780744713115
56158.139344262294,19.28811072865287,0.024225856321262847,19.07745762103661,0.03020543276095768,18.88751895790883,0.03697258420489328,19.68121514571901,0.03183173009092582,18.937235158196284,0.06107448991339226
56161.188524590165,19.36440003972641,0.023868364259762312,19.1327613509004,0.02917433314108871,18.926687203366257,0.03472323758116291,19.783780777020667,0.03131677804748041,19.094426530803418,0.05961570068674751
56164.237704918036,19.448299354947366,0.023785015059151978,19.193638034297095,0.028417932834049475,18.971449025918904,0.03297588808132408,19.89784956091308,0.03138180403262585,19.27303223716917,0.05947258442172816
56167.2868852459,19.539250688647055,0.023937104416650073,19.259465004474663,0.027919661638802645,19.023859179249886,0.03256271435815593,20.023395146853694,0.03206514194902364,19.4652238319332,0.06911288316958532
56170.33606557377,19.636570779539902,0.02425302785837038,19.329557167491064,0.02765069951480954,19.08391856600729,0.033659485841353566,20.16035139403845,0.03334514348452102,19.667606126608895,0.09317403672559708
56173.38524590164,19.73943229171423,0.024650131707156884,19.403172936291178,0.02757996788694465,19.149101521249786,0.03498651701586632,20.308596705234557,0.03515364082657547,19.88830078252352,0.12313062834671509
56176.434426229505,19.846850187263875,0.025064254016608983,19.47952727090762,0.027685911177387095,19.21650343007477,0.03542646718309225,20.4678548887335,0.037452243778404656,20.143000178395173,0.15352964617489076
56179.483606557376,19.957677973928522,0.025482549890102128,19.557813006143355,0.027965654078272034,19.28432857461804,0.035205367840525505,20.63757672360047,0.040334168525157234,20.450736778814136,0.19265385397979115
