mjd,r,err_r,i,err_i,g,err_g
57802.5,19.1153413522404,0.379866088755497,18.332282998244168,0.11274039514799242,19.604903579039572,0.32427498614419525
57805.681818181816,21.24142145619135,18.95662305525771,19.63643196403771,7.50130449597988,21.54555480439118,15.55779446718965
57808.86363636364,18.419384654768926,0.6058514166639729,17.69233847154296,0.5407626780161725,18.917966301762988,0.593954599036146
57812.045454545456,19.794921330553798,4.909438327059973,18.732323679170854,3.195499272283781,20.233255077458303,4.55949994837734
57815.22727272727,18.35960504424519,0.26589772103995846,17.59662921957686,0.23354114795192396,18.852446045481724,0.2578394547504138
57818.40909090909,20.599591937394027,10.453625542837955,18.98214732972597,4.08610119359303,20.900027428340543,8.550994066190249
57821.59090909091,28.245226960227793,12048.053393136574,19.347327860932065,5.770875676443575,22.576203836313038,40.35617930853941
57824.77272727273,32.80133122166983,800494.9392983569,19.197058680291804,5.026933957559826,22.429018609799595,35.240284779204636
57827.954545454544,22.49101457263007,60.14637880769577,18.997274302784376,4.1806125874994695,21.849912620232796,20.6713648746363
57831.13636363636,18.025097928683962,0.6729799561145986,17.19999407404912,0.5459061782217545,18.50762948525843,0.6506216487262967
57834.318181818184,17.452757891550597,0.09884815512203568,16.711595852689513,0.08445458354284026,17.94910320360241,0.09500266255405297
57837.5,18.415982564023416,0.17158828476589214,17.495899076497526,0.1540338841282125,18.881777527671282,0.16412013331198433
57840.681818181816,17.894429153452766,0.3003473600697626,17.09995903403503,0.2509667281976296,18.382105527332577,0.2908765441915327
57843.86363636364,18.778422651613386,1.341139021430847,17.818354330330006,0.9694581125671782,19.236804779183597,1.269260019534313
57847.045454545456,24.128827141805942,271.8557574454649,19.400022681388585,6.075268990962021,22.49540847761896,37.46278594872924
57850.22727272727,34.63808643593932,4345709.349313475,19.84533514817882,9.174676967496962,23.07732236441268,64.03262664669558
57853.40909090909,50.48823495414367,9508676749259.781,20.67588876659599,19.74100548453526,23.907889708274915,137.60673944348966
57856.59090909091,71.72688292395537,2.975632350196888e+21,,-14.507136404506786,,-101.11823413094864
57859.77272727273,55.46312722883387,929131092410139.8,,-14.488880028341429,,-101.11561655638583
57862.954545454544,38.23041665097414,118848242.09620726,,-14.456884321423164,,-101.11103684205533
57866.13636363636,26.36456516190966,2131.335430644119,,-14.421574421083509,,-101.10588514783018
57869.318181818184,19.743433333737062,4.388687468746448,22.381226304648084,86.34218411314033,20.41905225229385,5.071349630246042
57872.5,18.07437215337182,0.07057928073163323,17.753996555734247,0.09049297455770648,18.627757485571376,0.06667845598463076
