mjd,i,err_i,r,err_r,z,err_z,g,err_g
56774.5,21.325685515901075,0.042215376573257524,21.527435774519653,0.03846111504377533,21.74145472166531,0.044500351746252546,22.504532116536893,0.05932765324163725
56777.5459770115,21.31679820454609,0.03966389267957171,21.518321600215643,0.03580154955114843,21.732639800252226,0.04201017347156586,22.49472875805166,0.05716536109617824
56780.59195402299,21.30889416564613,0.03784768561160937,21.51017846505622,0.033936443125169885,21.724812076433277,0.04022682890162696,22.485859904155298,0.055617132739668326
56783.637931034486,21.301969746958328,0.0366887359357692,21.50300204178196,0.032788496795635204,21.717968116926528,0.03907189172923813,22.477919279542263,0.05459393080578391
56786.683908045976,21.296021062936852,0.036092384723049584,21.496787737796943,0.03225493469449975,21.712104265833467,0.038454106441509484,22.47090025934177,0.05400710704696946
56789.72988505747,21.291043978605536,0.035956683638498244,21.491530677858705,0.032219441108934134,21.707216628942323,0.03827764369201753,22.46479584966177,0.05377348140671666
56792.775862068964,21.287034092371893,0.036182660466571454,21.487225685722812,0.03256674930457243,21.703301056973988,0.03845064877124625,22.459598667267507,0.05381915386287772
56795.82183908046,21.283986717730414,0.036682401456670316,21.483867264700756,0.03319443818213221,21.700353127715566,0.038891808441723914,22.455300918396937,0.054081695999972965
56798.86781609195,21.28189686380466,0.03738352685941646,21.481449577093418,0.034019304584150784,21.698368126987504,0.03953395965036156,22.45189437672451,0.05451083293940504
56801.91379310345,21.280759214677552,0.03823031462828775,21.479966422464155,0.03497873587016987,21.697341028389463,0.04032498225843111,22.449370360492367,0.05506798022131242
56804.95977011494,21.280568107462795,0.039182547995727623,21.4794112147214,0.03602890422396024,21.697266471773148,0.04122681346207238,22.447719708840932,0.05572505441975472
56808.00574712644,21.281317509072256,0.04021319902763993,21.479776957984935,0.03714153836228163,21.698138740391176,0.04221345777127717,22.44693275738175,0.0564629119470087
56811.05172413793,21.28300099163921,0.04130574319197236,21.481056221217823,0.038300409782771314,21.699951736675448,0.0432686385197824,22.446999313070943,0.057269666631823
56814.097701149425,21.28561170656203,0.04245155445583263,21.483241111613694,0.039498093800175604,21.70269895660222,0.04438347542439082,22.4479086284575,0.058139040594888634
56817.14367816092,21.28914235714046,0.04364758378291117,21.486323246739776,0.04073320366170589,21.706373462607388,0.045554376591780917,22.449649375399193,0.05906883259095031
56820.18965517241,21.29358516978477,0.04489438394093798,21.49029372544775,0.04200811846613734,21.71096785502275,0.046781215533202955,22.45220961835974,0.060059543934482866
56823.23563218391,21.298931863789218,0.04619447812944379,21.49514309757962,0.043327158840233325,21.716474242013774,0.0480658042859563,22.45557678742406,0.06111317803731328
56826.2816091954,21.305173619673162,0.047551046160790825,21.500861332511345,0.04469515085023586,21.72288420800973,0.049410648919371435,22.459737651193695,0.062232218053052214
56829.3275862069,21.312301046109702,0.04896689709816557,21.507437786598153,0.0461163248797546,21.73018878063267,0.050817965859816815,22.464678289753497,0.06341878209584545
56832.37356321839,21.32030414547846,0.05044369862403183,21.514861169606526,0.04759350587258606,21.73837839614628,0.05228893601488803,22.47038406793061,0.06467395289198913
56835.41954022989,21.329172278101368,0.051981435109006664,21.523119510244587,0.049127558150290185,21.74744286346659,0.05382317338641693,22.476839609101,0.06599727625828647
56838.46551724138,21.338894125244178,0.053578066574100365,21.53220012093144,0.05071705088942248,21.757371326798634,0.05541838390664852,22.48402876983429,0.06738641961582204
56841.511494252874,21.349457650995237,0.05522935976664458,21.542089561979267,0.052358110512155435,21.76815222699013,0.057070188628165895,22.491934615706356,0.0688369779338885
56844.557471264365,21.36085006316527,0.05692886144460429,21.55277360539895,0.05404442557072337,21.77977326172355,0.058772083906996724,22.50053939864933,0.07034241066007627
56847.60344827586,21.373057773388734,0.05866798369743076,21.564237198581115,0.055767369762604886,21.79222134470326,0.060515510646893034,22.509824536251198,0.07189409006111659
56850.64942528736,21.386066356649025,0.06043617231374784,21.576464428149986,0.05751621037102879,21.80548256403407,0.06229000550538772,22.519770593460564,0.07348143955302748
56853.69540229885,21.39986051049577,0.06222113191217244,21.58943848433679,0.05927837281885087,21.819542140032127,0.06408340925541509,22.53035726719609,0.07509214030909027
56856.74137931035,21.414424014275106,0.06400908545293521,21.603141626274407,0.06103973674771963,21.83438438276024,0.0658821109547547,22.541563374404937,0.0767123856411407
56859.78735632184,21.429739688748857,0.06578505030194917,21.617555148671205,0.0627849444202746,21.84999264963357,0.06767131070858666,22.55336684415593,0.07832716503672706
56862.833333333336,21.445789356542228,0.0675331176614838,21.63265935038528,0.06449770761442875,21.866349303504606,0.06943528809760965,22.565744714395017,0.07992056285040701
56865.879310344826,21.462553803925566,0.06923672645255821,21.648433505484192,0.06616110400726072,21.88343567170209,0.0711576673504787,22.57867313402631,0.08147606002362748
