mjd,r,err_r,i,err_i,B,err_B,V,err_V,g,err_g,u,err_u
58429.5,17.564949022994576,0.04963772455134238,17.6744328246903,0.06327121963124416,17.905889806619378,0.03866879520654101,17.558331873545225,0.03999520326417835,17.63091994021678,0.04028297239027176,16.82456319872386,0.06288532433554964
58432.608695652176,17.247330868449367,0.031371688782281866,17.301869413794307,0.03762411110139085,17.605429243936022,0.021861738080631247,17.240976000642068,0.02317216466512879,17.318398462212667,0.02283739621540601,16.559265843095364,0.04066672473142109
58435.717391304344,17.01591402459933,0.0248067354772624,17.03899645528394,0.02873409738189446,17.38556369354579,0.01741899748895363,17.010119674150907,0.018615522187415027,17.09127402897068,0.01819384679489717,16.36272188708529,0.03120361079459244
58438.82608695652,16.84039058028803,0.021621438913078123,16.842645341571817,0.024840313792356506,17.219089425052292,0.016144434330694887,16.83535896181635,0.01697727166573418,16.919852869152088,0.016738180415031095,16.21389144302676,0.02699786898231585
58441.934782608696,16.70493321826759,0.01936488719483489,16.691972027677615,0.022478850947820192,17.091508276293858,0.015199289926368528,16.700835622725286,0.015665121104915365,16.788590247839863,0.015635553957712257,16.10103258169859,0.024911934159973427
58445.04347826087,16.600117202694516,0.01751490072875451,16.57517396319471,0.020780429640509537,16.994082510522595,0.014214481766743446,16.59711781294715,0.014373017102111052,16.688227433428942,0.014524605578567669,16.016867249064415,0.023773509954397053
58448.15217391304,16.51977119775615,0.016043744093331407,16.484795579860293,0.019566034729482155,16.921050258318267,0.013334162996552459,16.518037605971777,0.013247053338972813,16.61271026678253,0.013548165433606551,15.95651651264508,0.023185451976259503
58451.260869565216,16.459537359452096,0.014991186123949871,16.415716018038143,0.01878452621010466,16.868327170603703,0.01271084265413174,16.4592456282598,0.012432741250054431,16.55777457505947,0.012855688873623832,15.916494354041898,0.0230024809824955
58454.36956521739,16.41613689477538,0.014346655230841299,16.364169432060418,0.01836900757140019,16.832833777538553,0.012398597563453047,16.41747379047141,0.011975609093237586,16.520221705131807,0.012497132859773311,15.894168454465522,0.023142054634847333
58457.47826086957,16.386965856766935,0.014034697074172745,16.32722465161908,0.01822255421037302,16.8121198761712,0.012353836887000019,16.390129208240467,0.011820733131835848,16.497517634705304,0.012423401391854938,15.887450292540613,0.023531666981696318
58460.586956521736,16.36986184400091,0.013944829769889394,16.30249312234831,0.01824166644749138,16.80414423475421,0.012479376812643867,16.375059377020822,0.011858275488614527,16.487559632772605,0.012531346169981942,15.894608161491808,0.024104498873341706
58463.69565217391,16.362967170594725,0.013971121091465994,16.287961169704744,0.018340780785333237,16.807142781559623,0.012674640379154955,16.370413966515372,0.011977637883588552,16.488537569428317,0.012715494878314484,15.914151550057857,0.024807132240336455
58466.80434782609,16.36465085392682,0.014038818141538326,16.28189538738647,0.018465195319862064,16.819551432949993,0.012867603356591354,16.374565575235245,0.012101786457211262,16.498853189211133,0.012900797596947297,15.944760401813841,0.02560583140170092
58469.913043478264,16.373468708753826,0.014113195885599932,16.28279352072689,0.018592525035853905,16.839965172548137,0.013025708571648633,16.386068841757254,0.012197919642521243,16.517077481349784,0.013053427525668213,15.98524498869969,0.026487901369613966
58473.02173913043,16.38814878121012,0.014195724095379792,16.28936414313189,0.01872664093945771,16.867122352682852,0.01315324038952385,16.40364532020172,0.01227327872578112,16.541934242297106,0.01317763805578976,16.034528252870317,0.027458274096261136
58476.13043478261,16.407592947849878,0.0143129549254829,16.300523527268258,0.01888757393023656,16.899906484681857,0.013281171213699667,16.426185133368403,0.012363206823208983,16.572301502548946,0.013305092111383426,16.091645393964935,0.02853241989672407
58479.239130434784,16.430887016746066,0.014501469892791838,16.315400578231035,0.019100028376921516,16.937358974128948,0.013452148261739245,16.45275787934497,0.012514573540991674,16.60722383712305,0.013479508729866134,16.15575657505205,0.029727128743992366
58482.34782608696,16.457312402889062,0.01479201908957963,16.333342210959252,0.019383089644000852,16.978696485003343,0.013702983332380068,16.482625887135953,0.012767276470044487,16.64592894092952,0.013739062167829236,16.226168647211562,0.031051438650208592
58485.45652173913,16.486353232052988,0.015197181588877734,16.35391305362613,0.019743731016959358,17.023326684668973,0.014049293888708762,16.515253536600284,0.013138890874852507,16.687842074557352,0.0141011781423228,16.30236129593139,0.032500760509530054
58488.565217391304,16.517694019121837,0.0157067802441109,16.376885259670548,0.020175843785995868,17.07085660763791,0.014478378410174566,16.550307483650002,0.01361848891714854,16.732592655113315,0.01455566788155421,16.38401247832168,0.034057464825871665
58491.67391304348,16.551204971266714,0.016292324605237215,16.402216503505926,0.020664652781064868,17.1210890918834,0.014953867487124187,16.587644419501842,0.014172047166180328,16.780008664218943,0.015069453266015127,16.471017876585623,0.03570066275844609
58494.782608695656,16.5869142528142,0.0169177375264116,16.430016598462302,0.02119453791711701,17.17400466947059,0.015430475992607781,16.62728525383859,0.014756064233305388,16.830096607809445,0.015600880445772033,16.563499621179748,0.03742713586953732
58497.891304347824,16.624968776617067,0.0175516626649115,16.46050516773412,0.021757499534415244,17.229728603428153,0.015873815929642137,16.669376914564616,0.015333185147646386,16.883007121131804,0.01611830397239701,16.661800761378412,0.03928496494157921
58501.0,16.665586804989356,0.018177454002455663,16.493964065520704,0.02235986962017778,17.288484953715667,0.01628052025464604,16.71414482188743,0.01588496322714581,16.93898845427244,0.01661796131446768,16.76646360300231,0.04142090435786123
58504.108695652176,16.709006580000377,0.018798760374054372,16.53068866493276,0.023025693839894872,17.350541172723393,0.016695245719413318,16.761840199457318,0.016419394727397126,16.998331565372887,0.01713764178876232,16.87819157934558,0.04413916619677752
58507.217391304344,16.75543535921679,0.01943982473727451,16.57094183782593,0.023795875558533956,17.416147562059802,0.017220011956586994,16.8126866847817,0.016972041560711144,17.061311217351797,0.017762351718896268,16.997795195377982,0.04795828425720998
58510.32608695652,16.805002847340845,0.020140051668571184,16.614913756599357,0.024722647896758425,17.485476073361724,0.01800718732367615,16.86683041300512,0.017599427778553226,17.12812746075009,0.018615976269504435,17.126122349026538,0.05363464545883841
58513.434782608696,16.857722434970867,0.02094289214899633,16.662689890920053,0.025859650508555952,17.558562769755696,0.019225860504281288,16.924297233363294,0.018363643906757175,17.198851565307432,0.019832978610527588,17.26397183935203,0.06211796614470797
58516.54347826087,16.913463190516516,0.021880570029361068,16.714229009630444,0.0272491956051119,17.63525824506473,0.021003455367182892,16.98496032113843,0.01930964406922382,17.273380283677664,0.02151278266789195,17.411986353714877,0.07444809018485037
58519.65217391304,16.971935349773727,0.022958674803815447,16.769352732201025,0.02890991769657868,17.715190801142306,0.023368411461705433,17.04852136266172,0.02044156887665251,17.351402638233143,0.023674479697837484,17.57051842574809,0.0916620860965184
