mjd,U,err_U,UVW1,err_UVW1,UVW2,err_UVW2,UVM2,err_UVM2,B,err_B,V,err_V
57197.5,15.399525246817623,0.025307424448577625,15.278553271966029,0.02787186762036712,15.554490716212674,0.0318836308339045,15.317675630610545,0.03146668858114794,16.840582041750224,0.029181159606458514,16.90984216530623,0.03657419510457176
57200.537974683546,15.491942159535945,0.023210366531890174,15.389567535401444,0.02506635918358068,15.67436981130145,0.029242835263088813,15.436911173208054,0.0287838525692421,16.906563277531454,0.027736171236976807,16.967912990673295,0.03553982711006419
57203.57594936709,15.587210601172218,0.02158323390987838,15.505717084886486,0.022652548106777397,15.800937282137069,0.027187976961056896,15.56272375323469,0.026668784469518786,16.973298101852777,0.026560322138773153,17.02635743861188,0.03484735361381849
57206.61392405063,15.685057850635955,0.02045739711359085,15.627012689583875,0.020707080571861013,15.934642039198362,0.025793255010579764,15.695531873845127,0.025195314097173037,17.04046168540194,0.025626457749575532,17.084984486003364,0.034448903075524645
57209.65189873418,15.785131869549001,0.019834379911944536,15.753401229770898,0.0193095101968853,16.075967314730665,0.025067646129635492,15.83578041328044,0.02437550044257269,17.107695782216865,0.024901448846321943,17.14357087737387,0.034280334945523024
57212.68987341772,15.886986807107464,0.019676321244489703,15.884738729420304,0.01852045420570276,16.22547216290673,0.02498943988962373,15.983977105656546,0.024190286684596097,17.17461065781936,0.024348903233278867,17.201897242719724,0.03427981875365243
57215.72784810127,15.99006804107034,0.01990843376207363,16.020754256274863,0.01835374865531068,16.383857837443564,0.02553915957708932,16.140750957486016,0.02461910932626813,17.240788901248987,0.023932476338872258,17.25978859122138,0.034384032637832344
57218.76582278481,16.093698047903473,0.02043294291940129,16.161002448570546,0.018760013448395094,16.551916657609446,0.026737356218192145,16.306797539734067,0.025674313987539627,17.30579203050982,0.023618998725885524,17.317052334562092,0.034540314822707766
57221.803797468354,16.19706513489517,0.021146739730661893,16.304802676183577,0.01963571571284845,16.730104454343678,0.02867572216364785,16.48246842482042,0.0274295165426265,17.369170654686187,0.023380787299727455,17.37322006482669,0.03473321193417579
57224.8417721519,16.299217938211903,0.021955160997158534,16.451164049322635,0.02085051585670604,16.917605405067423,0.031454766232786945,16.666888040011667,0.029962519431317967,17.430477633231106,0.02319689449937215,17.427206883402015,0.034973007521419706
57227.879746835446,16.39906944642634,0.022779434117365042,16.59869850648598,0.022273404992460426,17.11122391614924,0.035199333110144365,16.85692488139291,0.03337204556262211,17.489281995011748,0.02305331678158825,17.477251051854473,0.03528143526449338
57230.917721518985,16.495414856483873,0.023559194294337716,16.74553023030714,0.023787037499736922,17.304940410495615,0.04027788269610012,17.046808074466387,0.037981571897343705,17.54518138745109,0.022942224246619958,17.52143144433329,0.035701600896293734
57233.95569620253,16.586967358280184,0.02425224177647868,16.889219804358568,0.02529212978582244,17.490892133612654,0.04652018210069244,17.229080275561056,0.04362343186630132,17.5978131925238,0.02286028826202221,17.558562218535016,0.036157623157337115
57236.99367088608,16.672414442419658,0.02483287631722051,17.026735766252017,0.02670757454025028,17.661450055021344,0.051697600151316636,17.396537764493175,0.04825609803059418,17.646866820092242,0.02280640791265126,17.588773791099705,0.036345228590369726
57240.03164556962,16.750494139780297,0.025289265175643574,17.15452083767029,0.027969746923257325,17.81087213153079,0.05319954405887922,17.543732180825966,0.04950786013233766,17.692098578812548,0.0227794571073207,17.613299038443117,0.03610934539410207
57243.06962025316,16.8200858382368,0.02561996715672349,17.26870486253691,0.029031364293430287,17.93592222702574,0.05173457299946226,17.667505815675185,0.04805089457748162,17.733345918394196,0.022776666064154943,17.633860626670177,0.03574268517038174
57246.10759493671,16.880304940310005,0.025829937276057688,17.365494730450727,0.029858644589098912,18.0370492282118,0.050540448235208375,17.768070499342233,0.046862615650801645,17.770535479917918,0.022792877225738077,17.65245835285915,0.035579328636174495
57249.145569620254,16.9305864660424,0.02592675979481099,17.4417103131098,0.030426528591950216,18.120199686533578,0.05117439604614327,17.85070481559523,0.0473703554483453,17.803684245392656,0.022820638329287237,17.67152482519377,0.03567023488380414
57252.1835443038,16.97074189815715,0.02591805956019498,17.49534683428845,0.030714835963800584,18.194957038323103,0.05317403376641101,17.92407788942041,0.04912138898171354,17.832899563643355,0.02285106313429251,17.69348397527019,0.0359651167881538
57255.22151898734,17.00097739037269,0.025810713834841112,17.52597970364477,0.030709796402312264,18.266623708541477,0.0553428976211296,17.992965465551258,0.050979783281491935,17.858380939022197,0.02287532233397952,17.71934281290154,0.03640808180639517
57258.259493670885,17.021869301914524,0.02561172280000419,17.534851735198785,0.03041174954003941,18.32798454614575,0.0566196436746303,18.050724391725602,0.051985590957092764,17.880416248164003,0.022886352804138962,17.74749088051228,0.03693070113027457
57261.29746835443,17.034302312071027,0.02532987043657031,17.52460556043846,0.029843472610098384,18.35988967863403,0.05791330201733217,18.08000782467324,0.05304483215378189,17.89936346988176,0.02288016769543059,17.77414872899579,0.037522473848717416
57264.33544303798,17.03938278289064,0.02497708529867603,17.498771983888524,0.029051899247395735,18.343591798077192,0.05954078986074995,18.06406359197232,0.05454100055329272,17.915621085935136,0.022856383452266465,17.7953303899491,0.0381099598402707
57267.373417721516,17.038343224809605,0.02456876854711468,17.46120050793324,0.02810106575788798,18.275116510114902,0.0582413437047081,17.999488435189207,0.05354734212775754,17.929599871955293,0.022818059229189717,17.808735370753084,0.03842528664652548
57270.41139240506,17.03245235453379,0.024122980406111414,17.41558980354934,0.02706019427536495,18.16776739261635,0.054066766152465744,17.898377951321187,0.05001891719134716,17.941703722940513,0.0227711690118008,17.814441313896058,0.03840144693084348
57273.44936708861,17.022940783140605,0.023658877057908805,17.36519041283324,0.025992552677337074,18.04303266059421,0.05078301451668766,17.780386607603095,0.047282183080756456,17.95231780809293,0.022723910075764218,17.814605521721877,0.03833914693410299
57276.487341772154,17.01094698488818,0.023194976258614625,17.312673691579842,0.02494852480590847,17.920438684241994,0.0481755186510855,17.663692965377805,0.04509504199722754,17.961801894986454,0.02268596925991473,17.812594046600502,0.038342702292953244
57279.5253164557,16.997483614022958,0.0227477392658283,17.26012098638283,0.023963373382254967,17.811809227760666,0.044044407234516164,17.559584607192555,0.041411918140952235,17.970489716358042,0.022667848681087798,17.81158175381862,0.03824085561052274
57282.56329113924,16.983421289508293,0.022330733169927185,17.209081344169444,0.02305845573677128,17.720172416480366,0.039926223895002715,17.471187556571888,0.037670653019419714,17.978691604602563,0.022680195633851645,17.813164281207857,0.03821033011728641
57285.601265822785,16.969485672023406,0.021954411882218243,17.160657705621098,0.022244266913990035,17.64255020798747,0.038778637311785144,17.39592102992876,0.036660051629448374,17.986692864664473,0.02273303471210489,17.817051298660637,0.03866853251272629
57288.63924050633,16.956263582445718,0.02162639465925493,17.115596766956468,0.021524001579103554,17.574605029871492,0.039253299651515874,17.329832625641743,0.037151288339192255,17.994745099362227,0.022835029850765718,17.822098542289957,0.03947132663882159
57291.67721518988,16.944214525893976,0.021352043046365045,17.074369974983775,0.0208968110456263,17.51378549375978,0.038377348976480076,17.27058785082134,0.036371257566405885,18.003057611445513,0.022993015238916774,17.827523149219317,0.04008416592394662
57294.715189873416,16.93368485905801,0.02113512634066466,17.037241016777585,0.020360338169910678,17.458897386155623,0.0360073952227702,17.217098292694267,0.03418486444976742,18.011797638101406,0.023211800008382927,17.83295549539997,0.04034122837988156
57297.75316455696,16.92492270017176,0.02097839903941856,17.004319460855623,0.01991238513495283,17.407861844772462,0.03374295051606752,17.167421385067655,0.032099570540115516,18.021097986678996,0.02349408570686097,17.837521889197234,0.040441885704125234
