mjd,z,err_z,r,err_r,i,err_i
57623.5,22.544889220926763,0.06853639011585429,23.343957615804097,0.1600590640491705,23.08087624905231,0.06620550652316055
57626.59302325582,22.53768580469888,0.06205581334598834,23.362482271489103,0.13778726366640565,23.07520929022706,0.059627611431139003
57629.686046511626,22.531592392230483,0.05649140054276855,23.385812517100156,0.11874140635429699,23.07083154534816,0.054029439719438715
57632.77906976744,22.526624306985042,0.051850148254969454,23.412707582577006,0.10476330393270297,23.067672612250163,0.049424195051037165
57635.87209302326,22.5227973441843,0.048128337498076,23.44156893427856,0.09718639771966567,23.065650296127792,0.04580220525463873
57638.96511627907,22.5201277929959,0.04530238803263166,23.470518147286583,0.09560976578357525,23.064678138275056,0.04311951024987863
57642.058139534885,22.51863246178065,0.04332100326521341,23.497541339423627,0.0976599466639381,23.064674131275112,0.04129319346721844
57645.151162790695,22.518328706692134,0.04210235074517176,23.520702188541822,0.10032886627175187,23.06556986384619,0.0402074379827826
57648.24418604651,22.519234463953957,0.04153866459088684,23.53840353032877,0.10140084179972152,23.067319208617967,0.03972893987741844
57651.33720930233,22.521368286178017,0.041507193727993344,23.549651077841126,0.10006025982429845,23.06990562117963,0.03972509161865468
57654.43023255814,22.52474938313022,0.041883402725845946,23.554255195386872,0.09693556257713289,23.073347179382466,0.04007774764464583
57657.523255813954,22.529397667401597,0.04255206502644974,23.552912335188154,0.09379456499255218,23.077698666294264,0.040689200811300195
57660.61627906977,22.5353338055014,0.04341397632392544,23.547140321689213,0.09279289108900796,23.083050278544505,0.041481392124621444
57663.70930232558,22.542579274958104,0.04438837387717475,23.539087228653063,0.09531148654971026,23.089522894175655,0.04239157743966067
57666.8023255814,22.551156428094735,0.045412395494749,23.531268698598353,0.1011364247878456,23.0972602139984,0.043367609268055524
57669.895348837206,22.56108856323881,0.046439046848836485,23.52629733771324,0.10877377091593035,23.106418443329332,0.044364810587385776
57672.98837209302,22.572400004238094,0.04743475404353058,23.5266518022128,0.1163997925347403,23.117154455855157,0.045345101997799946
57676.08139534884,22.585116189281898,0.048377126317228916,23.534506099572887,0.12251568296645865,23.129613541340493,0.04627806996479819
57679.17441860465,22.599263770181,0.04925322921758794,23.551615365053735,0.126148358832679,23.14391786769416,0.04714314726013289
57682.267441860466,22.61487072343939,0.05005848773702228,23.579239630928484,0.1268641685894549,23.160156690623555,0.04793194600952085
57685.36046511628,22.631966474661965,0.05079626008855959,23.61808164326822,0.12481233930426262,23.178379143101566,0.04864990660612331
57688.45348837209,22.65058203809837,0.05147810147708924,23.668215440388664,0.12091017062593988,23.198590165192677,0.04931669427116018
57691.54651162791,22.67075017342198,0.052124739950207694,23.728986734982126,0.1171800615132465,23.220749829652995,0.04996514552285293
57694.63953488372,22.692505562204815,0.05276778826640998,23.798874368223597,0.11693799224078104,23.244776016804728,0.05063904111702238
57697.732558139534,22.7158850069818,0.053452193738620694,23.87531791716321,0.12391569812720779,23.27055012660935,0.05139053547160755
57700.82558139535,22.74092765631959,0.054239356266907644,23.954546621739944,0.13985614994535192,23.29792531396267,0.052278563580764124
57703.91860465116,22.767675259937207,0.05521069536642573,24.031494837654968,0.16279159510279276,23.326736613734834,0.05336968131203876
57707.01162790698,22.796172458695516,0.056471204029306395,24.09995150857746,0.18791495660210775,23.356812291300137,0.05474223041063214
57710.104651162794,22.826467115209674,0.05815222184727171,24.153122699531202,0.2095409308737607,23.387985802476116,0.05649331205368239
57713.1976744186,22.85861069199942,0.06041242160282813,24.184700214262097,0.2229677904246085,23.42010784687638,0.05874613847725377
57716.29069767442,22.892658685513084,0.06343608283752117,24.190259812959628,0.22621057366251243,23.453058110137125,0.06165384830230256
57719.38372093023,22.928671126137953,0.06742838859202799,24.168468642717645,0.22098703347106785,23.486756369310665,0.0653961270461158
57722.476744186046,22.966713156528304,0.07260872228848904,24.121491024420635,0.21192590801200653,23.521172648863185,0.07016786197852196
57725.56976744186,23.006855703369432,0.07920421794281018,24.054364727526618,0.2039231653946732,23.556336054351632,0.07616380831119018
57728.66279069767,23.049176261233335,0.08744625219891707,23.973705641606884,0.19934543718211684,23.5923418023143,0.08356692866764145
57731.75581395349,23.093759811692355,0.09757171336996694,23.88637172674947,0.197381697620082,23.62935586299113,0.09254755323491114
57734.848837209305,23.140699906658973,0.10982927005058911,23.79853286884366,0.1956860756868449,23.66761660525771,0.10327570950257382
57737.941860465115,23.19009995244302,0.12448955808819008,23.715243484968838,0.1922460742465685,23.707432937608427,0.1159433228913217
57741.03488372093,23.242074740858676,0.1418578641660476,23.640389076356435,0.1861853797270488,23.74917869783811,0.13079007904991904
57744.12790697674,23.296752286708116,0.16228837750259578,23.576829246359452,0.1777769845087111,23.79328343345748,0.14812740764491672
57747.22093023256,23.3542760483035,0.1861998971742545,23.52660492186231,0.16826604601926995,23.840220169552154,0.16835787171818578
57750.313953488374,23.414807631055638,0.21409363434215536,23.491138224693337,0.15977913092722043,23.890491194684813,0.19199046843178594
57753.40697674418,23.478530106055857,0.24657433458393532,23.471396977166435,0.15525661936584279,23.94461322967836,0.2196548759107033
57756.5,23.54565211962338,0.28437645459750377,23.4680192247326,0.1580607760448241,24.00310353078868,0.2521191002295745
