mjd,r,err_r,g,err_g,z,err_z,i,err_i
55927.5,18.672345685254587,0.11411607832360142,18.917929876385188,0.13959209014903548,19.247146431706486,0.13430635270986974,19.262572368392366,0.12575265366432486
55930.5625,18.493078483914406,0.08314184127255832,18.741828525841747,0.10637955344015192,19.06000718229851,0.099636493259333,19.07638711326117,0.09225571751012053
55933.625,18.356655685398362,0.07013655707536222,18.608554935423754,0.08998944872847882,18.915832435442553,0.08384021125499476,18.93314588199829,0.07767615247601403
55936.6875,18.257050884412966,0.06528289718192475,18.51231424124359,0.08175251404321209,18.808031916536297,0.07698332966081384,18.826325961324923,0.07188790899662534
55939.75,18.190253109000682,0.06345163347834,18.449292709635056,0.07729056659455048,18.732137302777815,0.07380317965089508,18.75151215565697,0.0695035820869265
55942.8125,18.15343798348095,0.06270579285054717,18.416864634741668,0.07478209384662325,18.68488786368661,0.07207165591920056,18.705492640648473,0.06832866411194517
55945.875,18.144498158182135,0.06256944840438898,18.413146272029138,0.07363564133923559,18.663712383804434,0.07104162385386682,18.68574618648356,0.06769382532633739
55948.9375,18.161748133498552,0.0630258418344029,18.43672038247338,0.07370704677772398,18.66640216621567,0.0705219545791536,18.69011803848313,0.0674707792403965
55952.0,18.203715768333915,0.06406376480960536,18.486447240294094,0.07489503955864074,18.690881136516758,0.07044317157762799,18.71659117050339,0.06762603274837195
55955.0625,18.26897440542001,0.06549426376511351,18.56131722660095,0.07695299482317007,18.73502789424733,0.07068086260144076,18.76310758475371,0.06804590050771572
55958.125,18.35598942260241,0.06690724475346792,18.660317947574974,0.07942947061816308,18.79653003913961,0.07101530941736765,18.827419247905553,0.06850058611315683
55961.1875,18.462964538055825,0.06770742845652737,18.782297391506255,0.08168362135350522,18.872768178347478,0.07117525272264273,18.906964976282993,0.06869359348580559
55964.25,18.587683045314737,0.06720038466904048,18.925809677251372,0.08294269933824552,18.960741672619445,0.0709386394955975,18.998784293391747,0.06837089314547778
55967.3125,18.727351813387337,0.06473666409586999,19.088935279410045,0.08240713080442469,19.057061382569554,0.07026564533844916,19.099493420115046,0.06747044677958405
55970.375,18.87847458595361,0.059971883501794325,19.269077271068163,0.07946730136644171,19.15804264613311,0.06941721541223324,19.205358854384095,0.06627239145166307
55973.4375,19.03680599543594,0.053362640983797754,19.462754066945603,0.07417977526779983,19.259925933743194,0.06895928325733519,19.312501879211425,0.06544402940489828
55976.5,19.197460965119785,0.04701531739327318,19.665441804379522,0.06821818331349215,19.35922348510252,0.06952164339647768,19.417241570985315,0.06580106424752033
55979.5625,19.35525449134967,0.04511936431405123,19.87156350822235,0.06596621841327378,19.45313718114967,0.07132958621593433,19.516530376065386,0.06773891664827149
55982.625,19.50529295573505,0.05064006198327868,20.07475576770755,0.07264398796560069,19.539936472228504,0.07386007658968065,19.60837242698314,0.07074695822240598
55985.6875,19.6437165367604,0.06077962793673763,20.268515410232652,0.08787019923847479,19.619164846975348,0.07599285266617765,19.69208184364525,0.0735458675172709
55988.75,19.768352069961885,0.07007462436576511,20.44718060804184,0.1049992839669408,19.69158892039738,0.07653034780229123,19.768274821344328,0.0747224545658117
55991.8125,19.87899187039383,0.07436405626538055,20.60695298399422,0.11644580445925395,19.758900780964808,0.07467579347198258,19.838588958640056,0.07331413099731296
55994.875,19.977149688866582,0.0716827393427914,20.74649545540405,0.11690283253391325,19.823274487861944,0.07027228978644728,19.905227387734218,0.06909366581335376
55997.9375,20.065392211100757,0.062384338240094206,20.866767534815356,0.1049244653757163,19.886909894157835,0.0638584856968166,19.97047140633774,0.0626345760052402
56001.0,20.146523403311328,0.04938115354987979,20.97016826485882,0.08415314812440058,19.95166681690669,0.05664335821716362,20.036280008151245,0.05528203505744472
56004.0625,20.22290041557836,0.03855470491686766,21.05942513330069,0.06455948636818551,20.01883481896882,0.050362934512305356,20.10403299168555,0.04896517860366935
56007.125,20.296034610271867,0.03574922516291636,21.13671798423878,0.05887761159235127,20.089035300823532,0.04678459723417481,20.174418857038784,0.045513945047349624
56010.1875,20.36649648662777,0.03795336770974901,21.20330742319213,0.06576871847370253,20.162228362859416,0.04715869808574442,20.247439348458936,0.045880640763212716
56013.25,20.43406398493216,0.04422677601682996,21.259670454377726,0.08464400042475005,20.23779272763675,0.05364042372795612,20.322496084900166,0.05198049824341816
56016.3125,20.498025483639637,0.07844166539582921,21.3059702780243,0.14829691847026436,20.3146519767628,0.0726799144448101,20.3985291939196,0.07113370488696927
56019.375,20.557543502461773,0.16163572618579822,21.342615576865075,0.2851361343872698,20.391425940051178,0.11358513016386024,20.474183404714637,0.1139798339008055
56022.4375,20.611987610178684,0.29901140436175083,21.370678271349576,0.5014151461795657,20.466588885797435,0.18338675848348665,20.54797972851579,0.1878539422158864
56025.5,20.661158903562033,0.4935059993066955,21.392027221556344,0.7963037817986494,20.538617046274066,0.28616903079532663,20.6184717316285,0.29672363508429417
56028.5625,20.705361327703862,0.7443979532480982,21.409168307057346,1.1636193161160107,20.606109901318565,0.4232964255826044,20.68436797338951,0.44180632132954134
56031.625,20.74532289591389,1.0455430359721216,21.424895960815547,1.5920441029971986,20.66787508330843,0.5924814804123913,20.74460929778281,0.6205605185291155
56034.6875,20.78201450278967,1.3850823225427291,21.441903971766628,2.0661915306830756,20.722975869991043,0.7868836542768622,20.79840113085902,0.8257490190498543
56037.75,20.816436607942606,1.7459492523576499,21.46247254734877,2.567497509758437,20.770750075254835,0.9949117205848066,20.845212981946723,1.0452620305639144
56040.8125,20.849438947311164,2.1067657511579263,21.4882853813328,3.0744587690420184,20.810815257927917,1.20094027524674,20.884764652401934,1.2628600495542268
56043.875,20.881614710792526,2.4429598263473697,21.52037692194974,3.5623158186432855,20.84307431172537,1.3869042038192456,20.917017631982876,1.4597759614997943
56046.9375,20.913282483494847,2.7281364797933625,21.55918322135246,4.002583807035339,20.86772791775116,1.5345159830279282,20.94218125800591,1.6169285648312888
56050.0,20.944546395503245,2.9358037110329054,21.6046648144617,4.362905584446843,20.885289891890025,1.6276682139171033,20.960730764928655,1.7173381656267952
56053.0625,20.975410282564685,3.0414532793639424,21.65647488694201,4.607606234961943,20.896593564779682,1.6544997050677555,20.973424291741757,1.748247931213239
56056.125,21.005914450029813,3.024772934388303,21.714151243435502,4.699103143221192,20.90277599372135,1.6086742057379408,20.981302753091107,1.7024994867522343
56059.1875,21.036262856447795,2.8715509544258935,21.77731267829969,4.600001594678826,20.90523245163926,1.489651570507899,20.985661156623735,1.5789099104165256
56062.25,21.06691394776503,2.57477574760531,21.845840339853186,4.275384267209405,20.905543087826203,1.30205917492519,20.987989606127442,1.3817068209696681
56065.3125,21.098619277339843,2.1346422044842015,21.920025977890734,3.694773437556631,20.905382192517983,1.054641895148951,20.989892027333713,1.1194428415024817
56068.375,21.132407917398627,1.5578040287802433,22.000674782243472,2.8346444642072477,20.906424602395823,0.7599976145459385,20.99299649107797,0.8044835761510719
56071.4375,21.169527391708137,0.8594212621242554,22.089161775394032,1.696047792773331,20.91026269959768,0.44133688804794097,20.998871418290896,0.45872493301133993
56074.5,21.21135961510399,0.2222553539642127,22.18745550092557,0.7189354154888815,20.918342840168908,0.22929393224716188,21.00895813918583,0.21665093013528453
