mjd,r',err_r',i',err_i',g',err_g',z',err_z',r,err_r,u',err_u'
55267.5,18.65710044803038,0.04808562524297562,18.922714723643963,0.05944771271897986,18.543018163281303,0.06469993360251129,19.03657354378091,0.06431025741230442,18.61272386604005,0.048542821094416294,18.392148644513597,0.11557783459997863
55270.614285714284,18.59012036430793,0.0332370357305498,18.847946069603548,0.04349395970697787,18.488449971243075,0.04892590029560233,18.960548985818978,0.04817457833213247,18.547939127486902,0.03379022458090638,18.352211487467333,0.09030493079357065
55273.72857142857,18.54201475003371,0.024298326455427375,18.79110528529026,0.03352345996053473,18.454520691312506,0.0386145473925104,18.902857924420925,0.03794199229919701,18.50207466481001,0.024886599085726872,18.343149552541757,0.07109579917045107
55276.84285714286,18.51186102168503,0.019823304770036188,18.75108081610309,0.027813917399351913,18.440729685721255,0.032444503230187875,18.862415022400405,0.03183166595432597,18.474238526310074,0.020412892298433745,18.367207586638376,0.05715438619945658
55279.95714285714,18.498894334751075,0.01816521961274188,18.726930728180402,0.024831628586925232,18.44677036582723,0.02922714729242829,18.838228729477333,0.02837967176936873,18.463730027059803,0.018752553258832058,18.426731713864296,0.04797630096531024
55283.07142857143,18.502450183478647,0.01779949350232461,18.71782649389789,0.023356261900837297,18.47248610120306,0.027898118276110044,18.82932547425201,0.026491406548910267,18.469993552534362,0.018400522011487064,18.523952499624826,0.04298973053924855
55286.18571428571,18.52191899265977,0.01782135167629285,18.72301237996348,0.02262006095378378,18.51783506900629,0.02764594414433938,18.83470494718499,0.025475462826338672,18.492577959077153,0.018445872005810333,18.660730730824266,0.04130889158050813
55289.3,18.556708178700706,0.017883179146816017,18.741775831242702,0.022243865957862406,18.582858738926785,0.027963074348032656,18.853327795664065,0.024957454974653195,18.53109418186571,0.018522430580646412,18.838230714068423,0.041913336692022164
55292.41428571429,18.606209121168714,0.017922824585185057,18.773426309806048,0.022075382645162844,18.667649660391803,0.028580572237132472,18.88413531445409,0.024745746300224195,18.58516678208789,0.018551269754018815,19.056480359573737,0.04418884823805802
55295.52857142857,18.669767953451043,0.017977932372191578,18.817281350960513,0.02205556172077089,18.772314566868154,0.02937279276895356,18.926095763331688,0.024726025173088154,18.654378619637505,0.018561635347060474,19.31379198201379,0.04848562777905258
55298.642857142855,18.746660380583062,0.018092727244087153,18.87265942749081,0.022142560593550943,18.896928755886893,0.030285025960064684,18.978265479880974,0.024804599019562244,18.738211557136896,0.01860005992097488,19.606085161046344,0.05634354584528753
55301.75714285715,18.836072034544678,0.01827830042778169,18.93887969015365,0.022282233474619797,19.04147742253198,0.03128965856090295,19.039847917086693,0.024890810946301644,18.835989644352523,0.01868882232000513,19.926323828309187,0.06959047151800317
