mjd,R,err_R,B,err_B,V,err_V,i',err_i',r',err_r'
53995.5,15.086667730529335,0.09211874550048607,16.738135584343716,0.32693088301495765,15.746356612553981,0.12405527227303399,15.004415785796006,0.20604127538215802,15.355705344842166,0.11450387017788195
53998.54838709677,14.935729907238002,0.06941018378168506,16.581861810793768,0.27822228458596043,15.59398880624455,0.09974682381691531,14.8565951808916,0.17395598837510934,15.205904931845076,0.09093120230555087
54001.596774193546,14.806139763703602,0.05629592627256081,16.446422464826767,0.2414254722666601,15.46282521545982,0.08413663230527488,14.73045013593152,0.15134450001952532,15.077569423755852,0.07646628131761851
54004.645161290326,14.694497953640123,0.049048942794695134,16.328625839413913,0.21239873527388745,15.349521048535701,0.07370181754051416,14.622465463545296,0.13459048505473276,14.967256701052143,0.06743572137953913
54007.6935483871,14.598377997330225,0.04498940451969378,16.226276258894046,0.18855347039806164,15.251711516752183,0.06622091418561697,14.530080962514614,0.12146394911543817,14.872491353838297,0.06144541695886712
54010.74193548387,14.515990256234218,0.04240677918248784,16.137848106551992,0.16822116996995548,15.167678762744005,0.060349760776220146,14.451348161468102,0.11057106884692774,14.791426150398495,0.05702965247233227
54013.790322580644,14.445979147931025,0.04037088520371938,16.062287064334065,0.1503079605863554,15.096150338089165,0.05531935063504827,14.38472415286162,0.10103948949240654,14.722638126588482,0.05336031564873212
54016.83870967742,14.387294684535279,0.038449802095368565,15.998881540298157,0.13409723398118667,15.036170726421927,0.05071813115510472,14.328942989647151,0.09233223383299857,14.665000107709226,0.0500079216705275
54019.8870967742,14.33910770078846,0.03648313392874816,15.947174640894941,0.11913375413185409,14.987015448019342,0.0463486982992358,14.282933961239994,0.08413767251940164,14.617596955963839,0.046776092769594546
54022.93548387097,14.300751887892645,0.034446177995436554,15.90690046334472,0.10515532549400135,14.94813095305674,0.042141507697736426,14.24576996487314,0.07630559386172699,14.579669644120017,0.043601429514957976
54025.98387096774,14.271682861198782,0.03237918467119755,15.877935468737885,0.09205428638429236,14.919090613918154,0.038106382312332196,14.216636218879895,0.06881059179355405,14.550577356237461,0.04049768173663184
54029.032258064515,14.251448363692418,0.030352844769669454,15.860259497026366,0.0798598739593034,14.899561020988141,0.03430658718401835,14.194813199522127,0.06173000624723625,14.529771639162623,0.037525495703358065
54032.08064516129,14.239665911584535,0.028451514481457378,15.85392310370038,0.06873718175484766,14.88927502000566,0.030844586863588697,14.179669541837114,0.055226298816601835,14.516778759804483,0.034774742376046566
54035.12903225807,14.236005490695227,0.02676368573491401,15.859019075981012,0.05899811488366319,14.888009259150856,0.02785071742085143,14.170661554181299,0.04952353779744345,14.511187644263986,0.032350773175312326
54038.17741935484,14.240175707455634,0.02537368431733543,15.875656612400604,0.05110694773120068,14.89556482991176,0.025465909421400895,14.167336427835796,0.04486607816406589,14.512641494106177,0.03035886278448959
54041.22580645161,14.251912298537032,0.024351470486989903,15.90393693977796,0.0456250732287615,14.911750098001713,0.023810708269534582,14.16933647882331,0.04145106611748735,14.520831618422228,0.02888435124707402
54044.27419354839,14.270968227225332,0.02374052973202027,15.9439292231722,0.04300573105850099,14.93636514916737,0.02294279821426833,14.176402039825991,0.03934724291899623,14.53549231890034,0.027971251809262125
54047.32258064516,14.297104812036803,0.02354739865661994,15.995645578484813,0.043282000185627965,14.96918749230013,0.022825230343615555,14.188371043656359,0.03844674736739396,14.556395896595033,0.02760785069460932
54050.37096774193,14.330083486018077,0.023738116114294456,16.05901388433673,0.04598236802335118,15.009958816027424,0.023333618235554944,14.205173940892768,0.03849670663417991,14.583347057912178,0.02772811370951065
54053.41935483871,14.369657900954312,0.024244290239450454,16.133846970282157,0.05043689473034769,15.058372717976287,0.0243005475906969,14.226823329042766,0.03919397425939882,14.616176205303846,0.028229087677530976
54056.467741935485,14.41556618820127,0.024976154800115502,16.21980671659355,0.056117386432364115,15.114063443028003,0.025563145184777817,14.253398436722586,0.040272968946170225,14.654731311202987,0.02899428586502056
54059.51612903226,14.467523281214838,0.025836999148597745,16.31636177485459,0.06272877990918914,15.176595797489522,0.02698597254033304,14.28502527981708,0.04153876304561118,14.69886828751447,0.029911534748276587
54062.56451612903,14.525213305447398,0.02673482098538507,16.422738238089046,0.07009841612440838,15.24545656457564,0.028456984195536616,14.321853783163437,0.04284881265752623,14.748439968511269,0.03088050234342285
54065.6129032258,14.58828215840213,0.027590372300825335,16.53786401203991,0.07797776006618685,15.320047940750337,0.029868640458712178,14.364033388286963,0.04407220906149836,14.80328401364858,0.0318124200204867
54068.66129032258,14.656330542978893,0.028342982829884154,16.660310355847784,0.08583643314364481,15.399683739638974,0.031098646106157642,14.411688655286099,0.04505631099223246,14.863210204126958,0.032628113742091874
54071.709677419356,14.72890788326199,0.028956014451465083,16.78823859082247,0.09272601436411519,15.483589351088863,0.032004314447967364,14.464896177858147,0.04562355920868268,14.92798775425648,0.033261071569278516
54074.75806451613,14.80550773884788,0.029423185225453764,16.91936652584215,0.09732260927676933,15.570906654058449,0.032445227896684,14.523663855607818,0.045615058976953074,14.997333391603354,0.033671685571405964
54077.8064516129,14.885565525441894,0.029775788149383853,17.050976869177596,0.09835100640566022,15.660705189389525,0.032352327722539174,14.587913298735462,0.044998547857901916,15.070901084727002,0.03387780559241331
54080.854838709674,14.968459513521868,0.030088958278976126,17.17999578946007,0.09585694296533688,15.752000798410746,0.031868304929815024,14.6574659475672,0.04406844101134462,15.148274414384876,0.03400418682612325
54083.903225806454,15.053516161594146,0.030482454932085522,17.303167933784223,0.09419467147580515,15.843782507099917,0.0315756140530946,14.732033410217074,0.043750793597420776,15.22896268014133,0.034343980389086155
54086.95161290323,15.140020775992582,0.031108785062920728,17.41733711743881,0.10532782460944112,15.935047586991114,0.03270502681840995,14.811212555052007,0.04583575024828575,15.312401875856372,0.03539846368017238
54090.0,15.227234197079849,0.03212222963314675,17.519806041907472,0.14153340870646045,16.024843438811978,0.03687713480244769,14.894486001613778,0.05252989234581133,15.397961597701606,0.03782066458796767
54093.04838709677,15.314415628649884,0.03363107338482703,17.608702802781448,0.2027246084302485,16.112313357324947,0.04513068432144225,14.981228759736604,0.06520595080523788,15.484958692327487,0.0422092839305415
54096.096774193546,15.400850840018347,0.03565018997457363,17.683251490851127,0.28168628218234965,16.196741666460046,0.057356046617244534,15.070721767262194,0.08387773793634182,15.572677935569619,0.048862308199330726
54099.145161290326,15.485883855870998,0.03807778903234448,17.74385661001294,0.3708242675690963,16.277592631392785,0.07275627270790208,15.162172851374034,0.1078424238747847,15.660399211569436,0.05769944334927967
54102.1935483871,15.56894909991727,0.04070742457703156,17.79197123253165,0.4633933684407948,16.35453743560091,0.09037639494033818,15.254745078353512,0.1362463762363872,15.747429572244132,0.06837184670489806
54105.24193548387,15.649600067702998,0.04326645993371329,17.829796326729923,0.5538766072211266,16.42746463080508,0.10930128579440637,15.347591510420218,0.1682337399686879,15.833137345296244,0.08040966016167249
54108.290322580644,15.727530292039777,0.045464616257665194,17.85990888583433,0.6383595887490398,16.496471717773865,0.12871675986110706,15.439894118723503,0.20295215161036095,15.916984392952962,0.09332303882365847
54111.33870967742,15.802582859985552,0.047041693451904724,17.884916827241423,0.7146561708159074,16.56183837547593,0.1479525280788213,15.530903227510084,0.23956341601660566,15.99855204096416,0.10666287167612476
54114.3870967742,15.874746061018364,0.04781099011059509,17.90720174152498,0.782133271269249,16.623984565334215,0.16652075220114854,15.61997275477803,0.277282280632254,16.077556395571115,0.12006225417499615
54117.43548387097,15.944134649478672,0.04769865498513816,17.928765672499512,0.8413467463030098,16.683418601912678,0.18413848410350225,15.706586101869613,0.315429925608862,16.153849867976486,0.13326589286338061
54120.48387096774,16.010958251143297,0.046779583228556604,17.951166696690127,0.893624655846694,16.740680942337704,0.20072506350462496,15.790368164774613,0.35348288566476055,16.227407587828473,0.1461447958792563
54123.532258064515,16.075480158537808,0.04530752516065797,17.97551542989304,0.9406892690777773,16.796288978247887,0.2163730742298755,15.871080661990145,0.39110085202832134,16.298299616219,0.15869164759961515
54126.58064516129,16.137970810995267,0.04372680264766352,18.002505501775865,0.9843562011872939,16.85068692219491,0.2312976568014992,15.948600512751117,0.42812346155506653,16.36665195763137,0.17099512341525647
54129.62903225807,16.198660564729987,0.04263052678151126,18.032458093284497,1.0263140147875565,16.904203492206694,0.24577280052186432,16.022883788907137,0.46453483242539684,16.432600891716874,0.1831963561829711
54132.67741935484,16.257696088644142,0.04261221396495028,18.065368632385592,1.0679721168140288,16.957018961703035,0.2600649424044295,16.093920167836174,0.5004029004173625,16.496245902433813,0.19543574851888154
54135.72580645161,16.31510416906485,0.04401421019382889,18.100950325051542,1.1103617967390962,17.009142512175902,0.2743741453770325,16.161684368327673,0.5358062339656895,16.55760653856043,0.20780152827263967
54138.77419354839,16.370766152783197,0.04672916563072037,18.138673832976536,1.1540779783512218,17.06040074128824,0.28879148460243553,16.226091599305235,0.5707627468000509,16.616588130053124,0.2202915440338771
54141.82258064516,16.424405847882245,0.05023341822382752,18.1778053413846,1.199253752345069,17.110438489618815,0.30327824868816644,16.28696370734106,0.6051729406292619,16.67296065462811,0.23279658240081538
54144.87096774193,16.475593380049546,0.053802048249551954,18.21744684332642,1.2455644191108797,17.158733559574742,0.31766870043878137,16.344011693680052,0.6387864839339313,16.726354309042847,0.24510811443807287
54147.91935483871,16.523767014661864,0.056724934523281485,18.256582883484672,1.2922619334361591,17.204627013269977,0.3316942043231594,16.39683872767903,0.6711966839868866,16.776274393851626,0.2569476668719329
54150.967741935485,16.56827392550967,0.05844603071795005,18.294137234783935,1.338243428284162,17.247370121712258,0.3450231146209007,16.44496568823039,0.7018636160653325,16.822136700005526,0.268010328391338
54154.01612903226,16.608428975302267,0.05864445599769749,18.329040935219354,1.3821574655004714,17.286187355813,0.35730823110275284,16.487878500356135,0.730163283386504,16.863322396583122,0.2780117732741084
54157.06451612903,16.64358768372439,0.05727944810448886,18.3603098697445,1.4225474066675683,17.3203520069714,0.3682322580732301,16.525093104573287,0.7554567581039395,16.89924837978588,0.2867270228652002
54160.1129032258,16.673226093809845,0.054592669690690224,18.38712615083559,1.4580226929513713,17.349267542738428,0.3775424654101598,16.556230187439674,0.7771698371458975,16.929445531344275,0.29401107828042167
54163.16129032258,16.697017174815695,0.051041561376149576,18.408913986019627,1.487438189195647,17.37254465367991,0.38506980967799215,16.581088705978683,0.7948713517872391,16.953634283974647,0.29979798486117026
54166.209677419356,16.714892029699307,0.04714777580445488,18.425398914821372,1.510053802453324,17.390062482701033,0.39073532622929064,16.59970596525592,0.8083385317283452,16.971785575438602,0.3040858066747725
54169.25806451613,16.727075582474,0.043322933352205516,18.436640401979854,1.5256464656620268,17.402003856942546,0.3945556676853428,16.612393535630943,0.8176018520870779,16.98415673312265,0.3069271732258915
54172.3064516129,16.734090762584014,0.039907851356867335,18.44303198676939,1.5345566143544624,17.40885864239221,0.39666641668121266,16.61974271708733,0.8229690102122991,16.991296204748313,0.30845281755522164
54175.354838709674,16.736731394081122,0.037841307632961105,18.445269403531828,1.5376687656443437,17.411395526803073,0.39738289447853786,16.622599469751712,0.8250356809943827,16.99401724835948,0.30895446449035485
54178.403225806454,16.736010074936818,0.040037036882184115,18.444293266058082,1.5363438736980064,17.410608628205708,0.39731295201535666,16.622014795688276,0.8246964101510523,16.993346765506992,0.30904349784260954
54181.45161290323,16.73309137837759,0.05119790983865974,18.441217034715642,1.5323325980339906,17.407649383162983,0.3975254647539093,16.619180601120384,0.8231702605806679,16.990459504349356,0.30988386173591975
54184.5,16.729221742327887,0.0742475691366169,18.437252016191305,1.5276999254671177,17.403755194147873,0.39975903780330335,16.615362137675397,0.8220520022808416,16.986608904160722,0.3134632701913307
