mjd,r,err_r,g,err_g,i,err_i
55433.5,20.59702868059359,0.16329471850076357,20.63897713532321,0.31032193522670254,20.37439801228141,0.15206220484844216
55436.75,20.383301680346413,0.09936071403984688,20.34706284874796,0.18785342889643436,20.17546909027309,0.09700893552004532
55440.0,20.220784590546263,0.06758605048881895,20.13818185171609,0.12655577792990352,20.022347922664512,0.06995981976637732
55443.25,20.101937411670523,0.05247085315570545,19.991860435295997,0.09360069039894658,19.9093013233794,0.05717275024834537
55446.5,20.02175804965418,0.04483747210158269,19.89697066637485,0.07455946400664741,19.832301730002563,0.050513456118882735
55449.75,19.976641971364238,0.04050613552219374,19.84687457590135,0.0632490144419561,19.788274055778363,0.0464794114822738
55453.0,19.963739154318983,0.03918203044071253,19.83734107290289,0.05836611752305906,19.77463419466074,0.04482279662921432
55456.25,19.980536314811456,0.04299981052011448,19.86551193024343,0.06182094432329138,19.788963805961874,0.04731310780975215
55459.5,20.024541205973154,0.05396605335009247,19.929316830315006,0.07598533131223179,19.8287472547113,0.055996730635263316
55462.75,20.093010346716174,0.07185226694023458,20.027091276552987,0.10115823348455556,19.891136902524536,0.07116410280730566
55466.0,20.182698775334813,0.09468406860795929,20.157282367888424,0.13597348327002065,19.97274141188759,0.09109371041953514
55469.25,20.289643743768565,0.11925035484681974,20.318185564284285,0.1778001619033828,20.069461434216315,0.11264073366109119
55472.5,20.40903415525643,0.1406835247082303,20.507693317117596,0.22144509075279062,20.176432041822036,0.13126009669633648
55475.75,20.535261680117443,0.15212431120689307,20.723081510868383,0.25677320693419925,20.288162858067377,0.14105106532749367
55479.0,20.662273381135318,0.14562695299170494,20.960934441305767,0.26607800951081845,20.39896683976435,0.1360252273905179
55482.25,20.784298791220614,0.11745879148387933,21.2174289406596,0.22653396587793764,20.503695343161837,0.11543766580403755
55485.5,20.896862815580374,0.09754939119058631,21.48935214316976,0.1848396120976951,20.598636140503338,0.10481447614312495
