mjd,r,err_r,g,err_g,i,err_i,z,err_z
56750.5,21.033152188548346,0.0858585696717511,21.086340382090096,0.08585856971045909,20.999486613549898,0.08585856968654046,21.257061699801568,0.08585857113489993
56753.541666666664,20.71370967657787,0.05261068271019764,20.766897870119113,0.05261068274431722,20.68004410157913,0.05261068272303365,20.93761918783158,0.052610684036729666
56756.583333333336,20.467547629052643,0.04031107778065775,20.520735822593565,0.04031107780810363,20.43388205405372,0.040311077790731974,20.69145714030664,0.04031107888156518
56759.625,20.268015716028426,0.036580305950582176,20.321203909569125,0.03658030597074251,20.23435014102937,0.03658030595781217,20.491925227282604,0.03658030679132402
56762.666666666664,20.100994110549152,0.03546090122217056,20.15418230408971,0.03546090123687436,20.06732853555001,0.03546090122731583,20.324903621803465,0.035460901860353486
56765.708333333336,19.95809238261723,0.03473266108402405,20.011280576157674,0.034732661095027144,19.924426807618026,0.03473266108776127,20.18200189387165,0.03473266158527247
56768.75,19.833915926496072,0.03381360174797272,19.887104120036437,0.03381360175648112,19.800250351496814,0.033813601750740475,20.057825437750573,0.03381360215802397
56771.791666666664,19.72479026577449,0.032686832582178145,19.777978459314774,0.03268683258895888,19.691124690775176,0.03268683258426638,19.94869977702905,0.03268683292949684
56774.833333333336,19.62809951643528,0.0315208641107607,19.681287709975514,0.03152086411624741,19.594433941435945,0.031520864112334644,19.852009027689903,0.03152086441252494
56777.875,19.54191516020982,0.030548569440156114,19.595103353750005,0.03054856944463338,19.508249585210454,0.030548569441328922,19.765824671464483,0.03054856970614686
56780.916666666664,19.464774508700277,0.03002049788200548,19.517962702240418,0.03002049788564053,19.431108933700887,0.030020497882855567,19.688684019955044,0.030020498117098823
56783.958333333336,19.39554180076293,0.030167802606223888,19.448729994303033,0.030167802609119374,19.361876225763556,0.030167802606784675,19.619451312019144,0.0301678028118785
56787.0,19.333317500114852,0.03116006825251861,19.38650569365493,0.03116006825477966,19.29965192511541,0.031160068252859326,19.55722701136909,0.031160068430214388
56790.041666666664,19.277377017845875,0.03307314490893417,19.330565211385917,0.03307314491065165,19.243711442846195,0.03307314490887932,19.501286529090606,0.03307314505029078
56793.083333333336,19.227128099095474,0.03588853948475428,19.28031629263549,0.035888539486033655,19.19346252409601,0.03588853948481043,19.451037610350276,0.03588853961231365
56796.125,19.182080441530232,0.03952366557382626,19.23526863507022,0.039523665574760974,19.14841486653082,0.039523665573567526,19.405989952788154,0.03952366567093237
56799.166666666664,19.14182355952334,0.0438705117212781,19.1950117530633,0.04387051172195501,19.108157984523885,0.04387051172104973,19.365733070780106,0.04387051180471333
56802.208333333336,19.10601034551434,0.04882349639366075,19.159198539054284,0.04882349639415286,19.072344770514835,0.04882349639353806,19.32991985676923,0.04882349646892224
56805.25,19.074344653965312,0.054292473323197823,19.12753284750523,0.054292473323555794,19.040679078965788,0.05429247332305803,19.298254165220214,0.05429247338709931
56808.291666666664,19.046571780672213,0.06020560391597814,19.099759974212112,0.06020560391623785,19.012906205672678,0.0602056039158305,19.270481291927137,0.060205603970769114
56811.333333333336,19.02247106213315,0.06650750074658181,19.07565925567303,0.06650750074677593,18.988805487133604,0.06650750074643515,19.246380573388098,0.06650750079405822
56814.375,19.001850051342288,0.07315594507338484,19.055038244882148,0.07315594507353167,18.968184476342728,0.07315594507324413,19.225759562597254,0.07315594511495835
56817.416666666664,18.984539882125112,0.08011865362145779,19.03772807566495,0.08011865362157138,18.950874307125538,0.08011865362132126,19.208449393380093,0.08011865365824128
56820.458333333336,18.970391540842606,0.08737057504119008,19.023579734382427,0.0873705750412827,18.93672596584302,0.08737057504106385,19.194301052097607,0.08737057507406089
56823.5,18.959272838671705,0.09489177229438527,19.012461032211505,0.09489177229446455,18.92560726367211,0.09489177229426939,19.183182349926724,0.09489177232404217
56826.541666666664,18.951065930335375,0.10266580488714992,19.004254123875153,0.1026658048872218,18.91740035533577,0.10266580488704376,19.174975441590416,0.10266580491414941
56829.583333333336,18.94566526298203,0.1106784981589796,18.998853456521783,0.11067849815904766,18.911999687982405,0.11067849815888381,19.169574774237088,0.1106784981837758
56832.625,18.942975866436317,0.1189169994857113,18.99616405997605,0.11891699948577629,18.909310291436682,0.11891699948562313,19.166885377691397,0.11891699950866946
56835.666666666664,18.94291191631303,0.12736904284419048,18.996100109852733,0.12736904284425843,18.90924634131338,0.1273690428441122,19.16682142756813,0.1273690428656187
