mjd,I,err_I,R,err_R,V,err_V,B,err_B,i,err_i
57938.5,16.748115479053958,0.03050007684858704,16.968460371231377,0.029512356008078985,17.09876931885225,0.029556083721465568,17.28385233152648,0.041480991185643155,16.881919238537158,0.027233644143727725
57941.62,16.825539301740175,0.02465471447459549,17.047960424397257,0.023235682614096472,17.203269683616366,0.022732953705000284,17.417574094555214,0.03443821769479351,16.97304747092552,0.020535210997262125
57944.74,16.902016997661274,0.021395393231287987,17.126686060328208,0.019671095629168904,17.310629205869166,0.019108540448361307,17.56043816661449,0.03000545171379736,17.064979025349025,0.016877895779045724
57947.86,16.975096156098058,0.01994980056199331,17.20213393649062,0.018119033189800612,17.41803355022568,0.018079974130525707,17.71024466633682,0.027859228908195945,17.155006840257943,0.015623113824926397
57950.98,17.04251557055024,0.019376748351449164,17.27197336498021,0.01758003341294262,17.522425283268316,0.018324958541045627,17.864112523146133,0.027312981297275184,17.24040514052897,0.015494719876927182
57954.1,17.102504210815372,0.019070829039056783,17.334354131782884,0.01735934685992046,17.620803268594642,0.01881830038334152,18.01851713317152,0.027717253895543813,17.318749033098126,0.015556354885764442
57957.22,17.154069235863215,0.01885127363970455,17.38820927690391,0.017230502780824476,17.710638665186238,0.019225386439075155,18.169507427843207,0.02880239065498865,17.388284050887542,0.01554876217043072
57960.34,17.197194692878227,0.01876007556766717,17.43347088796974,0.017220537220530043,17.79033020286192,0.019632433128631343,18.3131634218774,0.030632855770051873,17.44825666494576,0.015598239156993293
57963.46,17.23288810030072,0.018844719487751117,17.471130581887692,0.017364430435743546,17.859570664469217,0.02017576758885883,18.446280827547326,0.03326121533488154,17.499103984343765,0.015854661405954668
57966.58,17.2630592124223,0.019063798352531407,17.50312444979184,0.01760122447420385,17.919497753728784,0.020825342732604828,18.56713994080271,0.03642698728492478,17.54243658759129,0.016296207732050896
57969.7,17.29027063865779,0.019324051262692574,17.53208122459124,0.017819305502720453,17.97257321337855,0.0214116110058047,18.676102588643865,0.03960398066761942,17.580820817422104,0.016768799082626983
57972.82,17.317433932411397,0.019562199591461226,17.561010178187612,0.017948962063030822,18.022238982737807,0.02178891352710253,18.775793460902424,0.04231479885952628,17.61743513323274,0.0171367387835672
57975.94,17.347523581588987,0.019789196457052564,17.593005768751063,0.018011383675076396,18.072473401454033,0.021960076310867167,18.870797032631902,0.04441364420245602,17.655701705073444,0.017379370309188104
57979.06,17.38335405095562,0.02007777485628464,17.631018001156004,0.01810550327268079,18.12737532857466,0.02209394077677487,18.967026763442817,0.046170798399650055,17.69897369854433,0.017588862238682335
57982.18,17.4274311847672,0.02051584373065505,17.677701635175882,0.018355568777327178,18.190853604805707,0.02245729604740665,19.071034785709347,0.048160519681302326,17.75031361321354,0.017904340338179857
57985.3,17.481863555901313,0.02115898818345345,17.735329818542073,0.01885299908457944,18.26643479560256,0.023307157724192253,19.18947306798149,0.05102707157993203,17.812355606234004,0.018431888064125088
57988.42,17.548305800961504,0.02201135246131849,17.80574299860709,0.019627676881162504,18.35715368334826,0.02480644035491242,19.328766505934126,0.055248297302654625,17.887218086987662,0.019199972406487055
57991.54,17.627901261468615,0.02304823314934451,17.890298397947227,0.02067001776313311,18.465463247504626,0.027027038653065202,19.494902112074996,0.061052072632496984,17.97642055837279,0.020183121032273196
57994.66,17.721190119183234,0.024270768725122144,17.989782879194586,0.021992938421631508,18.59308159240964,0.030040858797236704,19.69307638058049,0.06862169923612642,18.080752901474014,0.021384280712033243
57997.78,17.827948336406696,0.025762101452912148,18.104248245853093,0.023688922060755332,18.740665741397837,0.03400694395307409,19.926657309445623,0.07880680585748608,18.20003957930167,0.022919189347715762
58000.9,17.946923014544307,0.02769274907328607,18.232722537406016,0.025908155921091743,18.907155056063075,0.0391021937310638,20.19425677030003,0.09511460837588384,18.33273600902863,0.024997102860141517
58004.02,18.075439570387065,0.030220674610431215,18.372751135224515,0.02868701804520135,19.088573198068765,0.045156770376321584,20.482438026973178,0.128169446971787,18.475304905558275,0.027685277325910116
58007.14,18.20889647355729,0.033361299990130586,18.519751453609285,0.0317207192346139,19.276116401877065,0.05118582900403957,20.75129175654443,0.1980680406825832,18.621392075335898,0.030620544740990806
58010.26,18.3402713775279,0.03732119415204033,18.666277521108498,0.034715615031680636,19.45381571990447,0.056491777466162116,20.92155363619195,0.3159571991236069,18.76104239464076,0.03372527816725478
58013.38,18.45997033781257,0.0443344275186391,18.8015591911743,0.04012121433967251,19.59753459539911,0.06855485750769984,20.906638520518,0.44756317803623163,18.88064269230363,0.04133484514515825
58016.5,18.556592180518944,0.06127338054863423,18.91208625457804,0.05797348200169025,19.679240392436903,0.1096931036772546,20.700227157395602,0.5371510484052815,18.964731395585186,0.06565351740251277
