mjd,V,err_V,B,err_B,I,err_I,R,err_R,U,err_U,UVM2,err_UVM2
54600.5,17.610609310738766,0.03862110496074875,17.704147702614964,0.03285295967936005,17.51711854534645,0.07902297902241781,17.537847541491175,0.04801413617850578,16.795483208837613,0.03960972806447086,17.044253067524647,0.05252039079102146
54603.614285714284,17.667266149429913,0.034261120502093276,17.790046951803998,0.029094254797188218,17.546797180686035,0.07083004885433332,17.58236696684279,0.04230017419447184,16.903012326288675,0.035285966514426795,17.17138094147382,0.0488292073541611
54606.72857142857,17.72711914519907,0.03032032463959299,17.883095368861447,0.026059427445319087,17.578208413039793,0.06286936182747044,17.629097291841404,0.03694941495745527,17.022061812973906,0.03196201153043302,17.31510747242025,0.04662948349016276
54609.84285714286,17.790213180410213,0.02681255086782948,17.983186122060346,0.02375014266621985,17.6117240080393,0.05527011956310104,17.678266211204186,0.03201818879194015,17.152976359178183,0.029740556283209575,17.476888929582845,0.04612428421661231
54612.95714285714,17.856590903283887,0.023755494820430975,18.09006107705837,0.022127896683782972,17.647625390655467,0.04820458338324079,17.73010971089478,0.027573331801196532,17.29587928063027,0.028644798971080323,17.6581846994956,0.0474396095511072
54616.07142857143,17.926291729640354,0.021169899787667437,18.20328954585667,0.02111172650545929,17.686080673931606,0.0418898829478754,17.784859054118755,0.023693866272720947,17.45057468173566,0.028582100884588058,17.860363415747774,0.050619655683148725
54619.18571428571,17.999350618832487,0.019076887588661717,18.322252182434354,0.020593829374739876,17.72713720267631,0.03657837667608966,17.84272867253862,0.020470400207932612,17.616419484223616,0.029354159291519247,18.084520549463722,0.055665985993409384
54622.3,18.075796582321424,0.017492506759010262,18.446135330643166,0.020468361385921095,17.770731463081837,0.032527400445202595,17.90390595499532,0.017996931929224854,17.79216648412881,0.03070791814552755,18.33113730622276,0.06258238543702153
54625.41428571429,18.15565087857759,0.016419780780143937,18.573942893489004,0.02065882916800072,17.816716262389217,0.029935875846771317,17.968543592481684,0.016347046474356475,17.975793105235848,0.032388202881060923,18.599466321238708,0.07137541822467061
54628.52857142857,18.238924844273228,0.01584126690974294,18.70453382527337,0.021130970619725725,17.864902689352462,0.02885465417854462,18.036754715112277,0.015534526043945585,18.16435664680916,0.03417130561782528,18.886484153640197,0.08198405851603621
54631.642857142855,18.325617310141176,0.01571725018700355,18.83669250864712,0.02188655561473222,17.915111707088624,0.029129460220294542,18.1086106096965,0.01548430331493032,18.35395695723916,0.035895708695628276,19.185278891171983,0.09415136057656023
54634.75714285715,18.415711552216077,0.015992423434458235,18.96923526849172,0.022942201998652857,17.967227814827183,0.03044215472121074,18.184140412461332,0.016049172208498615,18.53992961237535,0.03752019969947634,19.48307915956196,0.10734154174085446
54637.87142857143,18.50917173795893,0.01660786443643754,19.10114836442489,0.024304875030915385,18.02124581675026,0.03242420082240304,18.26333191048285,0.0170642540489907,18.717398051677655,0.03921368724421203,19.760209302635495,0.12095005963954324
54640.985714285714,18.605938845675038,0.017511763763674578,19.231741922150473,0.02595988295565983,18.07730210153607,0.034763832530403556,18.346132527061666,0.018395772760707054,18.88222034712269,0.04139936604879573,19.99297234760163,0.13485409163512496
54644.1,18.70592606970376,0.0186649031970892,19.360793748699198,0.02788218520532784,18.135684277206042,0.03727865686466462,18.432449754429044,0.019963831888566794,19.032149677055955,0.04459061000520763,20.163008437431923,0.14927023678025403
54647.21428571428,18.8090137796869,0.020041409140096153,19.48865185815794,0.030067795041042154,18.196817110558758,0.03996144755102571,18.522150736758277,0.021747331106607187,19.16779480696872,0.048988704239698345,20.268840644992544,0.16319173512676483
54650.328571428574,18.915044188014022,0.02162768437482724,19.61626882075777,0.032568106850832154,18.26122742047825,0.042988715281974656,18.615061356943542,0.023778621517412273,19.29294811700582,0.05419191330490367,20.328669045155404,0.1741554276507439
54653.44285714286,19.023816004629374,0.02342241572571496,19.745154357644402,0.03550545396632898,18.329494590875473,0.04665908304341808,18.710965957229543,0.026125054967531397,19.414157763706402,0.05937644075093321,20.371539744867235,0.18056023477307676
54656.55714285714,19.13507953195985,0.025439543619175498,19.877249007902023,0.03905758002619227,18.40219578535732,0.051245702946565545,18.809609603490248,0.02885308440892668,19.53984447948888,0.06385915136154004,20.426868536489646,0.18345338627572463
54659.671428571426,19.248532881109462,0.027714825984924387,20.01473243320088,0.043421971112302275,18.47985555254336,0.056811627733123385,18.91070543123925,0.031981403054011884,19.67946281380104,0.06792519318961358,20.52049092592203,0.1878217801869502
54662.78571428572,19.363820272811395,0.03031508911007922,20.159778146436157,0.04879830292061269,18.56290873835559,0.06308835985670862,19.013949909071137,0.035443896855847916,19.843100222428248,0.07432672435419045,20.67738290624405,0.2073100505525035
54665.9,19.480533708099262,0.03334715495089497,20.314250171737275,0.055438452331755,18.65168415868778,0.06948546568803024,19.119048634688166,0.039087368564396215,20.041702043356704,0.09079852170457156,20.930207211494555,0.27683028446115476
54669.014285714286,19.59821961767219,0.036960993883653995,20.479308910035638,0.06379385187245983,18.746414858876868,0.07523231407241059,19.2257543885332,0.0427201743710461,20.288033001518272,0.13157011190656362,21.34170239600192,0.48700606553936016
54672.12857142857,19.71639236033594,0.041340376354666676,20.654859845760267,0.07472602925274188,18.84727913696115,0.07965220399985995,19.333917582383485,0.04621587461161942,20.59865269496531,0.2183658824414111,22.103437835504913,1.2491796537513202
54675.24285714285,19.834556545827816,0.046676843331118156,20.83875655558427,0.08959584567823134,18.9544746754833,0.08264039912800918,19.44354717197151,0.049664735795191754,20.997726529621062,0.39439988645984064,,-0.7516715747624574
54678.357142857145,19.95223999810152,0.053130600048917793,21.02570826366652,0.10981738566528983,19.068326009256964,0.08548009099058919,19.554878115446968,0.05354117535646169,21.524848506074775,0.7762771668249984,,-0.9100360613355231
54681.47142857143,20.069038669786746,0.06079210726327775,21.20606246933027,0.13543790124322766,19.189423636355308,0.09188436717338128,19.668440450182604,0.058797628752421026,22.251957206569465,1.762112249515707,,-1.05942233051522
54684.58571428571,20.18467397913703,0.0696655595748275,21.365211571451038,0.16295193531922636,19.31879294670626,0.10796004678960443,19.785126081741357,0.06674615710742161,23.304562428837123,5.173384826717376,,-1.1899098238982524
54687.7,20.29906206190022,0.07969988297610084,21.48520764318096,0.18401723803598638,19.45809588465168,0.1395072087897382,19.906253355936887,0.07872260033231719,24.41395185195716,15.358255072399473,,-1.295612687503067
54690.81428571429,20.412393771813097,0.09090140077722304,21.550053136821386,0.1882619113141037,19.609882935890358,0.189855929681597,20.03363708221474,0.09586693874791673,23.59242406478709,7.416386280136529,,-1.3757385060194869
