mjd,V,err_V,B,err_B,R,err_R,I,err_I,r',err_r',U,err_U
57051.5,17.136002780759984,0.12419207957754907,17.275502070044915,0.157547272509697,17.23992466075711,0.11188756946962612,17.047974275637305,0.1150416690712757,17.287363097642054,0.11314671464467776,16.323384535462854,0.1955303612692756
57054.583333333336,17.0410900399853,0.09600158464066244,17.17131281811471,0.12136766375217242,17.153752557604122,0.08872388089129886,16.966321648130155,0.09312908996911134,17.198521958098173,0.08877233295219754,16.211215675616305,0.15086391506738345
57057.666666666664,16.96947943347808,0.07782465600234136,17.094829691507037,0.09797043245954858,17.086791596471457,0.07327789836690597,16.901787472864868,0.07789086780227872,17.130135095494776,0.07279218589873504,16.130591633514538,0.12185766939466323
57060.75,16.91765913972833,0.06457917762756094,17.041539212776794,0.08098635474651858,17.036382276064728,0.061782481778877574,16.852117716196606,0.06627877076881933,17.079292235803024,0.06101731206911427,16.076058446041653,0.1008924307514831
57063.833333333336,16.88183271593505,0.05339572747859316,17.00685862867724,0.06687206337757527,16.999455839450896,0.05209962996491381,16.814614580441226,0.056539688544301296,17.042703825476707,0.051075241744696034,16.042346143080778,0.0837911434779546
57066.916666666664,16.85782477619677,0.04312658028531792,16.98588841353909,0.05413792875394669,16.972542642907644,0.04338142956472787,16.78618252999736,0.04793649761939537,17.0166822539233,0.04203429064183517,16.023952080884605,0.06872066876015259
57070.0,16.84113924955514,0.03376376518728147,16.97337796276777,0.042654700781452094,16.951889922026687,0.035614096073588015,16.763465741377907,0.04038124564284106,16.997244398206256,0.03390347353279666,16.015004155316994,0.055378692444886406
57073.083333333336,16.82721478235287,0.025987995541613625,16.96395409817782,0.033146408019766996,16.933722069036573,0.029199775737934794,16.74310276432445,0.03408314015549905,16.980372581701314,0.027194836996741814,16.00944917436041,0.04440084923008775
57076.166666666664,16.811886833120134,0.02070673549260113,16.952636918704037,0.026647101965746166,16.914641210716006,0.024535716763245084,16.72209131556124,0.029223549313061297,16.962435026289924,0.022467909176320005,16.001605063607514,0.03670210159265788
57079.25,16.791983095709597,0.018212596795419273,16.935566137215453,0.02349882690809548,16.892102757084707,0.021593466288657378,16.698203518927244,0.025712920399053766,16.940697583414874,0.019770712217044132,15.987001925051423,0.03247932519185604
57082.333333333336,16.765879463458248,0.017519406576181142,16.910718287193227,0.022556470480741237,16.864835451930645,0.019811572387971082,16.67034182451642,0.023175688068262004,16.91378362943662,0.01840766655005851,15.963251785044214,0.03059776843831728
57085.416666666664,16.73380186151571,0.017247491684082242,16.878318364662988,0.022174266541912888,16.833056281649462,0.01850405022449731,16.638714997565152,0.021182699048476396,16.88191386503708,0.01749021941258793,15.930569887140347,0.029464666351346064
57088.5,16.697736317167248,0.016722834288253118,16.84074370383231,0.02150781190572408,16.79839027788187,0.017299291114732687,16.604764275623392,0.019489832869409314,16.84682277499185,0.016553122667707948,15.89167709222252,0.028195037623409885
57091.583333333336,16.660977026511436,0.01597949945497886,16.801954215330458,0.02055952634722141,16.763519703026294,0.016197370183288283,16.570861204246267,0.01808210288662945,16.811377930299486,0.015607041208160014,15.851119734500625,0.026743983953299025
57094.666666666664,16.627486930299295,0.015339808374983815,16.76669105388713,0.01969070533604305,16.731684699717217,0.015374710781044363,16.539876125803733,0.017056766717686116,16.77903911917107,0.01487824534672563,15.814317658624695,0.02545955454179943
57097.75,16.60127603368319,0.01506267778034503,16.73972361516988,0.019211599167044825,16.706181600983864,0.014963676596012145,16.514737095287458,0.016475314582304806,16.75332040470331,0.014542503284587576,15.786695013545526,0.024659518016973365
57100.833333333336,16.585928739485414,0.015180020514986504,16.725311627311832,0.01919421105696034,16.68995940186266,0.014940665892627896,16.498064925939524,0.01628778363947413,16.73736471269701,0.01459318768362362,15.773093176035726,0.02443378502652368
57103.916666666664,16.58430835166431,0.015541518969474437,16.72690353296552,0.01950930738091326,16.68534524038926,0.015159332364316158,16.49191518914028,0.016358522942185667,16.733661363242515,0.014879406655601531,15.777477477808405,0.024673376674457986
57107.0,16.59839617484628,0.015954873331482933,16.747001227193753,0.01996876859541792,16.693877671766387,0.015451580827194401,16.497615031026044,0.016539807115889683,16.743879315837194,0.015222617083938133,15.80284120012906,0.025206467515884214
57110.083333333336,16.629198946063802,0.016282345393703466,16.78709612105356,0.02043263324661274,16.716206250966266,0.015698736629331283,16.515664637801997,0.01672585132930986,16.768767432539565,0.015497077234131379,15.85118690938846,0.02590827966541437
57113.166666666664,16.676667739110663,0.016463580452359124,16.847595293841312,0.020841005220113576,16.752021695636287,0.015849026200221192,16.5456771065896,0.016867433970449524,16.80807991744566,0.015648653276238232,15.923484220679217,0.026740546135150107
57116.25,16.739598112103206,0.016499731575640945,16.927684757268246,0.02120032409311794,16.80000245387526,0.015904513101215222,16.586348359435725,0.016961320635719063,16.860508519357623,0.015680419703196943,16.019530258420094,0.027742284749394414
57119.333333333336,16.81551911105246,0.01642890621175038,17.025113597027513,0.02155451921450267,16.85779401566243,0.01589990201143813,16.63547364303301,0.017031465169147077,16.92363645625172,0.015630408071281483,16.137665666621235,0.02899889295269185
57122.416666666664,16.900629207226086,0.016307816108438865,17.135938887886994,0.02195771698526179,16.92207159412064,0.015885016517238715,16.690052244082175,0.017112429614654333,16.993968713370748,0.015554132314501557,16.274340709483184,0.03060381579305566
57125.5,16.989897054770676,0.016208197879846845,17.25436385310981,0.022460654585217944,16.988763693348496,0.01591640898498954,16.746535790275495,0.017240215410117034,17.067129491504286,0.015517811982010863,16.423620642886924,0.03262209323462596
57128.583333333336,17.077486331941266,0.01622722918114502,17.372925716566876,0.02311773302363697,17.053509257663208,0.016056168169528137,16.801259249600218,0.01744975424085942,17.138323275280257,0.015599817892825173,16.57691201149634,0.03506388281818701
57131.666666666664,17.157620661767325,0.016487393514803907,17.483362365768695,0.023997881418158288,17.112353192858592,0.01636525158557504,16.851030633333174,0.017771360625794076,17.203089684895666,0.015883497755615684,16.72345783699805,0.037865562844169816
57134.75,17.225807060448556,0.01708669503158915,17.57831597073768,0.025153788804994883,17.16254923691682,0.016878411925670526,16.89375498692587,0.018218596525287324,17.258225122203996,0.0164223956404609,16.852229089169754,0.0408634324481756
57137.833333333336,17.280028491639484,0.01801261272190786,17.65347593336186,0.02653975694096014,17.20320229189911,0.017572559689394942,16.928887330501322,0.018773161556553276,17.30256432836308,0.017193497526941836,16.955209020599096,0.04377263727978786
57140.916666666664,17.32134181802785,0.019115732194770935,17.709127837706667,0.027972582842179936,17.235468563342458,0.018364075189994326,16.95752599400848,0.019384339271280856,17.33726983136949,0.01809077893982298,17.030653243619632,0.046245220189237164
57144.0,17.353533898221944,0.020192029549834394,17.750119972326573,0.02921979223683126,17.262203607874586,0.01914775613687554,16.982093287767462,0.019990133598903947,17.36546901287698,0.01897807648672946,17.0841064679356,0.048035704697943146
57147.083333333336,17.38199657541027,0.02109065347745159,17.784230296335366,0.030134235607711012,17.28720159291276,0.01984526643735813,17.005722833941846,0.020544717735422293,17.391393791788108,0.019754177703469863,17.12634408803949,0.04914180478971561
57150.166666666664,17.412346448013217,0.021756658883831603,17.81989648261716,0.030703266940747227,17.314316460514615,0.020427024276751287,17.03156546574743,0.021032123940106392,17.419372058376787,0.020380504173402137,17.169755901054117,0.04978479580396926
57153.25,17.449274146455615,0.022208520174852524,17.86433044510128,0.031002561392318762,17.346719643736787,0.020903885540887658,17.06219811453096,0.021461944937602322,17.452979640724077,0.020869136689689826,17.225286779298237,0.05027626654424084
57156.333333333336,17.495821146604037,0.022501018311350637,17.922409340218664,0.031135400565413224,17.386412294165346,0.02130861214706211,17.099227977570187,0.02185751416998011,17.494489871589266,0.021259191723198952,17.300791352472974,0.05091173804500877
57159.416666666664,17.553043485380527,0.022712501846388945,17.99618679797947,0.031225372823200294,17.433994499443774,0.021684841402623136,17.14310438887961,0.022247340571554444,17.54461412702651,0.021604634805924613,17.400420609827087,0.0519770366620875
57162.5,17.6199543647293,0.022955186121924938,18.084728969943924,0.031467978524641685,17.48865302491592,0.02208270937247838,17.19311808365624,0.022659679262024158,17.60247960643636,0.021972143287665294,17.524322978233076,0.05386318406160105
57165.583333333336,17.693696187476494,0.023362176245501187,18.184131495269543,0.03216082581004283,17.548344442405604,0.0225421077492345,17.247571053161106,0.02310948762720511,17.665815813986704,0.0224231810644503,17.668200710166026,0.05716999343854054
57168.666666666664,17.769981959878606,0.023992466516402296,18.287826830128346,0.03355483029417592,17.610175531273256,0.023047784426614783,17.304108979840333,0.023570666375970335,17.73136022843483,0.02295597347168286,17.822761842787564,0.06250251934639164
57171.75,17.843876532993992,0.02468242456806864,18.387495909844237,0.03549123994239051,17.67097379061331,0.0234799576201114,17.360193737476123,0.023950882735866843,17.795491232072255,0.023434689859958266,17.973811388862828,0.0697182940391598
57174.833333333336,17.910889528366592,0.025022400404119852,18.474847995587716,0.03721701053573508,17.72797656973988,0.023630724038437967,17.413645416751354,0.02411187179378618,17.855021248648185,0.023599766729935738,18.10442463865875,0.07721368385838519
57177.916666666664,17.96812829184033,0.024619311781830674,18.544017914841323,0.037875882053030184,17.77947170263898,0.02334073561685454,17.4631229243615,0.023966111711714772,17.907958600638647,0.02323508472751607,18.20019502541542,0.0826464747697271
57181.0,18.01506452351778,0.02357027752816788,18.59355101967228,0.03750522150429182,17.825170132158906,0.022719481549793176,17.508388423100307,0.02362198969111005,17.953967092957694,0.022448026244309378,18.255644765069597,0.08525211300348855
57184.083333333336,18.053533065378947,0.02282949643963316,18.626749488533846,0.037626094782222355,17.8661552367305,0.02230106969290625,17.550254414924648,0.023475094807004236,17.9943215336691,0.021878598715838315,18.276884197413864,0.08723465439708489
57187.166666666664,18.08694438283397,0.02383473843578208,18.650098045193733,0.04023147940169127,17.904422235282848,0.022879020481262235,17.590228891368945,0.02409075834955187,18.031368574143983,0.022494524490104518,18.27791398386066,0.0916750878976236
57190.25,18.119077325339646,0.027069091162610494,18.670733575887137,0.045527668940822885,17.942185622578652,0.024896599101766143,17.62998517655667,0.025826324997773695,18.067712227851217,0.024781756352762894,18.273841685102973,0.09900061643545355
57193.333333333336,18.152928800332578,0.03142050564794468,18.69421866472496,0.0515588873110508,17.981190561495563,0.027990503807168318,17.670826502226916,0.028514854758183886,18.10541287336911,0.028198745848044927,18.27573781946153,0.10660133577370538
57196.416666666664,18.189937564933782,0.03527188278193344,18.723255850338024,0.055899367891143074,18.022212765132167,0.03129889321123201,17.713287073056698,0.03158257113291247,18.145416107218068,0.03167090242821209,18.288596811738394,0.11109196722753312
57199.5,18.22968989552039,0.03748985274832677,18.75734594539762,0.05697914821582268,18.06484292414876,0.03404072560328072,17.756953068024377,0.03441847449165964,18.18731388465585,0.03431017040992363,18.31141084196092,0.11032187812775236
57202.583333333336,18.270105226313223,0.037919912778469796,18.79321512508037,0.05504642553269758,18.107585292290285,0.035879395438375185,17.80053575790054,0.03666475360200946,18.229462983772937,0.035815457617026515,18.338352484706547,0.10526772399566516
57205.666666666664,18.308069099972247,0.0378197668482426,18.82592462647112,0.05341331154436799,18.14825715880518,0.03709985532076978,17.842188606450197,0.03836413861856355,18.26944326476579,0.03668715251204794,18.360880143325353,0.10236657116176165
