mjd,r,err_r,g,err_g,i,err_i,V,err_V,B,err_B,R,err_R
56659.5,18.743401547684996,0.058569720734928034,18.7879695943655,0.06463458276096741,18.765328814361634,0.059337184452004595,19.098343407341613,0.061342209899678875,19.242506267051745,0.0585223050663236,18.70274959112757,0.05852460180649727
56662.55194805195,18.768898436461125,0.05414875348178699,18.814184734697864,0.06059882172849153,18.790828206961216,0.05499437939215686,19.12419947282244,0.05715947557695209,19.26835162267501,0.05397673101149574,18.728595009102435,0.05397932569258019
56665.603896103894,18.795155174519817,0.05016731620115569,18.84108949613205,0.05702121615861826,18.817091855675912,0.05109846768572672,19.150763914570724,0.053438052134900896,19.294916833999437,0.04985013328757887,18.755160259771717,0.049853065369017374
56668.655844155845,18.82213177607961,0.04667552220525133,18.868624880578135,0.05394361525677523,18.84408042688539,0.04769834071082106,19.177984758138944,0.05022350902513322,19.32215182725423,0.04619264279345837,18.782395265092543,0.04619594965088969
56671.707792207795,18.849786857322982,0.04372489964325915,18.896729023054196,0.05140523868949721,18.87175324172564,0.044843116955452136,19.20580770450051,0.04755918925902299,19.35000435255912,0.04305797061148011,18.810247770579135,0.04306168235100136
56674.75974025974,18.878077799626652,0.041362494363577605,18.925337475713448,0.049437589747565014,18.900068439346388,0.04257616259761141,19.234176354706218,0.04548030378555173,19.378420203504522,0.04049832312982506,18.838663564898457,0.04050245588887694
56677.81168831169,18.9069609464653,0.03962254732979929,18.954383564684242,0.048058675498799476,18.928983173248344,0.0409271307297009,19.263032489653206,0.044006940716507736,19.407343488968415,0.03855634974050231,18.867586751709588,0.03856089900724613
56680.86363636364,18.93639183546427,0.03851736406394445,18.983798822372226,0.047267912273599416,18.958453842134425,0.03990374421508139,19.29231640712515,0.043137744307643076,19.436716959146676,0.03725515911381861,18.896960075723847,0.03726009585845358
56683.91558441558,18.966325466487607,0.03803051377027507,19.01351349620256,0.04704339493413837,18.98843635613424,0.039486219104807194,19.321967317120027,0.04284655541753052,19.46648238670359,0.03658938353257712,18.926725303892788,0.03659465597381578
56686.96753246753,18.996716605924576,0.038115603520648036,19.043457132780766,0.04734268096714967,19.018886438554556,0.03962699549349714,19.351923795107556,0.04308363530656663,19.496581002668158,0.03652126855189638,18.956823661349354,0.036526810165116004
56690.01948051948,19.02752012647619,0.038701719541343556,19.07355923415048,0.04810698982947291,19.049759962468205,0.040256351918159586,19.38212429126382,0.043781305195714874,19.52695398521716,0.03698420174313668,18.98719632024314,0.036989942739869705
56693.07142857143,19.058691380765065,0.03970347189088847,19.103749980292207,0.049267473725301915,19.081013320500077,0.041291819908687,19.412507691955422,0.044862062416311056,19.557542997838876,0.037892486297701665,19.017784937962837,0.03789836409540734
56696.12337662338,19.090186605994845,0.041031854462827706,19.13396100930378,0.05075172953732114,19.112603825099164,0.04264805463541635,19.44301392782098,0.04624665164255061,19.588290771585697,0.0391533367952241,19.048532239453138,0.03915930231685612
56699.17532467532,19.12196335572564,0.042602814384276,19.16412624397087,0.052489116931272575,19.144490135455552,0.04424454678051528,19.473584620815828,0.047860281600068326,19.619141724288447,0.04067707881914618,19.07938263649794,0.040683098195736886
56702.22727272727,19.15398095361394,0.04434234025757413,19.19418275077715,0.05441425823015393,19.176632706034233,0.0460102147281008,19.504163760598907,0.04963637667811038,19.65004260776383,0.042383589849218875,19.1102828749993,0.04238964296521424
56705.27922077922,19.18620096276426,0.046188449389064384,19.224071615002206,0.05646879350128043,19.208994250527574,0.047885230746666216,19.53469839877393,0.051518157626230826,19.680943172315203,0.04420508477521545,19.141182699550857,0.04421116243663111
56708.331168831166,19.21858766319515,0.048091089409952915,19.253738813557707,0.058601820630180365,19.241540213912508,0.04982096585807732,19.565139347841928,0.05345871353861791,19.711796836288617,0.046086342926940145,19.172035523065123,0.04609244390621786
56711.38311688312,19.251108528892157,0.050010922391079966,19.283136065777157,0.06076951165426596,19.274239244294506,0.05177890152339531,19.59544187038752,0.05542020920411966,19.742561347198865,0.047983537622322193,19.20279908796754,0.04798966618831888
