mjd,i,err_i,g,err_g,r,err_r,z,err_z
53992.5,22.136803387618894,0.0591382498368368,23.61784818970708,0.06489126359338546,22.56902497059881,0.054567442628059924,22.13610468117126,0.07564715616406577
53995.642857142855,22.106593457003704,0.04914524149274087,23.625366470719417,0.055898851014448074,22.567728518080013,0.0465352953666407,22.095651208521765,0.06326025022316656
53998.78571428572,22.082425477149414,0.04352356408233149,23.647430044924572,0.05388267299915359,22.578081634761208,0.04515658119075533,22.059511214752305,0.05587116582611954
54001.92857142857,22.064404535942373,0.041264855633521204,23.68423780381418,0.05630951721574694,22.59936550024511,0.04796381054055805,22.0280603943495,0.052350580980518514
54005.07142857143,22.0526532573406,0.041122978477399465,23.735854052367785,0.06032988404496507,22.630890264620305,0.05200356619865183,22.00175665099177,0.051305573618614785
54008.21428571428,22.047314633898544,0.04204292130775217,23.802162304785448,0.06408016355709661,22.67206895531226,0.05520577998693258,21.981127862729974,0.05154117040958831
54011.357142857145,22.04855553611688,0.04337088133592683,23.882801008084904,0.06668838866819012,22.72243889989033,0.056516025648363194,21.966756581673494,0.052304001115013474
54014.5,22.056571093583408,0.04480445185985853,23.977078209257066,0.06794509983907944,22.781832923109512,0.055811791301638505,21.959268844867744,0.05324338052345452
54017.642857142855,22.07159021270516,0.046265970676881395,24.08386498019906,0.06809841169791318,22.8505665835308,0.05398741202508625,21.959324256025695,0.0542695586512942
54020.78571428572,22.09388259567563,0.04779520293816402,24.201474206775515,0.06780644764508781,22.929199017875778,0.052877770776826954,21.967599526329828,0.055423482958950235
54023.92857142857,22.12376777052658,0.04947385312575031,24.327544640475075,0.06824233319547021,23.01770950271556,0.054208429982085846,21.984767688081483,0.05678494014439039
54027.07142857143,22.161626857285043,0.051373289902008824,24.45897165171842,0.07129131798535011,23.114595594953556,0.05792434500008092,22.0114879114929,0.05841666246078251
54030.21428571428,22.207918120779407,0.053519493981818676,24.591953099545123,0.07943275939669611,23.21667047110262,0.06267996853779732,22.048419101074824,0.060337034237089394
54033.357142857145,22.2631978645912,0.055874076816793045,24.722237272833585,0.09466826069015631,23.319924957625933,0.06884943125399266,22.096256561522356,0.06251222556350727
54036.5,22.32814902122485,0.058332663561363476,24.845640971199447,0.11696778071067136,23.421143696085185,0.07945787127517911,22.15578165309664,0.06486067584690848
54039.642857142855,22.403621102894338,0.06074487286467406,24.958818212271016,0.1436621708962392,23.519514865224625,0.0959393317734538,22.227917401850647,0.06727371008603295
54042.78571428572,22.490687390768414,0.06297062303803633,25.060111977829578,0.16997225608761207,23.617433691034478,0.11518913223679146,22.31379205622925,0.06967505647309681
54045.92857142857,22.590729127357353,0.06501765939234021,25.150201552752257,0.1901886366558623,23.72000044740566,0.13237698354353675,22.41481978951798,0.0721727918463712
54049.07142857143,22.70556361018395,0.06737590581993075,25.23229475774466,0.1994081411744816,23.83314653665991,0.143441668121283,22.53281427319032,0.07541940772266782
54052.21428571428,22.83764687516311,0.07177743976982223,25.31183721445812,0.1961683822497637,23.96089930885318,0.14565819518980683,22.670169141822562,0.0813831855567491
54055.357142857145,22.990410027896147,0.0825303660368758,25.39597821626789,0.18803600336480958,24.103306396944188,0.14152798990708562,22.830186620978967,0.09461901524144609
54058.5,23.16885124859963,0.1076646145892377,25.49317124882051,0.20318818258589108,24.257498630266163,0.15284125106133506,23.017721095334046,0.12339752429195355
