mjd,r,err_r,i,err_i,g,err_g,z,err_z,V,err_V,u,err_u
55651.5,20.17754562506343,0.14106450626217826,20.088396816847354,0.10046986290534782,20.665060176430078,0.9141728955806718,20.00811869850885,0.24512160661164595,20.19277123820938,0.4160057938109839,21.43993942313431,2.0007163408763886
55654.62195121951,19.257475214340687,0.057396267469660735,19.295862412727796,0.07093189797478465,19.395050654011076,0.23387471650638694,19.363863560914293,0.15704564505621257,19.171163299989193,0.1270798450869139,19.944789464158625,0.44528350873278216
55657.743902439026,18.770896675998646,0.0610091640891801,18.84644692069607,0.07178237272265184,18.830816440183003,0.12347418914839516,18.96545628518918,0.1250635998781073,18.6588822235547,0.07614367497400805,19.344409407946944,0.23218312974533356
55660.865853658535,18.44969312804115,0.061215045751415995,18.54229857210315,0.06890386013961854,18.47693216580204,0.0851964955872719,18.686013742841922,0.10633418048764261,18.326603438870684,0.06106750861627328,18.97661219401662,0.15429989966385319
55663.98780487805,18.22121211977915,0.05863600216781083,18.32306993482072,0.06430165602167308,18.231860576191693,0.06814480111017263,18.480364285214147,0.09276470903145673,18.09258495354978,0.054415870021457126,18.725018633993965,0.11705230396938747
55667.10975609756,18.055046699097264,0.05508172963233466,18.16222603711554,0.05931491695891356,18.05711074231113,0.05922892281173305,18.327114631288673,0.08199801406435304,17.92379236202929,0.05024518419452546,18.547430378647753,0.09678567094195033
55670.23170731707,17.935560020655366,0.0513379428250679,18.045715914573698,0.054475470645427126,17.934039560561487,0.05387124206774184,18.214367768098278,0.07306808769035571,17.803630758530158,0.047025172110872,18.423970356598502,0.08475040656708858
55673.35365853659,17.853627888146978,0.04766853351180031,17.96516481947547,0.049924871749206956,17.852301467422265,0.05013627033592668,18.13473958912197,0.06543877875154801,17.72263074502374,0.04420508552577709,18.34390868451715,0.07693516701733254
55676.4756097561,17.80342176171583,0.044101686610813505,17.9151236332654,0.04562908487884942,17.80564536084316,0.04706968694465374,18.083229509523125,0.05874340728272518,17.674906946055064,0.041482018751278785,18.301009607776166,0.07125690058346966
55679.59756097561,17.780927523000393,0.0405772604907004,17.891769288415247,0.041492496590971734,17.790072312450157,0.044153731390149,18.056174541046616,0.052711470146042876,17.65655586391482,0.038651130512045946,18.291543264222216,0.0665669070150329
55682.71951219512,17.783173135102096,0.03702896201701204,17.892213201289554,0.03742505761877959,17.802914116198306,0.04110984750536014,18.050678501022762,0.04715412154370474,17.6648316733486,0.035583849974209575,18.31332363178546,0.062232070822167924
55685.84146341463,17.80778194299989,0.033433645890189864,17.914094547026792,0.033385236808101175,17.84231936044356,0.03782121125606179,18.064274338770893,0.04196948556194406,17.69767246270259,0.03223239112634273,18.365202355357507,0.05793826890868321
55688.96341463415,17.852689699275658,0.029843930712989623,17.955319576311492,0.029410684351039357,17.90693423355866,0.034303482168894804,18.094714202124248,0.037154212837613186,17.753396008319136,0.028640386316447004,18.446787999455488,0.05359632391872259
55692.08536585366,17.91595203480666,0.026412638874612874,18.01388398106689,0.025643868935017657,17.995678235773862,0.03069961865040004,18.13984031260713,0.03281455549958839,17.83048006645998,0.024958899087624248,18.558286334496085,0.04930250192593961
55695.20731707317,17.99561023078523,0.023407471488207064,18.087751410794677,0.022351981154275873,18.10756223082341,0.02728585734286108,18.197517797926686,0.029166832823589325,17.92738468795884,0.02146837582703623,18.700408713684595,0.04532874002335431
55698.329268292684,18.089605784462158,0.021191668673638392,18.17478142901868,0.01991584511320661,18.241518120123544,0.024466350371189327,18.265624822185593,0.026503482758219624,18.042396596762977,0.018590937604955775,18.874316187320513,0.04212088311477805
55701.45121951219,18.195748798795577,0.020117977258645735,18.272712823798575,0.01871952330004149,18.39622176827141,0.022706833987035307,18.342100974646435,0.025091213079132597,18.173491767429798,0.016824296609993725,19.081570530513137,0.04028012703251322
55704.57317073171,18.311754251060904,0.02033520137475968,18.37921484307723,0.018916896605306863,18.569902026005455,0.022369326003343053,18.42505295768582,0.02501792057844368,18.318228331388326,0.01649846277875589,19.32405056173607,0.04053503308428114
55707.69512195122,18.435361908894162,0.021689488779576962,18.492017564856177,0.020298963167732244,18.76014539173966,0.023577739237121184,18.51290738590262,0.026117146366890814,18.473700056105116,0.017525640748219478,19.603752559103437,0.043842810190047474
55710.81707317073,18.56454611067052,0.02386696981582468,18.609120068125453,0.022468113093018514,18.96373414687371,0.026351835288053946,18.604586119247244,0.02806312768690923,18.636597915285854,0.019557288696849588,19.922299045313906,0.05185923082564926
55713.939024390245,18.697798482874134,0.026590984239432625,18.729051000662565,0.02507627275178458,19.176598024913496,0.030861163710411227,18.69966567035041,0.030523205195475203,18.803432914731914,0.022337228457640097,20.27977177011182,0.06763172077796022
55717.060975609755,18.834434659437807,0.029675359098937003,18.851127490218026,0.027887582110160184,19.39400402072153,0.03734681344132207,18.798476822707954,0.03323029011120294,18.970949230487964,0.02574923048117466,20.672079182767153,0.09555118485498153
55720.18292682927,18.97484994256171,0.03296811344116809,18.97563992642294,0.030725036820381326,19.61111603568773,0.04566600287016818,18.90210926972799,0.03597878367842681,19.13668878537884,0.0295972328665552,21.085562587838595,0.13919220318582257
55723.30487804878,19.120647314323772,0.03629651820329701,19.103896711136137,0.03341926283280948,19.823961056262366,0.054939597442636594,19.012306756758917,0.03860493168603931,19.299570654611962,0.0334401497862605,21.48832517993228,0.1951052678473709
55726.42682926829,19.274591546710916,0.0394719984781424,19.23809591469108,0.035807589124973664,20.030611785502913,0.06369938779428701,19.13126037238161,0.04098503243787899,19.46027816965692,0.03667275363229653,21.824950819698834,0.2428416794873505
55729.54878048781,19.44038898165515,0.04234429216041398,19.381031403726883,0.03777101575793025,20.232145165438663,0.0704659933575514,19.26131816749655,0.04305157553824104,19.621270812059038,0.03878018079472114,22.036148451718184,0.24959338928307176
55732.670731707316,19.62231944379709,0.04486346511205419,19.535661506733078,0.0392747586969305,20.43289825040242,0.07439992928102777,19.404620396694938,0.044815021481243014,19.786360827155768,0.03957780781506457,22.107717930555726,0.209471521532504
55735.79268292683,19.82472134994749,0.04712691993609195,19.704550349479206,0.04039218561651554,20.63982804757151,0.07569246306410199,19.562642906711485,0.046382712743414455,19.95992559326984,0.039327589745697875,22.086398833086086,0.16287057673901165
55738.91463414634,20.05123144548415,0.04943926219866164,19.8891381559662,0.04132407543889824,20.861143606694522,0.0757065282202414,19.735597469153255,0.047972852173007896,20.14585524783268,0.03878174476438627,22.036017815380298,0.15498094661737782
55742.03658536585,20.30348846860917,0.05247547052409475,20.08873319815324,0.0424514985628424,21.1044080203137,0.07740709829303996,19.921621921908773,0.04991395446384866,20.34623213301291,0.0393361585577151,22.000832536057473,0.1855313461083678
55745.15853658537,20.578724789866225,0.05761750554216811,20.299113150345924,0.04442241099645403,21.373824510084333,0.08653638246485106,20.115752553604423,0.05257916277225697,20.559591240022872,0.04324721627759507,22.002262818340125,0.2305768797422291
55748.28048780488,20.865498539007305,0.06701403117972136,20.510850309324248,0.048038620037589054,21.665573997892555,0.11103774429196188,20.30892388471203,0.05614205115265672,20.778641163938456,0.05280123492316257,22.04705621659926,0.2784292877291018
